arm,third_gen_attrition_pct
Duncan-Trejo 1994-2006 composition x DT rates,28.25
CPS 2025 composition x DT rates (composition effect),20.09
DT composition x CPS 2025 rates (rate effect),15.25
CPS 2025 composition x CPS 2025 rates,11.19
