convention,third_generation_children,ratio_to_whole
whole persons,2334561.4,1.0
"fractional, one quarter per Mexico-born grandparent",1381100.3,0.5916
"fractional applied to: floor: 3rd-generation attriters only, no 4th-plu",8983099.4,0.5916
fractional applied to: 4th-plus identifies at the measured 3rd-generati,9580815.0,0.5916
fractional applied to: 4th-plus identifies at Duncan-Trejo 1994-2006 ra,10939793.7,0.5916
fractional applied to: 4th-plus identifies at the 1970 reinterview 4th-,14924176.8,0.5916
