definition,population,se
ACS self-identification (HISP Mexican or Mexico-born),39429519.0,75333.5
ACS ancestry write-in (ANC1P/ANC2P Mexican),27685749.0,93969.8
ACS union of both self-reports,40544464.0,72464.9
gain from adding the ancestry question,1114945.0,
