quantity,value
"mean years of schooling, adults 25+, Mexican third-plus self-ID",13.335
"mean years of schooling, adults 25+, third-plus NH white",14.384
education gap to be closed,1.049
"Duncan-Trejo 2017 attriter advantage, 2nd-gen adults (years)",0.76
"Duncan-Trejo 2017 attriter advantage, 3rd-gen children (years)",0.57
share of the education gap closed by the adult advantage,0.7244
share of the education gap closed by the child advantage,0.5433
