group,federal_bn,state_local_bn,total_bn,deficit_financed_share,rate,annual_interest_bn
mexican_observed_total,-28.12467267485551,-235.09946803492164,-263.22414070977715,0.10684685910273295,0.03324,0.9348641197121972
mexican_observed_total,-28.12467267485551,-235.09946803492164,-263.22414070977715,0.10684685910273295,0.049400000000000006,1.3893588301378625
third_plus_nh_white,-88.97198996182715,-301.7779209845422,-390.74991094636937,0.2276954836569076,0.03324,2.9574289463311345
third_plus_nh_white,-88.97198996182715,-301.7779209845422,-390.74991094636937,0.2276954836569076,0.049400000000000006,4.395216304114261
all_native,-123.13576944252137,-843.8128617757068,-966.9486312182281,0.12734468560898266,0.03324,4.09303297626941
all_native,-123.13576944252137,-843.8128617757068,-966.9486312182281,0.12734468560898266,0.049400000000000006,6.082907010460556
