bucket,column,group,dollars_bn
federal,base_federal_income_tax,mexican_observed_total,99.49443856937799
federal,base_federal_income_tax,third_plus_nh_white,1197.9236807779544
federal,base_federal_income_tax,all_native,1669.3640784595018
federal,base_employee_payroll_tax,mexican_observed_total,85.8713862004247
federal,base_employee_payroll_tax,third_plus_nh_white,502.3475274232461
federal,base_employee_payroll_tax,all_native,770.777744200664
federal,base_employer_payroll_tax,mexican_observed_total,78.05818759355654
federal,base_employer_payroll_tax,third_plus_nh_white,455.1149318825791
federal,base_employer_payroll_tax,all_native,703.3520001866674
federal,base_cash_social_security,mexican_observed_total,-54.895050050897446
federal,base_cash_social_security,third_plus_nh_white,-861.8979998843906
federal,base_cash_social_security,all_native,-1130.2269105794078
federal,base_cash_ssi,mexican_observed_total,-4.83115665657155
federal,base_cash_ssi,third_plus_nh_white,-26.551462091914516
federal,base_cash_ssi,all_native,-52.32129664262441
federal,base_cash_veterans,mexican_observed_total,-8.742028822436637
federal,base_cash_veterans,third_plus_nh_white,-78.36337169282537
federal,base_cash_veterans,all_native,-124.67094676588552
federal,base_cash_tanf_general_assistance,mexican_observed_total,-0.7533671396338121
federal,base_cash_tanf_general_assistance,third_plus_nh_white,-1.363186995589593
federal,base_cash_tanf_general_assistance,all_native,-3.6085778895969067
federal,base_noncash_federal_programs,mexican_observed_total,-13.080358764035102
federal,base_noncash_federal_programs,third_plus_nh_white,-26.882488292172287
federal,base_noncash_federal_programs,all_native,-65.35753087324646
federal,base_school_lunch_addback,mexican_observed_total,5.093189718227873
federal,base_school_lunch_addback,third_plus_nh_white,8.559735236371097
federal,base_school_lunch_addback,all_native,20.17191908134945
federal,base_k12_federal_aid,mexican_observed_total,-14.930602905304317
federal,base_k12_federal_aid,third_plus_nh_white,-42.88109414689374
federal,base_k12_federal_aid,all_native,-83.43376334604703
federal,base_medical_TOTMCR24,mexican_observed_total,-41.848349808249154
federal,base_medical_TOTMCR24,third_plus_nh_white,-463.9863075118864
federal,base_medical_TOTMCR24,all_native,-611.4473409151907
federal,base_medical_TOTMCD24,mexican_observed_total,-29.23843907737232
federal,base_medical_TOTMCD24,third_plus_nh_white,-123.54198416674079
federal,base_medical_TOTMCD24,all_native,-209.34164482072603
federal,base_medical_TOTVA24,mexican_observed_total,-4.073926378861329
federal,base_medical_TOTVA24,third_plus_nh_white,-43.16574635533415
federal,base_medical_TOTVA24,all_native,-58.32808784363915
federal,base_medical_TOTTRI24,mexican_observed_total,-2.6123828211329365
federal,base_medical_TOTTRI24,third_plus_nh_white,-17.02396578535064
federal,base_medical_TOTTRI24,all_native,-25.27838611102315
federal,base_medical_TOTOFD24,mexican_observed_total,-0.24060198723738802
federal,base_medical_TOTOFD24,third_plus_nh_white,-1.7691970407443853
federal,base_medical_TOTOFD24,all_native,-2.6278975070739232
federal,item_I,mexican_observed_total,-4.738352952309923
federal,item_I,third_plus_nh_white,-5.575522492001757
federal,item_I,all_native,-15.274826177957292
federal,item_E,mexican_observed_total,0.0
federal,item_E,third_plus_nh_white,0.0
federal,item_E,all_native,0.0
federal,item_R,mexican_observed_total,-92.15143513120792
federal,item_R,third_plus_nh_white,-518.4521490739114
federal,item_R,all_native,-797.7700365981962
federal,matched_grants_financing,mexican_observed_total,-9.931618387211596
federal,matched_grants_financing,third_plus_nh_white,-42.02565288819524
federal,matched_grants_financing,all_native,-68.88899366307703
federal,item_F,mexican_observed_total,0.0
federal,item_F,third_plus_nh_white,0.0
federal,item_F,all_native,0.0
federal,item_U_social_security,mexican_observed_total,-4.836253909484069
federal,item_U_social_security,third_plus_nh_white,-75.93321378981489
federal,item_U_social_security,all_native,-99.5729908220459
federal,item_U_snap,mexican_observed_total,-6.032436434465499
federal,item_U_snap,third_plus_nh_white,-13.923635926276646
federal,item_U_snap,all_native,-34.61146812493233
federal,item_U_tanf,mexican_observed_total,-0.7533671396338121
federal,item_U_tanf,third_plus_nh_white,-1.363186995589593
federal,item_U_tanf,all_native,-3.6085778895969067
federal,item_U_ssi,mexican_observed_total,0.0898595138122306
federal,item_U_ssi,third_plus_nh_white,0.49385719490960867
federal,item_U_ssi,all_native,0.9731761175528114
federal,item_M_medicare,mexican_observed_total,-11.73427728623306
federal,item_M_medicare,third_plus_nh_white,-130.10176062633298
federal,item_M_medicare,all_native,-171.4498343926195
federal,item_M_medicaid,mexican_observed_total,-15.882320106828642
federal,item_M_medicaid,third_plus_nh_white,-67.10800579937357
federal,item_M_medicaid,all_native,-113.71438146661839
federal,item_C,mexican_observed_total,26.334719627209427
federal,item_C,third_plus_nh_white,355.07814887121606
federal,item_C,all_native,466.8684638765408
federal,item_X,mexican_observed_total,12.195948017934779
federal,item_X,third_plus_nh_white,51.607165928180756
federal,item_X,all_native,84.59513374019312
state_local,base_state_income_tax,mexican_observed_total,25.452230492112786
state_local,base_state_income_tax,third_plus_nh_white,291.41075423529566
state_local,base_state_income_tax,all_native,419.25033412618734
state_local,base_state_local_sales_tax,mexican_observed_total,25.767819063003373
state_local,base_state_local_sales_tax,third_plus_nh_white,164.24658890249398
state_local,base_state_local_sales_tax,all_native,246.53205534264043
state_local,base_owner_property_tax,mexican_observed_total,24.97004340927455
state_local,base_owner_property_tax,third_plus_nh_white,240.26822100529625
state_local,base_owner_property_tax,all_native,338.6588234415379
state_local,base_cash_tanf_general_assistance,mexican_observed_total,-0.616391296064028
state_local,base_cash_tanf_general_assistance,third_plus_nh_white,-1.1153348145733033
state_local,base_cash_tanf_general_assistance,all_native,-2.9524728187611053
state_local,base_cash_unemployment,mexican_observed_total,-2.90607810996779
state_local,base_cash_unemployment,third_plus_nh_white,-12.566956166430458
state_local,base_cash_unemployment,all_native,-20.56900013526417
state_local,base_k12_state_local,mexican_observed_total,-100.83636438275525
state_local,base_k12_state_local,third_plus_nh_white,-289.60475755411426
state_local,base_k12_state_local,all_native,-563.4841014757461
state_local,base_medical_TOTMCD24,mexican_observed_total,-13.869262950808908
state_local,base_medical_TOTMCD24,third_plus_nh_white,-58.60217979964706
state_local,base_medical_TOTMCD24,all_native,-99.3012763400373
state_local,base_medical_TOTSTL24,mexican_observed_total,-0.9947196460316889
state_local,base_medical_TOTSTL24,third_plus_nh_white,-2.700647991073369
state_local,base_medical_TOTSTL24,all_native,-4.23737646114138
state_local,item_G,mexican_observed_total,-142.41574198875702
state_local,item_G,third_plus_nh_white,-578.5900503303302
state_local,item_G,all_native,-966.221440943864
state_local,item_K,mexican_observed_total,-22.730761866120773
state_local,item_K,third_plus_nh_white,-54.252996687656065
state_local,item_K,all_native,-107.2317669340125
state_local,item_P,mexican_observed_total,-6.5457631048464355
state_local,item_P,third_plus_nh_white,-25.438292695075667
state_local,item_P,all_native,-41.7928149230325
state_local,item_D,mexican_observed_total,-2.7463990102365803
state_local,item_D,third_plus_nh_white,10.970589088806028
state_local,item_D,all_native,9.17285571804505
state_local,item_S,mexican_observed_total,0.0
state_local,item_S,third_plus_nh_white,0.0
state_local,item_S,all_native,0.0
state_local,matched_grants_financing,mexican_observed_total,9.931618387211596
state_local,matched_grants_financing,third_plus_nh_white,42.02565288819524
state_local,matched_grants_financing,all_native,68.88899366307703
state_local,item_U_tanf,mexican_observed_total,-0.616391296064028
state_local,item_U_tanf,third_plus_nh_white,-1.1153348145733033
state_local,item_U_tanf,all_native,-2.9524728187611053
state_local,item_U_ui,mexican_observed_total,-2.130445862417387
state_local,item_U_ui,third_plus_nh_white,-9.212835565610169
state_local,item_U_ui,all_native,-15.079133999162163
state_local,item_M_medicaid,mexican_observed_total,-7.5337836348793985
state_local,item_M_medicaid,third_plus_nh_white,-31.832704067168272
state_local,item_M_medicaid,all_native,-53.940453307908264
state_local,item_C,mexican_observed_total,8.215247014746023
state_local,item_C,third_plus_nh_white,110.76839791002969
state_local,item_C,all_native,145.6419437318778
state_local,item_X,mexican_observed_total,25.525898191614427
state_local,item_X,third_plus_nh_white,108.01286308397745
state_local,item_X,all_native,177.05608192021762
federal,item_N_institutional,mexican_observed_total,-3.01935316861623
state_local,item_N_institutional,mexican_observed_total,-16.04920603538377
federal,item_N_institutional,third_plus_nh_white,-72.3556467360879
state_local,item_N_institutional,third_plus_nh_white,-70.84415410391209
federal,item_N_institutional,all_native,-93.06977018665447
