## A. Expanded partial account, item F = zero; correctional financing is the explicit recorded assumption

                 group geography   population  federal_bn  state_local_bn  total_bn  per_person  federal_share_of_deficit
      4       0.931       0.026           2.573     2.599       2790.997          6.066
      5       0.932       0.040           2.897     2.937       3152.571          5.545
      6       0.933       0.058           3.247     3.305       3541.560          5.053
      7       0.931       0.075           3.883     3.958       4251.412          4.753
      8       0.932       0.117           4.778     4.895       5252.801          4.582
      9       0.933       0.177           6.073     6.250       6699.332          4.410
     10       0.933       0.409          10.109    10.518      11273.631          3.853


## B [F=per_capita] TX / marginal_deficit_avg_rate_3.324pct / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1       0.930       0.002           1.200     1.202       1291.828         18.395
      2       0.930       0.004           1.855     1.859       2000.394          8.938
      3       0.932       0.011           2.251     2.262       2427.122          7.061
      4       0.931       0.018           2.573     2.590       2781.770          6.046
      5       0.932       0.027           2.897     2.924       3138.683          5.520
      6       0.933       0.039           3.247     3.286       3521.328          5.024
      7       0.931       0.050           3.883     3.934       4225.147          4.723
      8       0.932       0.078           4.778     4.856       5211.893          4.546
      9       0.933       0.119           6.073     6.192       6637.240          4.369
     10       0.933       0.275          10.109    10.384      11130.190          3.804


## C. Pass-through spread, per household, US union, average convention

         arm  passthrough  no_cash_rent  owner  renter  all_households
      F=zero          0.0        1156.6 2205.9  1166.3          1854.2
      F=zero          0.5        1139.3 2175.0  1229.8          1854.2
      F=zero          1.0        1122.0 2144.0  1293.3          1854.2
F=per_capita          0.0        2068.3 4380.4  2257.3          3660.1
F=per_capita          0.5        2051.0 4349.5  2320.8          3660.1
F=per_capita          1.0        2033.8 4318.5  2384.2          3660.1


## D. Convention spread, per household, US union, passthrough 0.5

         arm                         convention  total_bn  federal_bn  state_local_bn  per_household
      F=zero                   average_pro_rata    217.32       17.19          200.13         1854.0
      F=zero       marginal_deficit_10y_4.94pct    200.98        0.85          200.13         1715.0
      F=zero marginal_deficit_avg_rate_3.324pct    200.70        0.57          200.13         1712.0
F=per_capita                   average_pro_rata    428.97      228.84          200.13         3660.0
F=per_capita       marginal_deficit_10y_4.94pct    211.43       11.30          200.13         1804.0
F=per_capita marginal_deficit_avg_rate_3.324pct    207.74        7.61          200.13         1772.0


## E. Whites-as-control: the same matrix on the white reference's own balance

         arm                group geography  financed_bn  per_household  pct_of_income
      F=zero Mexican-origin union        US       217.32         1854.0          2.193
      F=zero Mexican-origin union        CA        76.57         7147.0          7.459
      F=zero Mexican-origin union        TX        40.27         4323.0          4.880
      F=zero        3rd+ NH white        US       211.31         1803.0          2.132
      F=zero        3rd+ NH white        CA        -7.84         -732.0         -0.764
      F=zero        3rd+ NH white        TX        15.17         1628.0          1.838
F=per_capita Mexican-origin union        US       428.97         3660.0          4.329
F=per_capita Mexican-origin union        CA       100.66         9396.0          9.807
F=per_capita Mexican-origin union        TX        57.61         6184.0          6.980
F=per_capita        3rd+ NH white        US      1106.92         9445.0         11.170
F=per_capita        3rd+ NH white        CA        94.13         8786.0          9.170
F=per_capita        3rd+ NH white        TX        88.54         9504.0         10.728


## F. Interest arithmetic

                 group  federal_bn  state_local_bn  total_bn  deficit_financed_share   rate  annual_interest_bn
mexican_observed_total    -17.1879       -200.1285 -217.3164                  0.0791 0.0332              0.5713
mexican_observed_total    -17.1879       -200.1285 -217.3164                  0.0791 0.0494              0.8491
   third_plus_nh_white    -43.1405       -168.1732 -211.3137                  0.2042 0.0332              1.4340
   third_plus_nh_white    -43.1405       -168.1732 -211.3137                  0.2042 0.0494              2.1311
            all_native    -48.5007       -620.7161 -669.2168                  0.0725 0.0332              1.6122
            all_native    -48.5007       -620.7161 -669.2168                  0.0725 0.0494              2.3959


## F2. Interest arithmetic, item F = per capita

                 group  federal_bn  state_local_bn   total_bn  deficit_financed_share   rate  annual_interest_bn
mexican_observed_total   -228.8392       -200.1285  -428.9677                  0.5335 0.0332              7.6066
mexican_observed_total   -228.8392       -200.1285  -428.9677                  0.5335 0.0494             11.3047
   third_plus_nh_white   -938.7432       -168.1732 -1106.9163                  0.8481 0.0332             31.2038
   third_plus_nh_white   -938.7432       -168.1732 -1106.9163                  0.8481 0.0494             46.3739
            all_native  -1516.5841       -620.7161 -2137.3002                  0.7096 0.0332             50.4113
            all_native  -1516.5841       -620.7161 -2137.3002                  0.7096 0.0494             74.9193


## G. Tenure x decile, per household, US union, average, passthrough 0.5 and 1.0


passthrough 0.0:
tenure  no_cash_rent   owner  renter
decile                              
1              346.0   515.0   353.0
2              592.0   749.0   593.0
3              746.0   893.0   735.0
4              937.0  1062.0   887.0
5             1132.0  1276.0  1080.0
6             1312.0  1510.0  1272.0
7             1538.0  1855.0  1554.0
8             1959.0  2273.0  2040.0
9             2904.0  3093.0  2734.0
10            6700.0  6035.0  5365.0

passthrough 1.0:
tenure  no_cash_rent   owner  renter
decile                              
1              346.0   510.0   475.0
2              588.0   743.0   728.0
3              736.0   885.0   872.0
4              922.0  1049.0  1022.0
5             1118.0  1258.0  1218.0
6             1289.0  1485.0  1412.0
7             1520.0  1819.0  1695.0
8             1920.0  2225.0  2160.0
9             2755.0  3002.0  2830.0
10            6175.0  5782.0  5355.0


## H. Property-tax structure

geography    frame  passthrough  occupied_owner_share_of_property_tax  occupied_renter_share_of_property_tax  nonresidential_residual_share  owner_base_dollars  renter_base_dollars  cog_property_tax_dollars
       US national          0.0                                0.4899                                 0.1387                         0.3714        3.179383e+11         9.002575e+10              6.490342e+11
       US national          0.5                                0.4899                                 0.1387                         0.3714        3.179383e+11         9.002575e+10              6.490342e+11
       US national          1.0                                0.4899                                 0.1387                         0.3714        3.179383e+11         9.002575e+10              6.490342e+11
       CA    state          0.0                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       CA    state          0.5                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       CA    state          1.0                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       TX    state          0.0                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
       TX    state          0.5                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
       TX    state          1.0                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
       CA    state          0.0                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       CA    state          0.5                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       CA    state          1.0                                0.4258                                 0.1807                         0.3934        3.552549e+10         1.507592e+10              8.342492e+10
       TX    state          0.0                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
       TX    state          0.5                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
       TX    state          1.0                                0.4660                                 0.1125                         0.4216        3.125588e+10         7.543994e+09              6.707659e+10
