universe,allocation,weighting,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,k12_cost_at_full_attendance,15203,37078696.955611,5212.592730,92.389517,851.466443,117.223496
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,modeled_tax_total,15203,37078696.955611,13187.155767,307.877352,-4149.510702,429.743690
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,payroll,15203,37078696.955611,3962.919035,43.840042,-738.083755,56.120207
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,property_tax_owner,15203,37078696.955611,1249.510948,29.804006,-367.116158,33.353328
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,property_tax_renter_proxy,15203,37078696.955611,646.848869,10.218026,300.285755,11.324278
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,sales_tax_itep,15203,37078696.955611,1833.568241,16.042980,-361.705598,21.833026
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,sales_tax_share35,15203,37078696.955611,1093.847447,14.153939,-189.412005,18.901479
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,selected_cash_total,15203,37078696.955611,1351.798667,51.490551,-1332.817134,68.702304
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,selected_noncash_total,15203,37078696.955611,335.229554,9.638044,92.168873,11.206197
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,snap,15203,37078696.955611,168.171463,7.889877,34.656530,9.471771
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,social_security,15203,37078696.955611,888.193659,39.781542,-916.255608,56.542258
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,state_after_credits,15203,37078696.955611,1985.989160,60.112063,-579.887466,77.331863
adults_25_64,equal_adults_18plus,person,age_standardised,all_foreign_born,state_local_total,15203,37078696.955611,4329.347555,86.473395,-1136.415629,110.294341
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,cash_noncash_tax_balance,55652,134686458.170775,12677.148833,228.183652,-1731.841154,118.551671
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,children_5_17,55652,134686458.170775,0.254200,0.002883,0.001533,0.002000
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,employer_payroll,55652,134686458.170775,4034.605903,24.511077,-256.458458,13.685386
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_after_health,55652,134686458.170775,12693.319780,274.317673,-2260.293291,142.339940
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_after_health_ins,55652,134686458.170775,12961.290940,283.566160,-2570.909145,147.987874
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_base,55652,134686458.170775,15860.642079,270.101798,-2238.617308,140.396136
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_flat090,55652,134686458.170775,15429.134054,271.477337,-2245.793193,141.260005
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_renter,55652,134686458.170775,16309.610048,269.988788,-2136.212453,140.309065
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,extended_balance_sales_itep,55652,134686458.170775,16742.387696,271.301379,-2268.886078,140.910732
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,federal_after_refundable,55652,134686458.170775,9086.000930,162.907365,-983.786123,85.869198
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,health_age_birth,55652,134686458.170775,3167.322299,10.770534,21.675983,6.962846
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,health_age_birth_ins,55652,134686458.170775,2899.351140,28.144398,332.291837,18.553638
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,k12_charged,55652,134686458.170775,3559.881581,46.731299,59.200063,31.613576
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,k12_charged_flat090,55652,134686458.170775,3991.389607,52.395793,66.375948,35.445589
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,k12_cost_at_full_attendance,55652,134686458.170775,4434.877341,58.217548,73.751054,39.383988
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,modeled_tax_total,55652,134686458.170775,15816.983221,214.759157,-1519.683248,115.008079
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,payroll,55652,134686458.170775,4398.500476,27.290500,-302.502315,15.610302
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,property_tax_owner,55652,134686458.170775,1485.267398,13.820551,-131.359708,8.839353
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,property_tax_renter_proxy,55652,134686458.170775,448.967968,5.279316,102.404854,3.819710
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,sales_tax_itep,55652,134686458.170775,2105.247143,10.936137,-90.026696,5.917022
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,sales_tax_share35,55652,134686458.170775,1223.501526,9.269601,-59.757926,5.114957
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,selected_cash_total,55652,134686458.170775,2820.368176,41.792131,135.752375,26.890304
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,selected_noncash_total,55652,134686458.170775,319.466212,6.422440,76.405530,5.246108
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,snap,55652,134686458.170775,188.690951,5.165198,55.176018,4.286415
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,social_security,55652,134686458.170775,1841.914822,35.614857,37.465555,20.679833
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,state_after_credits,55652,134686458.170775,2332.481816,34.931090,-233.394810,21.539483
adults_25_64,equal_adults_18plus,person,age_standardised,all_native,state_local_total,55652,134686458.170775,5041.250740,49.962179,-424.512443,29.725984
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,cash_noncash_tax_balance,258,642302.176503,32350.044615,4209.964548,17941.054628,4236.397447
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,children_5_17,258,642302.176503,0.221218,0.037794,-0.031449,0.038373
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,employer_payroll,258,642302.176503,6321.000713,442.764149,2029.936352,447.145941
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_after_health,258,642302.176503,37907.041404,5020.179294,22953.428333,5056.906857
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_after_health_ins,258,642302.176503,38979.499631,5102.855159,23447.299547,5137.309407
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_base,258,642302.176503,40704.797961,5016.328543,22605.538574,5053.036629
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_flat090,258,642302.176503,40271.516766,5019.444920,22596.589519,5056.449505
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_renter,258,642302.176503,41058.179590,5018.953697,22612.357089,5055.117609
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,extended_balance_sales_itep,258,642302.176503,41498.256035,5030.650283,22486.982261,5067.562865
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,federal_after_refundable,258,642302.176503,21007.963070,3123.138831,10938.176018,3140.386864
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,health_age_birth,258,642302.176503,2797.756557,116.455258,-347.889759,115.714251
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,health_age_birth_ins,258,642302.176503,1725.298330,251.080980,-841.760973,249.642299
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,k12_charged,258,642302.176503,3574.509985,640.249964,73.828467,648.193268
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,k12_charged_flat090,258,642302.176503,4007.791180,717.857320,82.777522,726.763465
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,k12_cost_at_full_attendance,258,642302.176503,4453.101312,797.619244,91.975025,807.514961
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,modeled_tax_total,258,642302.176503,33174.380778,4179.994903,15837.714310,4206.170110
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,payroll,258,642302.176503,6693.349323,494.453492,1992.346532,499.610495
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,property_tax_owner,258,642302.176503,3630.069933,568.634418,2013.442827,568.300783
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,property_tax_renter_proxy,258,642302.176503,353.381629,51.114636,6.818515,51.099258
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,sales_tax_itep,258,642302.176503,2771.650760,202.688590,576.376921,203.317580
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,sales_tax_share35,258,642302.176503,1978.192686,186.738974,694.933234,187.278600
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,selected_cash_total,258,642302.176503,750.363665,257.810827,-1934.252135,260.120187
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,selected_noncash_total,258,642302.176503,73.972498,20.071020,-169.088183,20.486028
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,snap,258,642302.176503,27.750546,12.301289,-105.764387,13.158475
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,social_security,258,642302.176503,597.738338,242.943466,-1206.710929,240.102912
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,state_after_credits,258,642302.176503,5473.068385,742.285715,2907.191760,748.023744
adults_25_64,equal_adults_18plus,person,age_standardised,asian_indian_native_selfid,state_local_total,258,642302.176503,11081.331004,1267.131848,5615.567821,1274.418135
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,cash_noncash_tax_balance,628,1512979.429194,23150.499331,2495.536521,8741.509345,2509.384273
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,children_5_17,628,1512979.429194,0.263325,0.021502,0.010658,0.022293
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,employer_payroll,628,1512979.429194,5157.120395,287.429380,866.056035,287.706630
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_after_health,628,1512979.429194,25682.112163,2970.432723,10728.499092,2988.378117
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_after_health_ins,628,1512979.429194,25205.155109,3074.582751,9672.955025,3093.135464
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_base,628,1512979.429194,28103.891926,2975.800467,10004.632539,2992.744572
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_flat090,628,1512979.429194,27565.511677,2984.210979,9890.584430,3001.589914
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_renter,628,1512979.429194,28675.544091,2967.283991,10229.721590,2984.481182
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,extended_balance_sales_itep,628,1512979.429194,28871.070129,2984.931368,9859.796355,3002.642847
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,federal_after_refundable,628,1512979.429194,14445.767640,1709.535160,4375.980588,1720.831010
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,health_age_birth,628,1512979.429194,2421.779763,76.089986,-723.866553,74.956019
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,health_age_birth_ins,628,1512979.429194,2898.736817,278.632862,331.677514,277.910033
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,k12_charged,628,1512979.429194,4441.562655,363.566404,940.881137,373.803612
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,k12_charged_flat090,628,1512979.429194,4979.942904,407.635797,1054.929245,419.113899
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,k12_cost_at_full_attendance,628,1512979.429194,5533.269893,452.928663,1172.143606,465.682110
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,modeled_tax_total,628,1512979.429194,24348.316388,2510.202265,7011.649919,2523.173507
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,payroll,628,1512979.429194,5553.864187,303.830541,852.861396,305.383017
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,property_tax_owner,628,1512979.429194,2637.391046,192.567479,1020.763941,192.363278
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,property_tax_renter_proxy,628,1512979.429194,571.652165,49.605954,225.089051,49.645171
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,sales_tax_itep,628,1512979.429194,2367.622011,115.726996,172.348172,117.007257
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,sales_tax_share35,628,1512979.429194,1600.443808,103.067280,317.184356,103.406575
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,selected_cash_total,628,1512979.429194,962.077612,202.949257,-1722.538189,199.115929
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,selected_noncash_total,628,1512979.429194,235.739445,35.957833,-7.321237,37.110993
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,snap,628,1512979.429194,109.275184,28.898896,-24.239749,29.704853
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,social_security,628,1512979.429194,584.614605,174.586709,-1219.834662,176.035967
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,state_after_credits,628,1512979.429194,4348.684561,560.504910,1782.807935,561.991511
adults_25_64,equal_adults_18plus,person,age_standardised,china_born,state_local_total,628,1512979.429194,8586.519415,757.108313,3120.756232,758.034748
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,cash_noncash_tax_balance,769,1872200.147549,24107.610700,2218.305052,9698.620714,2230.624323
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,children_5_17,769,1872200.147549,0.255964,0.018062,0.003298,0.018824
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,employer_payroll,769,1872200.147549,5358.005406,250.633371,1066.941045,251.629246
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_after_health,769,1872200.147549,27169.988107,2627.192204,12216.375036,2644.091356
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_after_health_ins,769,1872200.147549,27070.955923,2720.197836,11538.755839,2738.459614
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_base,769,1872200.147549,29630.355544,2629.012027,11531.096157,2645.096109
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_flat090,769,1872200.147549,29113.327086,2636.091365,11438.399839,2652.508880
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,extended_balance_renter,769,1872200.147549,30186.400114,2624.241702,11740.577613,2640.488491
