fiscal_year,series,country,class_of_admission,persons,all_countries,share_of_class
2024,LPR_table10,China,Family-sponsored preferences,5260.000000,188190.000000,0.027950
2024,LPR_table10,China,Immediate relatives of U.S. citizens,29240.000000,672240.000000,0.043496
2024,LPR_table10,China,Other,320.000000,62810.000000,0.005095
2024,LPR_table10,China,Refugees and asylees,7500.000000,219850.000000,0.034114
2024,LPR_table10,China,Total,71470.000000,1364090.000000,0.052394
2024,LPR_table10,India,Diversity,30.000000,49890.000000,0.000601
2024,LPR_table10,India,Employment-based preferences,18800.000000,171120.000000,0.109864
2024,LPR_table10,India,Family-sponsored preferences,9660.000000,188190.000000,0.051331
2024,LPR_table10,India,Immediate relatives of U.S. citizens,34090.000000,672240.000000,0.050711
2024,LPR_table10,India,Other,520.000000,62810.000000,0.008279
2024,LPR_table10,India,Refugees and asylees,3710.000000,219850.000000,0.016875
2024,LPR_table10,India,Total,66800.000000,1364090.000000,0.048970
2024,LPR_table10,Mexico,Diversity,0.000000,49890.000000,0.000000
2024,LPR_table10,Mexico,Employment-based preferences,7900.000000,171120.000000,0.046166
2024,LPR_table10,Mexico,Family-sponsored preferences,32570.000000,188190.000000,0.173070
2024,LPR_table10,Mexico,Immediate relatives of U.S. citizens,149260.000000,672240.000000,0.222034
2024,LPR_table10,Mexico,Other,11670.000000,62810.000000,0.185798
2024,LPR_table10,Mexico,Refugees and asylees,1210.000000,219850.000000,0.005504
2024,LPR_table10,Mexico,Total,202600.000000,1364090.000000,0.148524
2024,NI_Table29,India,All other classes,48810.000000,818150.000000,0.059659
2024,NI_Table29,India,Diplomats and other representatives6,8830.000000,464970.000000,0.018990
2024,NI_Table29,India,Students and exchange visitors3,331970.000000,2479300.000000,0.133897
2024,NI_Table29,India,Temporary workers and families4,840320.000000,5156080.000000,0.162977
2024,NI_Table29,India,Total,2944840.000000,77646290.000000,0.037926
2024,NI_Table29,India,Tourists and business travelers - other2,1713410.000000,48224100.000000,0.035530
