group,metric,value,n_unweighted,universe
all_foreign_born,accommodation_7211_share_of_employed,0.000516,219176,employed 25-64
all_foreign_born,accommodation_7211_share_of_self_employed,0.003915,28392,self-employed 25-64
all_foreign_born,ba_plus_share,0.368315,287286,adults 25-64
all_foreign_born,computer_math_occ_share_of_employed,0.060470,219176,employed 25-64
all_foreign_born,doctorate_share,0.026918,287286,adults 25-64
all_foreign_born,employment_rate_25_64,0.772904,287286,adults 25-64
all_foreign_born,english_not_well_or_not_at_all_share,0.259990,423012,foreign-born 5+
all_foreign_born,english_very_well_or_only_share,0.532180,423012,foreign-born 5+
all_foreign_born,graduate_degree_share,0.167727,287286,adults 25-64
all_foreign_born,group_share_of_all_employed,0.195087,219176,"national denominator, 25-64"
all_foreign_born,group_share_of_all_self_employed,0.256728,28392,"national denominator, 25-64"
all_foreign_born,group_share_of_computer_math_occupations,0.272884,14809,"national denominator, 25-64"
all_foreign_born,group_share_of_physicians_surgeons,0.268507,2451,"national denominator, 25-64"
all_foreign_born,group_share_of_self_employed_traveler_accommodation,0.406580,109,"national denominator, 25-64"
all_foreign_born,hs_or_less_share,0.449448,287286,adults 25-64
all_foreign_born,mean_household_size,3.031160,178717,"households, householder's group, WGTP"
all_foreign_born,median_age,46.000000,425320,all ages
all_foreign_born,median_household_income_householder_group,78910.693200,178717,"households, householder's group, WGTP"
all_foreign_born,median_years_in_us,21.000000,425320,foreign-born
all_foreign_born,naturalised_share,0.522728,425320,foreign-born
all_foreign_born,naturalised_share_years_in_us_0_4,0.040007,53434,foreign-born in that entry window
all_foreign_born,naturalised_share_years_in_us_10_14,0.514723,38213,foreign-born in that entry window
all_foreign_born,naturalised_share_years_in_us_15_19,0.522949,40293,foreign-born in that entry window
all_foreign_born,naturalised_share_years_in_us_20_plus,0.710850,244038,foreign-born in that entry window
all_foreign_born,naturalised_share_years_in_us_5_9,0.263015,49342,foreign-born in that entry window
all_foreign_born,physician_surgeon_share_of_employed,0.009372,219176,employed 25-64
all_foreign_born,population_25_64,33587103.000000,287286,adults 25-64
all_foreign_born,population_all_ages,47805505.000000,425320,all ages
all_foreign_born,self_employed_incorporated_share,0.049622,219176,employed 25-64
all_foreign_born,self_employed_share_of_employed,0.131822,219176,employed 25-64
all_foreign_born,top10_occupation_share_of_employed,0.231879,219176,employed 25-64
all_foreign_born,top10_puma_share,0.020894,425320,all ages
all_foreign_born,top50_puma_share,0.080999,425320,all ages
all_foreign_born,top5_state_share,0.582382,425320,all ages
all_foreign_born,top_occupation_01,0.029954,219176,1021 CMM-Software Developers
all_foreign_born,top_occupation_02,0.029259,219176,9130 TRN-Driver/Sales Workers And Truck Drivers
all_foreign_born,top_occupation_03,0.028469,219176,440 MGR-Other Managers
all_foreign_born,top_occupation_04,0.028004,219176,6260 CON-Construction Laborers
all_foreign_born,top_occupation_05,0.023099,219176,4230 CLN-Maids And Housekeeping Cleaners
all_foreign_born,top_occupation_06,0.022313,219176,4220 CLN-Janitors And Building Cleaners
all_foreign_born,top_occupation_07,0.021350,219176,3255 MED-Registered Nurses
all_foreign_born,top_occupation_08,0.020106,219176,4020 EAT-Cooks
all_foreign_born,top_occupation_09,0.014831,219176,"9620 TRN-Laborers And Freight, Stock, And Material Movers, Hand"
all_foreign_born,top_occupation_10,0.014496,219176,4251 CLN-Landscaping And Groundskeeping Workers
all_foreign_born,top_selfemployed_industry_01,0.194108,28392,770 CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction)
all_foreign_born,top_selfemployed_industry_02,0.054928,28392,"7690 PRF-Services To Buildings And Dwellings, Except Landscaping Services"
all_foreign_born,top_selfemployed_industry_03,0.051406,28392,"8680 ENT-Food Services And Drinking Places, except Alcoholic Beverages"
all_foreign_born,top_selfemployed_industry_04,0.045470,28392,9290 SRV-Private Households
all_foreign_born,top_selfemployed_industry_05,0.044070,28392,6170 TRN-Truck Transportation
china_born,accommodation_7211_share_of_employed,0.000221,12622,employed 25-64
china_born,accommodation_7211_share_of_self_employed,0.001908,1413,self-employed 25-64
china_born,ba_plus_share,0.589981,16128,adults 25-64
china_born,computer_math_occ_share_of_employed,0.145732,12622,employed 25-64
china_born,doctorate_share,0.109671,16128,adults 25-64
china_born,employment_rate_25_64,0.785106,16128,adults 25-64
china_born,english_not_well_or_not_at_all_share,0.328809,24258,foreign-born 5+
china_born,english_very_well_or_only_share,0.420955,24258,foreign-born 5+
china_born,graduate_degree_share,0.376955,16128,adults 25-64
china_born,group_share_of_all_employed,0.008838,12622,"national denominator, 25-64"
china_born,group_share_of_all_self_employed,0.010224,1413,"national denominator, 25-64"
china_born,group_share_of_computer_math_occupations,0.029792,1875,"national denominator, 25-64"
china_born,group_share_of_physicians_surgeons,0.018771,172,"national denominator, 25-64"
china_born,group_share_of_self_employed_traveler_accommodation,0.007891,4,"national denominator, 25-64"
china_born,hs_or_less_share,0.301715,16128,adults 25-64
china_born,mean_household_size,2.624275,10036,"households, householder's group, WGTP"
china_born,median_age,46.000000,25017,all ages
china_born,median_household_income_householder_group,91756.620000,10036,"households, householder's group, WGTP"
china_born,median_years_in_us,17.000000,24307,foreign-born
china_born,naturalised_share,0.522722,24307,foreign-born
china_born,naturalised_share_years_in_us_0_4,0.032430,3233,foreign-born in that entry window
china_born,naturalised_share_years_in_us_10_14,0.382603,3627,foreign-born in that entry window
china_born,naturalised_share_years_in_us_15_19,0.604667,2752,foreign-born in that entry window
china_born,naturalised_share_years_in_us_20_plus,0.836106,10998,foreign-born in that entry window
china_born,naturalised_share_years_in_us_5_9,0.155355,3697,foreign-born in that entry window
china_born,physician_surgeon_share_of_employed,0.014462,12622,employed 25-64
china_born,population_25_64,1497895.000000,16128,adults 25-64
china_born,population_all_ages,2280969.000000,25017,all ages
china_born,self_employed_incorporated_share,0.055569,12622,employed 25-64
china_born,self_employed_share_of_employed,0.115880,12622,employed 25-64
china_born,spouse_china_born_share,0.775498,12781,married spouse-present couples
china_born,top10_occupation_share_of_employed,0.324486,12622,employed 25-64
china_born,top10_puma_share,0.123103,25017,all ages
china_born,top50_puma_share,0.308740,25017,all ages
china_born,top5_state_share,0.638006,25017,all ages
china_born,top_occupation_01,0.086794,12622,1021 CMM-Software Developers
china_born,top_occupation_02,0.035598,12622,2205 EDU-Postsecondary Teachers
china_born,top_occupation_03,0.029967,12622,4000 EAT-Chefs And Head Cooks
china_born,top_occupation_04,0.029211,12622,800 FIN-Accountants And Auditors
china_born,top_occupation_05,0.028819,12622,440 MGR-Other Managers
china_born,top_occupation_06,0.028224,12622,"1760 SCI-Physical Scientists, All Other"
china_born,top_occupation_07,0.023337,12622,1240 CMM-Other Mathematical Science Occupations
china_born,top_occupation_08,0.022773,12622,4110 EAT-Waiters And Waitresses
china_born,top_occupation_09,0.020883,12622,1530 ENG-Other Engineers
china_born,top_occupation_10,0.018880,12622,4720 SAL-Cashiers
china_born,top_selfemployed_industry_01,0.190129,1413,"8680 ENT-Food Services And Drinking Places, except Alcoholic Beverages"
china_born,top_selfemployed_industry_02,0.062858,1413,770 CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction)
china_born,top_selfemployed_industry_03,0.061559,1413,8990 SRV-Nail Salons And Other Personal Care Services
china_born,top_selfemployed_industry_04,0.052687,1413,"7071 FIN-Lessors Of Real Estate, And Offices Of Real Estate Agents And Brokers"
china_born,top_selfemployed_industry_05,0.042084,1413,6190 TRN-Taxi And Limousine Service
china_born_broad,accommodation_7211_share_of_employed,0.000246,16600,employed 25-64
china_born_broad,accommodation_7211_share_of_self_employed,0.002162,1843,self-employed 25-64
china_born_broad,ba_plus_share,0.628306,21327,adults 25-64
china_born_broad,computer_math_occ_share_of_employed,0.140752,16600,employed 25-64
china_born_broad,doctorate_share,0.101613,21327,adults 25-64
china_born_broad,employment_rate_25_64,0.783508,21327,adults 25-64
