year,group,cvap_m,voters_m,turnout_pct,foreign_born_pct,share_of_cvap_pct,share_of_voters_pct
2004,hisp_other,6.365622180199999,3.3841038688999996,53.16218545653107,32.4110483201059,3.2311923933895246,2.6914375619928403
2004,mexican,9.722381548600001,4.2032555272000005,43.23277693010576,20.1900731141606,4.935084806506687,3.342923340067962
2004,non_hispanic,180.91735544520003,118.1485639145,65.30526804560067,5.029278971555631,91.83372280010381,93.96563909793922
2008,hisp_other,8.0279619977,4.5518924468,56.700473272097085,32.25151051340034,3.8956995219544477,3.4709131131244058
2008,mexican,11.5093727337,5.1935659771,45.12466575952474,21.613302144749532,5.585110874904041,3.960202589247425
2008,non_hispanic,186.5350780011,121.3984883833,65.08078249099299,5.528729367427173,90.5191896031415,92.56888429762817
2012,hisp_other,9.4336609306,5.3200341039,56.394162807393116,30.97725285653378,4.386094219258654,4.001583281269736
2012,mexican,13.8952151187,5.8679593706999995,42.23007215485981,20.03057445835641,6.460452962624049,4.41371759172553
2012,non_hispanic,191.7522521485,121.76023551269999,63.498725124961965,6.059487410818863,89.15345281811729,91.58469912700474
2016,hisp_other,11.191660675099998,5.8203467941,52.00610492998167,31.5976674147012,4.9949613366528585,4.231854665412671
2016,mexican,15.4706332689,6.861999589299999,44.35500131138397,21.19026421491208,6.904713900379263,4.989219028233065
2016,non_hispanic,197.3967111373,124.8542009293,63.250395718324405,6.602096017463698,88.1003247629679,90.77892630635428
2020,hisp_other,12.479680123,7.1048145836,56.93106324500942,33.098457423498814,5.3886329352359885,4.59478655250907
2020,mexican,18.1473645061,9.3545791422,51.547866022394494,19.845046595550844,7.835896842025415,6.049741895612331
2020,non_hispanic,200.9656482299,138.16834583090002,68.75222061475833,6.855658037605932,86.7754702227386,89.35547155187862
2024,hisp_other,13.0349496107,7.2505355721,55.62380974720649,34.54901492755488,5.520050781696805,4.6987514597483075
2024,mexican,19.729718244000004,9.322266564300001,47.24987173668834,19.26116438715829,8.355156703179718,6.041348696463348
2024,non_hispanic,203.3735512704,137.7349035214,67.72508158559488,7.5896873338645126,86.12479251512346,89.25989984378835
