spec,description,term,coef,se,t,ci_lo,ci_hi,n,clusters,note
S1,"county FE + state x year FE, pop weighted",mex_pp,-0.021057927334559585,0.14855544957748246,-0.14175129484951238,-0.3122266085064252,0.27011075383730604,21721,49,
S2,county FE + national year FE,mex_pp,0.4890751108110666,0.1437667069813028,3.4018662670952873,0.2072923651277131,0.7708578564944201,21721,49,
S3,"long difference 2000-2024, state FE, weight pop2000",d_mex,-0.12083354826989669,0.26074741368587595,-0.4634122600175265,-0.6318984790942135,0.39023138255442014,3103,49,
S4,"shift-share IV, long difference",d_mex (instrumented),-0.42395758092009245,0.3648626911164225,-1.1619647369887254,-1.1390884555082805,0.2911732936680957,3103,49,first stage b=0.207 se=0.043 F=22.9
S5,"S1 without AZ, CA, NM, TX",mex_pp,0.4511368256145555,0.35175509521743886,1.2825310329497386,-0.23830316101162463,1.1405768122407356,19201,45,
S6,"S1 on 2016, 2020, 2024 only",mex_pp,0.5970936268240212,0.17678915317330254,3.3774336044174804,0.25058688660434825,0.9436003670436942,9309,49,
S7,PLACEBO: 2000-2008 vote change on 2008-2024 composition change,d_mex_late,-0.2217717239925446,0.25078081169893207,-0.8843249309631651,-0.7133021149224514,0.2697586669373623,3103,49,
S8,S1 plus the non-Mexican Hispanic share,mex_pp,0.20156944606213353,0.14775844234087557,1.3641822617290262,-0.08803710092598258,0.4911759930502496,21721,49,
S8,S1 plus the non-Mexican Hispanic share,nonmex_hisp_pp,0.7112272926797419,0.1811705087329868,3.9257343684339094,0.35613309556308786,1.066321489796396,21721,49,covariate
S9,"S1 on 2000-2016 only (one vote source, MEDSL)",mex_pp,0.12919257181672752,0.14489274063219115,0.8916428197371299,-0.15479719982236714,0.41318234345582217,15515,49,
S10,S1 with the total Hispanic share,hisp_pp,0.4448435034120839,0.18004645233111619,2.4707151829572855,0.09195245684309616,0.7977345499810716,21721,49,
T1,"county FE + state x year FE, pop weighted",mex_pp,-0.08809423160810291,0.28303271540392094,-0.31125105619815746,-0.6428383537997879,0.4666498905835821,15515,49,
T2,county FE + national year FE,mex_pp,-0.19451650964981232,0.2167657974035731,-0.8973579410577527,-0.6193774725608157,0.23034445326119096,15515,49,
