year,exit_hisp_pct_of_voters,hisp_dem,hisp_rep,exit_white_pct_of_voters,white_dem,white_rep,hisp_dem2p,white_dem2p,cps_hisp_other_pct,cps_mex_pct_of_voters,cps_nonhisp_pct
2000,7,62,35,81,42,55,63.91752577319588,43.29896907216495,,,
2004,8,53,44,77,41,58,54.63917525773196,41.41414141414141,2.69,3.34,93.97
2008,9,67,31,74,43,55,68.36734693877551,43.87755102040816,3.47,3.96,92.57
2012,10,71,27,72,39,59,72.44897959183673,39.795918367346935,4.0,4.41,91.58
2016,11,66,28,70,37,57,70.2127659574468,39.361702127659576,4.23,4.99,90.78
2020,13,65,32,67,41,58,67.01030927835052,41.41414141414141,4.59,6.05,89.36
2024,11,51,46,71,42,57,52.577319587628864,42.42424242424242,4.7,6.04,89.26
