year,gap_CA_minus_TX_pp,hisp_share_of_voters_CA_pp,hisp_share_of_voters_TX_pp,hisp_dem2p_national_pp,nonhisp_dem2p_CA_pp,nonhisp_dem2p_TX_pp,composition_term_pp,conversion_term_pp,residual_pp
2004,16.559146660016566,16.252518523223806,19.28051048669719,54.63917525773196,55.12847893343511,34.632399629919774,-0.29549374109151666,16.854640401108078,3.552713678800501e-15
2008,18.21437782510077,21.416147575522384,20.123347836650346,68.36734693877551,60.619055557327705,37.941330034592504,0.2467586789164211,17.967619146184344,3.552713678800501e-15
2012,19.88069936789379,23.45111009104518,21.87015139794518,72.44897959183673,58.63274077814741,33.4665966077462,0.41736220057449647,19.463337167319292,0.0
2016,20.841435885675942,23.203421654325222,20.13729379267716,70.2127659574468,64.89409716030644,39.00171299023185,0.5600239883997074,20.281411897276236,0.0
2020,17.740400759463945,26.867164249062597,25.027734188165972,67.01030927835052,64.1379609903393,40.54581564156059,0.26981534464125806,17.470585414822683,3.552713678800501e-15
2024,17.339186916770096,27.741252478653557,23.220295535680055,52.577319587628864,63.40345994665046,40.18295892313789,0.03544928239061912,17.303737634379477,0.0
