st,state_fips,mex_share_pp,nonhisp_dem2p_2008,state_dem2p_2008,votes_2008,tuition_ever,tuition_first_year,immig_laws_restrict,immig_laws_accom,pct_latino_legislature
AL,01,1.8936797486057635,39.109097246427325,39.109097246427325,2099819,0.0,,25.0,3.0,0.0
AZ,04,26.67515064355534,,45.68609928038368,2293475,0.0,,67.0,11.0,17.6
AR,05,4.132173748820972,40.373314472510614,39.82827938928274,1086617,0.0,,8.0,6.0,0.0
CA,06,30.042893501885093,64.19616900078213,62.27844107416005,13561900,0.0,,11.0,78.0,22.640000152
CO,08,14.68677829852605,47.220805305642905,54.533952786682896,2371908,1.0,2013.0,24.0,14.0,7.2
DE,10,3.0398271886200097,62.63813864988856,62.63813864988856,412412,0.0,,2.0,6.0,2.2
DC,11,1.2679438440740067,93.40076833341567,93.40076833341567,265853,0.0,,,,
FL,12,3.1140771532288287,51.69243212580911,51.41773301516778,8391639,1.0,2014.0,16.0,15.0,11.0000000951
GA,13,4.986508792106525,48.00516042805565,47.37203628880513,3925278,0.0,,40.0,8.0,1.0
HI,15,2.528037445231584,72.97556268653368,72.97556268653368,452742,1.0,2013.0,9.0,6.0,1.2
ID,16,8.76680738563541,39.079081941252156,36.97541019497945,655032,0.0,,12.0,3.0,0.6
IL,17,11.560838048087758,52.47202185116901,62.732453575325486,5523051,1.0,2003.0,11.0,42.0,6.8
IN,18,3.914027802106719,49.35867282636941,50.52195344537809,2751054,0.0,,15.0,8.0,1.0
IA,19,3.227756740788484,54.87680982374191,54.84877778946735,1536820,0.0,,5.0,9.0,0.0
KS,20,7.361164360014183,41.60306076799148,42.38772418109056,1235872,1.0,2004.0,11.0,8.0,2.4
KY,21,1.5501411100658513,41.76657241229539,41.76657241229539,1826508,0.0,,4.0,4.0,0.2
LA,22,1.3306672989468997,40.50468778584455,40.50468778584455,1959085,0.0,,10.0,12.0,0.5
ME,23,0.385754873212902,58.8295249834076,58.8295249834076,731163,0.0,,11.0,9.0,0.0
MD,24,1.245712132752973,62.93008729288553,62.93008729288553,2631596,1.0,2011.0,8.0,15.0,2.0
MA,25,0.558869856996647,63.196501280456474,63.196501280456474,3081336,0.0,,4.0,3.0,2.6
MI,26,2.9976652552346486,58.38666615875116,58.37130157615452,5001766,1.0,2013.0,17.0,18.0,1.8799999952
MN,27,2.901932456625391,55.256197128599965,55.22937499539274,2910369,1.0,2013.0,7.0,15.0,1.1
MS,28,1.368847185720543,43.36145858333483,43.36145858333483,1285259,0.0,,12.0,1.0,0.0
MO,29,2.2165740631280295,48.373012319837244,48.31581175165009,2771986,0.0,,21.0,14.0,1.0
MT,30,1.9761423968661145,48.770629558670294,48.770629558670294,496072,0.0,,9.0,3.0,0.6666666666666666
NE,31,6.234552435382626,43.12739149943008,42.39092557783436,801281,1.0,2006.0,,,0.0
NV,32,19.771102292983723,40.60306558338219,56.3867381251961,967848,0.0,,6.0,5.0,9.833333333333334
NH,33,0.524167584625127,54.868541120109505,54.868541120109505,710970,0.0,,4.0,3.0,0.3
NJ,34,2.1467310510270563,57.86462987142395,57.86462987142395,3838498,1.0,2013.0,3.0,1.0,6.480000019099999
NM,35,25.09807314516047,50.751367024586585,57.66490001879759,830158,1.0,2005.0,5.0,7.0,40.040000152
NY,36,2.005539980238774,63.49442585048612,63.49442585048612,7591233,1.0,2001.0,6.0,21.0,8.3
NC,37,4.542542565781218,50.27592357919823,50.16596330006731,4310789,0.0,,5.0,4.0,1.1599999904
ND,38,1.437336355465239,45.59134371803188,45.59134371803188,316621,0.0,,6.0,7.0,0.0
OH,39,1.3176065931320557,52.308332615593166,52.308332615593166,5698048,0.0,,3.0,3.0,0.8
OK,40,6.187354106135804,33.0097070322622,34.354918877306496,1462661,1.0,2003.0,25.0,8.0,0.4
OR,41,8.84824222307894,59.59452345742123,58.41372117722718,1827864,1.0,2013.0,10.0,10.0,1.6999999946666666
PA,42,0.807687971908645,55.210795920599104,55.210795920599104,5977981,0.0,,7.0,19.0,0.2800000012
RI,44,0.7915784376681632,64.19813750914578,64.19813750914578,471766,0.0,,4.0,4.0,3.3
SC,45,2.5181650251184835,45.4845351436947,45.45557081079087,1920969,0.0,,31.0,2.0,0.4
SD,46,1.6540847418686198,45.704292765884624,45.704292765884624,377708,0.0,,6.0,2.0,0.0
TN,47,2.479414926530532,42.42464149666983,42.36852819764554,2600124,0.0,,28.0,11.0,0.8
TX,48,30.688009083151357,26.94897269103015,44.06406324905928,8077795,1.0,2001.0,18.0,12.0,21.966666540000002
UT,49,8.634834153337128,23.960280591973543,35.47363862725993,952370,1.0,2001.0,34.0,20.0,3.2
VT,50,0.3857101870686348,68.8991817393381,68.8991817393381,325046,0.0,,2.0,7.0,0.4
VA,51,1.6984926562431808,53.17326624251848,53.18258440612755,4507881,0.0,,28.0,26.0,0.6
WA,53,7.859652009811071,60.79034977373286,58.75202680210895,3036878,1.0,2003.0,8.0,27.0,1.8
WV,54,0.49354009019527956,43.32625623286275,43.32625623286275,713451,0.0,,11.0,3.0,0.13999999759999998
WI,55,3.598354829607352,57.05567824781841,57.05567824781841,2983417,1.0,2009.0,2.0,3.0,1.2
WY,56,5.376286623316392,31.99036975178124,33.43797664490408,256035,0.0,,3.0,2.0,1.8200000048
