year,fips,dem,rep,total_votes,pop,mex,hisp,source,nhwhite,vap,cvap,hisp_vap,hisp_cvap,med_income,state,dem2p,mex_share,hisp_share,turnout_cvap,votes_per_pop,nhwhite_share,mex_share_of_hisp
2000,01001,4942,11993,17208,43671,302,610,dec2000,,,,,,,01,0.291822,0.00691534,0.0139681,,0.394037,,0.495082
2004,01001,4758,15196,20081,48031,493.6,890,interp dec2000/dec2010,,,,,,,01,0.238448,0.0102767,0.0185297,,0.418084,,0.554607
2008,01001,6093,17403,23641,49584,573,1012,acs5_2009,38636,35648,35313,,,51463,01,0.259321,0.0115561,0.0204098,0.66947,0.476787,0.779203,0.566206
2012,01001,6363,17379,23932,55136,820,1391,acs5_2014,42033,40922,40544,868,659,52475,01,0.268006,0.0148723,0.0252285,0.590272,0.434054,0.762351,0.589504
2016,01001,5936,18172,24973,55200,737,1528,acs5_2018,41412,41831,41304,995,739,58786,01,0.246225,0.0133514,0.0276812,0.604615,0.452409,0.750217,0.48233
2020,01001,7503,19838,27770,58761,832,1864,acs5_2022,42635,44995,44357,1246,982,68315,01,0.274423,0.0141591,0.0317217,0.626057,0.472592,0.725566,0.446352
2024,01001,7439,20484,28190,59285,1042,2188,acs5_2023,42497,45359,44761,1463,1211,69841,01,0.266411,0.0175761,0.0369065,0.629789,0.4755,0.716826,0.476234
2000,01003,13997,40872,56480,140415,1446,2466,dec2000,,,,,,,01,0.255099,0.010298,0.0175622,,0.402236,,0.586375
2004,01003,15599,52971,69320,157155,2989.2,4676.4,interp dec2000/dec2010,,,,,,,01,0.22749,0.0190207,0.0297566,,0.441093,,0.63921
2008,01003,19386,61271,81413,171997,2797,4989,acs5_2009,146381,131900,128946,,,48918,01,0.240351,0.0162619,0.0290063,0.631373,0.47334,0.851067,0.560633
2012,01003,18424,66016,85338,191205,5899,8630,acs5_2014,159047,148019,144118,5544,3738,50183,01,0.21819,0.0308517,0.0451348,0.59214,0.446317,0.831814,0.683546
2016,01003,18458,72883,95215,208107,5129,9353,acs5_2018,172768,162430,159193,5886,4214,55962,01,0.202078,0.024646,0.0449432,0.59811,0.457529,0.830188,0.54838
2020,01003,24578,83544,109679,233420,5950,11210,acs5_2022,192161,184024,180460,7284,5164,71039,01,0.227317,0.0254905,0.048025,0.607775,0.469878,0.823241,0.530776
2024,01003,24934,95798,121808,239945,7144,13393,acs5_2023,195347,188817,184665,8715,6134,75019,01,0.206524,0.0297735,0.055817,0.659616,0.50765,0.814132,0.533413
2000,01005,5188,5096,10395,29038,334,478,dec2000,,,,,,,01,0.504473,0.0115022,0.0164612,,0.357979,,0.698745
2004,01005,4832,5899,10777,28405.6,644,841.6,interp dec2000/dec2010,,,,,,,01,0.450284,0.0226716,0.029628,,0.379397,,0.765209
2008,01005,5697,5866,11630,29663,1180,1262,acs5_2009,14251,22863,22285,,,32537,01,0.492692,0.0397802,0.0425446,0.521876,0.392071,0.48043,0.935024
