allocation,account,group,survival,horizon,start_age,real_discount_rate,stored_npv,recomputed_npv,abs_diff
personal,partial,mexico_born,common_total,full_100plus,0,0.0,-198972.24990960804,-198972.24990960804,0.0
personal,partial,mexico_born,common_total,full_100plus,0,0.02,-105580.13502891036,-105580.13502891036,0.0
personal,partial,mexico_born,common_total,full_100plus,0,0.03,-100903.83582604036,-100903.83582604035,1.4551915228366852e-11
personal,partial,mexico_born,common_total,full_100plus,0,0.05,-102301.47415561495,-102301.47415561497,1.4551915228366852e-11
personal,partial,mexico_born,common_total,full_100plus,25,0.0,-15934.047264039567,-15934.047264039567,0.0
personal,partial,mexico_born,common_total,full_100plus,25,0.02,92262.04100535056,92262.04100535056,0.0
personal,partial,mexico_born,common_total,full_100plus,25,0.03,106856.9061433832,106856.90614338321,1.4551915228366852e-11
personal,partial,mexico_born,common_total,full_100plus,25,0.05,108829.52872728145,108829.52872728143,1.4551915228366852e-11
personal,partial,mexico_born,common_total,truncate83,0,0.0,-126171.28587433088,-126171.28587433089,1.4551915228366852e-11
personal,partial,mexico_born,common_total,truncate83,0,0.02,-92773.33079440235,-92773.33079440235,0.0
personal,partial,mexico_born,common_total,truncate83,0,0.03,-95451.09597341872,-95451.09597341873,1.4551915228366852e-11
personal,partial,mexico_born,common_total,truncate83,0,0.05,-101284.18273561104,-101284.18273561104,0.0
personal,partial,mexico_born,common_total,truncate83,25,0.0,57944.79757385292,57944.79757385292,0.0
personal,partial,mexico_born,common_total,truncate83,25,0.02,113584.04551667778,113584.04551667778,0.0
personal,partial,mexico_born,common_total,truncate83,25,0.03,118442.76842332169,118442.76842332167,1.4551915228366852e-11
personal,partial,mexico_born,common_total,truncate83,25,0.05,112325.44340262275,112325.44340262277,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,full_100plus,0,0.0,-241279.60356613132,-241279.60356613132,0.0
personal,partial,mexico_born,group_specific,full_100plus,0,0.02,-113414.70656875352,-113414.70656875352,0.0
personal,partial,mexico_born,group_specific,full_100plus,0,0.03,-104352.55725920046,-104352.55725920046,0.0
personal,partial,mexico_born,group_specific,full_100plus,0,0.05,-103024.6836358508,-103024.68363585079,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,full_100plus,25,0.0,-58637.98894734973,-58637.988947349724,7.275957614183426e-12
personal,partial,mexico_born,group_specific,full_100plus,25,0.02,79322.22108784779,79322.22108784779,0.0
personal,partial,mexico_born,group_specific,full_100plus,25,0.03,99647.08211218569,99647.08211218569,0.0
personal,partial,mexico_born,group_specific,full_100plus,25,0.05,106561.93582845504,106561.93582845503,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,truncate83,0,0.0,-141927.32668105583,-141927.32668105583,0.0
personal,partial,mexico_born,group_specific,truncate83,0,0.02,-96154.3241332158,-96154.32413321579,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,truncate83,0,0.03,-97045.52442127564,-97045.52442127565,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,truncate83,0,0.05,-101675.62902189902,-101675.62902189902,0.0
personal,partial,mexico_born,group_specific,truncate83,25,0.0,42045.44883956604,42045.44883956604,0.0
personal,partial,mexico_born,group_specific,truncate83,25,0.02,108019.11681092344,108019.11681092343,1.4551915228366852e-11
personal,partial,mexico_born,group_specific,truncate83,25,0.03,115151.37229608514,115151.37229608514,0.0
personal,partial,mexico_born,group_specific,truncate83,25,0.05,111191.52250885197,111191.52250885197,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,0,0.0,-86281.27349614435,-86281.27349614435,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,0,0.02,-49770.37469819,-49770.374698190004,7.275957614183426e-12
personal,partial,mexican_second_gen,common_total,full_100plus,0,0.03,-63652.546766331194,-63652.546766331194,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,0,0.05,-86676.62847364211,-86676.62847364211,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,25,0.0,107054.8215986448,107054.8215986448,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,25,0.02,195878.30653457044,195878.30653457044,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,25,0.03,198000.69413102543,198000.69413102543,0.0
personal,partial,mexican_second_gen,common_total,full_100plus,25,0.05,177795.71610079036,177795.71610079036,0.0
personal,partial,mexican_second_gen,common_total,truncate83,0,0.0,9165.177858515934,9165.177858515934,0.0
personal,partial,mexican_second_gen,common_total,truncate83,0,0.02,-32979.88251754655,-32979.88251754655,0.0
personal,partial,mexican_second_gen,common_total,truncate83,0,0.03,-56503.67619861899,-56503.676198618996,7.275957614183426e-12
personal,partial,mexican_second_gen,common_total,truncate83,0,0.05,-85342.89811279322,-85342.89811279322,0.0
personal,partial,mexican_second_gen,common_total,truncate83,25,0.0,203914.4396463051,203914.4396463051,0.0
personal,partial,mexican_second_gen,common_total,truncate83,25,0.02,223832.739464718,223832.73946471798,2.9103830456733704e-11
personal,partial,mexican_second_gen,common_total,truncate83,25,0.03,213190.45782657329,213190.45782657329,0.0
personal,partial,mexican_second_gen,common_total,truncate83,25,0.05,182379.07092887105,182379.07092887102,2.9103830456733704e-11
personal,partial,mexican_second_gen,group_specific,full_100plus,0,0.0,-139753.62881829706,-139753.62881829706,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,0,0.02,-59378.42715345544,-59378.42715345544,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,0,0.03,-67779.45206415236,-67779.45206415236,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,0,0.05,-87472.24102783382,-87472.24102783382,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,25,0.0,52874.944241809215,52874.944241809215,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,25,0.02,179857.2812003531,179857.2812003531,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,25,0.03,189237.66069435724,189237.66069435724,0.0
personal,partial,mexican_second_gen,group_specific,full_100plus,25,0.05,175198.97696597577,175198.97696597577,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,0,0.0,-9496.806146402054,-9496.806146402054,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,0,0.02,-36749.02554693161,-36749.02554693161,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,0,0.03,-58199.49163981041,-58199.49163981041,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,0,0.05,-85703.54912530718,-85703.54912530718,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,25,0.0,184876.99908125016,184876.99908125016,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,25,0.02,217480.6409725541,217480.6409725541,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,25,0.03,209564.71952436143,209564.71952436143,0.0
personal,partial,mexican_second_gen,group_specific,truncate83,25,0.05,181268.64411583063,181268.64411583066,2.9103830456733704e-11
personal,partial,mexican_third_plus_selfid,common_total,full_100plus,0,0.0,-12477.25672790143,-12477.25672790143,0.0
personal,partial,mexican_third_plus_selfid,common_total,full_100plus,0,0.02,-2452.638295606123,-2452.638295606123,0.0
personal,partial,mexican_third_plus_selfid,common_total,full_100plus,0,0.03,-22774.28629123101,-22774.28629123101,0.0
