allocation,account,fertility,attribution,discount,persons,founder_lifetime,lineage_fiscal,crime_social,crime_tangible,crime_social_net_corrections
personal,expanded,low_cps2025,per_capita,0.0,3.148016647854004,126117.04538882928,97279.85236721236,52732.9175101562,21182.73863843102,34446.96364279268
personal,expanded,low_cps2025,per_capita,0.03,3.148016647854004,265712.86789760046,175374.3708648706,18362.859746851114,7376.334878433328,11995.25442444286
personal,expanded,low_cps2025,maternal_full,0.0,13.995935162539062,126117.04538882928,-562385.7422084062,129221.63050994556,51908.14684199656,84412.03366343572
personal,expanded,low_cps2025,maternal_full,0.03,13.995935162539062,265712.86789760046,-45554.67161202994,27940.42559872293,11223.629581850573,18251.651344304908
personal,expanded,low_cps2025,intermarried_half,0.0,1.6076924463746642,126117.04538882928,105232.66557525515,32600.65517142935,13095.637232758845,21295.874312381115
personal,expanded,low_cps2025,intermarried_half,0.03,1.6076924463746642,265712.86789760046,228707.92000173224,15137.485426646266,6080.706560071316,9888.32848162744
personal,expanded,high_nvsr2010,per_capita,0.0,4.058615921235062,126117.04538882928,73554.73725093645,61929.20444268781,24876.87413735002,40454.295999334376
personal,expanded,high_nvsr2010,per_capita,0.03,4.058615921235062,265712.86789760046,151190.06884316925,19665.790152490343,7899.720185938929,12846.37358172255
personal,expanded,high_nvsr2010,maternal_full,0.0,22.032855068760995,126117.04538882928,-1273805.4089815689,168744.26128301502,67784.33191762604,110229.58159344047
personal,expanded,high_nvsr2010,maternal_full,0.03,22.032855068760995,265712.86789760046,-178852.89529657696,32291.365008351997,12971.395810185491,21093.835291867086
personal,expanded,high_nvsr2010,intermarried_half,0.0,1.778187265944379,126117.04538882928,106049.04565599255,35318.959331419894,14187.576182462313,23071.564507243034
personal,expanded,high_nvsr2010,intermarried_half,0.03,1.778187265944379,265712.86789760046,221207.0475274772,15619.200591473984,6274.210862820144,10203.001470577965
shared,expanded,low_cps2025,per_capita,0.0,3.148016647854004,-131170.00323581535,89685.53185270756,52732.9175101562,21182.73863843102,34446.96364279268
shared,expanded,low_cps2025,per_capita,0.03,3.148016647854004,109570.16595257723,193171.319394696,18362.859746851114,7376.334878433328,11995.25442444286
shared,expanded,low_cps2025,maternal_full,0.0,13.995935162539062,-131170.00323581535,1192585.0350695418,129221.63050994556,51908.14684199656,84412.03366343572
shared,expanded,low_cps2025,maternal_full,0.03,13.995935162539062,109570.16595257723,362626.4379926695,27940.42559872293,11223.629581850573,18251.651344304908
shared,expanded,low_cps2025,intermarried_half,0.0,1.6076924463746642,-131170.00323581535,-101013.31695013873,32600.65517142935,13095.637232758845,21295.874312381115
shared,expanded,low_cps2025,intermarried_half,0.03,1.6076924463746642,109570.16595257723,142746.78932944112,15137.485426646266,6080.706560071316,9888.32848162744
shared,expanded,high_nvsr2010,per_capita,0.0,4.058615921235062,-131170.00323581535,200747.4293893457,61929.20444268781,24876.87413735002,40454.295999334376
shared,expanded,high_nvsr2010,per_capita,0.03,4.058615921235062,109570.16595257723,214812.53129523993,19665.790152490343,7899.720185938929,12846.37358172255
shared,expanded,high_nvsr2010,maternal_full,0.0,22.032855068760995,-131170.00323581535,1848433.3691755207,168744.26128301502,67784.33191762604,110229.58159344047
shared,expanded,high_nvsr2010,maternal_full,0.03,22.032855068760995,109570.16595257723,445116.7560017268,32291.365008351997,12971.395810185491,21093.835291867086
shared,expanded,high_nvsr2010,intermarried_half,0.0,1.778187265944379,-131170.00323581535,-81733.30990022417,35318.959331419894,14187.576182462313,23071.564507243034
shared,expanded,high_nvsr2010,intermarried_half,0.03,1.778187265944379,109570.16595257723,149928.31647604544,15619.200591473984,6274.210862820144,10203.001470577965
personal,partial,low_cps2025,per_capita,0.0,3.148016647854004,473490.7645908393,1075589.2052394827,52732.9175101562,21182.73863843102,34446.96364279268
personal,partial,low_cps2025,per_capita,0.03,3.148016647854004,401562.3901957835,456838.25283612794,18362.859746851114,7376.334878433328,11995.25442444286
personal,partial,low_cps2025,maternal_full,0.0,13.995935162539062,473490.7645908393,2148429.248314225,129221.63050994556,51908.14684199656,84412.03366343572
personal,partial,low_cps2025,maternal_full,0.03,13.995935162539062,401562.3901957835,507731.63397950167,27940.42559872293,11223.629581850573,18251.651344304908
personal,partial,low_cps2025,intermarried_half,0.0,1.6076924463746642,473490.7645908393,685600.1566239569,32600.65517142935,13095.637232758845,21295.874312381115
personal,partial,low_cps2025,intermarried_half,0.03,1.6076924463746642,401562.3901957835,426128.2022931086,15137.485426646266,6080.706560071316,9888.32848162744
personal,partial,high_nvsr2010,per_capita,0.0,4.058615921235062,473490.7645908393,1240685.892598501,61929.20444268781,24876.87413735002,40454.295999334376
personal,partial,high_nvsr2010,per_capita,0.03,4.058615921235062,401562.3901957835,467549.74715090834,19665.790152490343,7899.720185938929,12846.37358172255
personal,partial,high_nvsr2010,maternal_full,0.0,22.032855068760995,473490.7645908393,2461475.243075895,168744.26128301502,67784.33191762604,110229.58159344047
personal,partial,high_nvsr2010,maternal_full,0.03,22.032855068760995,401562.3901957835,509530.7127491231,32291.365008351997,12971.395810185491,21093.835291867086
personal,partial,high_nvsr2010,intermarried_half,0.0,1.778187265944379,473490.7645908393,739501.1071580708,35318.959331419894,14187.576182462313,23071.564507243034
personal,partial,high_nvsr2010,intermarried_half,0.03,1.778187265944379,401562.3901957835,431012.3931502673,15619.200591473984,6274.210862820144,10203.001470577965
shared,partial,low_cps2025,per_capita,0.0,3.148016647854004,222920.7319378368,1068647.87844464,52732.9175101562,21182.73863843102,34446.96364279268
shared,partial,low_cps2025,per_capita,0.03,3.148016647854004,250528.08509299153,474907.1287668176,18362.859746851114,7376.334878433328,11995.25442444286
shared,partial,low_cps2025,maternal_full,0.0,13.995935162539062,222920.7319378368,3855754.0469275448,129221.63050994556,51908.14684199656,84412.03366343572
