group,start_age,rate,stored_lifetime_balance,allocation,account,mortality_table,last_age,recomputed,abs_diff
mexico_born,0,0.0,-154904.44856820846,shared,partial,total,100,-146479.36656280718,8425.082005401287
mexico_born,25,0.0,-109094.90062602011,shared,partial,total,100,-102395.51916366484,6699.381462355275
mexican_second_gen,0,0.0,-109104.19504400264,shared,partial,total,100,-102808.36976520409,6295.825278798555
mexican_third_plus_selfid,0,0.0,15749.544302631131,shared,partial,total,100,19927.301560904147,4177.757258273015
third_plus_nh_white,0,0.0,399670.02516298497,personal,partial,total,82,402634.2476724665,2964.2225094815367
all_native,0,0.0,270373.0649913276,shared,partial,nh_white,100,261274.30658877018,9098.758402557403
mexico_born,0,0.02,-39261.53181704368,shared,partial,hispanic,100,-41859.130330758904,2597.598513715224
mexico_born,25,0.02,5548.957520502854,shared,partial,hispanic,100,962.931595061917,4586.0259254409375
mexican_second_gen,0,0.02,-16093.316879354494,shared,partial,total,100,-13045.813951960981,3047.5029273935124
mexican_third_plus_selfid,0,0.02,77903.86244730861,shared,partial,total,100,79919.52465231625,2015.6622050076403
third_plus_nh_white,0,0.02,285317.8078488132,shared,partial,nh_white,100,280830.2245640229,4487.583284790278
all_native,0,0.02,208280.5007261556,shared,partial,nh_white,100,205739.32814489803,2541.1725812575605
mexico_born,0,0.03,-27370.502953795833,shared,partial,hispanic,100,-28068.367181835463,697.8642280396307
mexico_born,25,0.03,28423.310650769086,shared,partial,hispanic,100,26891.579520105795,1531.731130663291
mexican_second_gen,0,0.03,-12409.586281663567,shared,partial,total,100,-10840.747248886844,1568.839032776723
mexican_third_plus_selfid,0,0.03,69113.20191721142,shared,partial,total,100,69837.22103988659,724.0191226751631
third_plus_nh_white,0,0.03,230502.3927567272,shared,partial,hispanic,82,231632.47618588986,1130.0834291626525
all_native,0,0.03,167816.5910213561,shared,partial,nh_white,100,165759.96190054924,2056.6291208068433
mexico_born,0,0.05,-23863.337484252577,shared,partial,hispanic,100,-23843.03046884643,20.307015406146093
mexico_born,25,0.05,46389.43922785502,shared,partial,hispanic,100,46412.338473577314,22.899245722292108
mexican_second_gen,0,0.05,-18801.028034572813,shared,partial,total,100,-18496.228686403447,304.79934816936657
mexican_third_plus_selfid,0,0.05,44076.43413405168,shared,partial,nh_white,100,43962.05998937914,114.37414467253984
third_plus_nh_white,0,0.05,151854.27867291623,shared,partial,nh_white,82,150949.6052939918,904.6733789244317
all_native,0,0.05,106913.86646664968,shared,partial,nh_white,82,106589.28261074754,324.58385590213584
