allocation,account,gen_len,attribution,founder_status,senior_rule,convergence,fertility,mortality,crime_route,real_growth,discount,mex_persons,mex_founder_lifetime,mex_lineage_fiscal,mex_crime_social,mex_crime_tangible,mex_crime_social_net_corrections,white_persons,white_founder_lifetime,white_lineage_fiscal,white_crime_social,white_crime_tangible,white_crime_social_net_corrections,gap_lineage_fiscal,gap_founder_lifetime,gap_crime_social,gap_crime_tangible,gap_crime_social_net_corrections,lineage_fiscal_per_year,gap_lineage_per_year
personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,3.0482030486939626,-428734.5147104078,-1199870.5110219812,136160.32711417874,48699.95916231476,95548.24533047533,3.148016647854004,126117.04538882928,97279.85236721236,52732.9175101562,21182.73863843102,34446.96364279268,-1297150.3633891935,-554851.5600992371,83427.40960402254,27517.220523883738,61101.28168768265,-11998.705110219813,-12971.503633891936
personal,expanded,29,per_capita,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,3.0482030486939626,-76190.9034452053,-339260.8741417695,47882.59636594784,17125.990639342675,33600.815755952266,3.148016647854004,265712.86789760046,175374.3708648706,18362.859746851114,7376.334878433328,11995.25442444286,-514635.2450066401,-341903.77134280576,29519.736619096722,9749.655760909347,21605.561331509405,-3392.608741417695,-5146.352450066401
personal,expanded,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,12.268951869334746,-428734.5147104078,-3272641.7220200556,321392.6381673561,114951.31280562987,225531.9393678621,13.995935162539062,126117.04538882928,-562385.7422084062,129221.63050994556,51908.14684199656,84412.03366343572,-2710255.9798116493,-554851.5600992371,192171.00765741052,63043.16596363331,141119.90570442638,-32726.417220200557,-27102.559798116494
personal,expanded,29,maternal_full,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,12.268951869334746,-76190.9034452053,-791546.9872326648,72293.50444432521,25856.949588457916,50730.76456884405,13.995935162539062,265712.86789760046,-45554.67161202994,27940.42559872293,11223.629581850573,18251.651344304908,-745992.3156206349,-341903.77134280576,44353.078845602286,14633.320006607342,32479.113224539145,-7915.469872326648,-7459.92315620635
personal,expanded,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.0,1.6252007070961123,-428734.5147104078,-742980.3839167838,85070.70682640097,30426.924172125935,59696.95386725811,1.6076924463746642,126117.04538882928,105232.66557525515,32600.65517142935,13095.637232758845,21295.874312381115,-848213.049492039,-554851.5600992371,52470.05165497163,17331.28693936709,38401.079554877,-7429.803839167838,-8482.13049492039
personal,expanded,29,intermarried_half,unauthorized,senior_full,selfid,low_cps2025,total/total,A1_bjs_stock,0.0,0.03,1.6252007070961123,-76190.9034452053,-192406.55050208684,39302.97977902604,14057.350997627971,27580.212487268902,1.6076924463746642,265712.86789760046,228707.92000173224,15137.485426646266,6080.706560071316,9888.32848162744,-421114.47050381906,-341903.77134280576,24165.494352379777,7976.644437556655,17691.884005641463,-1924.0655050208684,-4211.14470503819
personal,expanded,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,6.454594195455998,-428734.5147104078,-1950089.5320017862,210289.60862922115,75213.50432651682,147567.23593139896,4.058615921235062,126117.04538882928,73554.73725093645,61929.20444268781,24876.87413735002,40454.295999334376,-2023644.2692527226,-554851.5600992371,148360.40418653336,50336.6301891668,107112.93993206459,-19500.895320017862,-20236.442692527227
personal,expanded,29,per_capita,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,6.454594195455998,-76190.9034452053,-506999.599506531,57220.701383829015,20465.916024824983,40153.675668091404,4.058615921235062,265712.86789760046,151190.06884316925,19665.790152490343,7899.720185938929,12846.37358172255,-658189.6683497003,-341903.77134280576,37554.91123133867,12566.195838886055,27307.302086368854,-5069.99599506531,-6581.896683497002
personal,expanded,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.0,45.730905911295984,-428734.5147104078,-9553203.277850565,669481.1727190668,239450.847852451,469797.2800950668,22.032855068760995,126117.04538882928,-1273805.4089815689,168744.26128301502,67784.33191762604,110229.58159344047,-8279397.868868995,-554851.5600992371,500736.9114360518,171666.51593482494,359567.6985016264,-95532.03277850564,-82793.97868868995
personal,expanded,29,maternal_full,unauthorized,senior_full,selfid,high_nvsr2010,total/total,A1_bjs_stock,0.0,0.03,45.730905911295984,-76190.9034452053,-1624880.0744475063,107148.76631444789,38323.501818780824,75189.86497502725,22.032855068760995,265712.86789760046,-178852.89529657696,32291.365008351997,12971.395810185491,21093.835291867086,-1446027.1791509294,-341903.77134280576,74857.40130609588,25352.106008595332,54096.02968316016,-16248.800744475064,-14460.271791509294
