population_group,fiscal_layer,effect_order,weight_adults,value_per_adult_weighted,value_total_usd,n_cells
cbo_surge_cohort,federal_annual,3,,,-897000000000.0,1
cbo_surge_cohort,state_local,3,,,19000000000.0,2
eu27_origin,federal_annual,1,1461553.0,4694.649647653582,6861479276.4770355,4
eu27_origin,net_crude_federal_minus_school,1,1304004.0,4657.815024081155,6073809422.661922,1
eu27_origin,school_burden_per_adult,1,1304004.0,63.70827381026868,83075843.8816856,1
fb_lt_hs,federal_annual,1,7686859.0,676.7904040735388,5202392408.666318,1
fb_lt_hs,lifetime_npv,1,7686859.0,-109000.0,-837867631000.0,1
fb_lt_hs,net_crude_federal_minus_school,1,7676324.0,-329.492597700376,-2529291935.5497413,1
fb_lt_hs,school_burden_per_adult,1,7676324.0,1004.8071554499852,7713225282.752452,1
mexico_origin,federal_annual,1,8496334.0,1519.2783963332315,12908296694.23151,4
mexico_origin,federal_annual,2,10349274.0,866.0282967537094,8962764134.857449,3
mexico_origin,lifetime_npv,1,8496334.0,45631.19187640222,387697847000.0,4
mexico_origin,local_flow,1,436819.0,20907.086368898545,9132612560.575893,1
mexico_origin,net_crude_federal_minus_school,1,8496334.0,747.9932462460076,6355200449.850327,1
mexico_origin,school_burden_per_adult,1,8496334.0,771.2851500872248,6553096244.381191,1
mx_ca_cluster,federal_annual,1,11079950.0,1519.0169626638813,16830631995.46767,4
mx_ca_cluster,lifetime_npv,1,11079950.0,42971.517560999826,476122266000.0,4
mx_ca_cluster,net_crude_federal_minus_school,1,11079950.0,427.552870338229,4737264425.704061,1
mx_ca_cluster,school_burden_per_adult,1,11079950.0,1091.464092325653,12093367569.763618,1
nh_white_all,federal_annual,1,96748430.0,2802.698206013112,271156651195.58514,4
nh_white_all,net_crude_federal_minus_school,1,98292276.0,-3293.1001474914383,-323686308592.86914,1
nh_white_all,school_burden_per_adult,1,98292276.0,6055.3203852518345,595191222575.5996,1
nh_white_fborn,federal_annual,1,4737210.0,3897.6299923067486,18463891775.855453,4
nh_white_fborn,net_crude_federal_minus_school,1,6092281.0,-3533.7348218656457,-21528505514.29046,1
nh_white_fborn,school_burden_per_adult,1,6092281.0,6536.50455088198,39822222481.75182,1
nh_white_usborn,federal_annual,1,92011220.0,2746.325496170246,252692759419.72964,4
nh_white_usborn,net_crude_federal_minus_school,1,92199995.0,-3277.1997772730747,-302157803078.5786,1
nh_white_usborn,school_burden_per_adult,1,92199995.0,6023.525273443319,555369000093.8477,1
receiver_cities_episodic,local_episodic,3,,,5057900000.0,1
uk_origin,federal_annual,1,421634.0,5486.0051526357265,2313086296.526412,4
uk_origin,net_crude_federal_minus_school,1,387723.0,5372.073150073279,2082876317.965862,1
uk_origin,school_burden_per_adult,1,387723.0,92.31417483226767,35792328.80849132,1
us_foreign_born_stock,federal_annual,1,33506698.0,3002.7697290163387,100612898473.69229,4
us_foreign_born_stock,lifetime_npv,1,33587103.0,212535.18733068462,7138441228000.0,4
us_foreign_born_stock,lifetime_npv,2,7686859.0,128000.0,983917952000.0,1
