name,fips,year,total_units,population,housing_units,permits_per_1000_residents,permits_per_1000_units
California,06,2000,143913,33987977.0,,4.234232593484454,
California,06,2001,143544,34479458.0,,4.163174490735905,
California,06,2002,158488,34871843.0,,4.544870197998999,
California,06,2003,192273,35253159.0,,5.454064414482685,
California,06,2004,207944,35574576.0,,5.845298057803977,
California,06,2005,202221,35827943.0,,5.644225793258631,
California,06,2006,155419,36021202.0,,4.314653353322302,
California,06,2007,104788,36250311.0,,2.8906786482466313,
California,06,2008,61222,36604337.0,,1.6725340497220316,
California,06,2009,33811,36961229.0,,0.9147693654883607,
California,06,2010,43128,37319502.0,13682976.0,1.1556424305983506,3.151945892472515
California,06,2011,45335,37638369.0,,1.2044889617825894,
California,06,2012,58540,37948800.0,,1.5426047727464374,
California,06,2013,79028,38260787.0,,2.0655090027290868,
California,06,2014,82925,38596972.0,,2.1484846013309022,
California,06,2015,95955,38918045.0,13988399.0,2.4655657806038307,6.859612740528776
California,06,2016,100265,39167117.0,,2.5599280130830153,
California,06,2017,113320,39358497.0,,2.8791749847561507,
California,06,2018,117079,39461588.0,,2.96691050547687,
California,06,2019,109338,39512223.0,14367012.0,2.767194343886954,7.610350711755513
California,06,2020,105925,39521958.0,,2.6801556744734154,
California,06,2021,117291,39142565.0,,2.996507765906501,
California,06,2022,118090,39142414.0,,3.0169319654122506,
California,06,2023,111221,39198693.0,14762527.0,2.8373650111242226,7.534008235852845
California,06,2024,99959,39431263.0,14877017.0,2.5350189772009077,6.719021696352166
Texas,48,2000,136541,20944499.0,,6.519181957992884,
Texas,48,2001,146466,21319622.0,,6.8700092337472025,
Texas,48,2002,160530,21690325.0,,7.400995605183417,
Texas,48,2003,174170,22030931.0,,7.905703122577979,
Texas,48,2004,179030,22394023.0,,7.994543901290089,
Texas,48,2005,208980,22778123.0,,9.174592656295692,
Texas,48,2006,216755,23359580.0,,9.279062380402388,
Texas,48,2007,174391,23831983.0,,7.317519486313833,
Texas,48,2008,129874,24309039.0,,5.34262173013092,
Texas,48,2009,82938,24801761.0,,3.3440367399718105,
Texas,48,2010,84753,25241971.0,9996209.0,3.357622112789845,8.478514204735015
Texas,48,2011,94740,25645629.0,,3.6941967771584,
Texas,48,2012,133297,26084481.0,,5.110203266072268,
Texas,48,2013,146372,26480266.0,,5.527587978157017,
Texas,48,2014,166054,26964333.0,,6.158283240308595,
Texas,48,2015,173990,27470056.0,10588236.0,6.333805799303795,16.43238779339637
Texas,48,2016,162323,27914410.0,,5.815025286223137,
Texas,48,2017,169885,28295273.0,,6.0040063935767645,
Texas,48,2018,188161,28628666.0,,6.572468308512873,
Texas,48,2019,203317,28995881.0,11283892.0,7.01192696990307,18.018339771419296
Texas,48,2020,224356,29239570.0,,7.673026655316751,
Texas,48,2021,261951,29570351.0,,8.858569179648898,
Texas,48,2022,263529,30113488.0,,8.751194813433766,
Texas,48,2023,227417,30727890.0,12394809.0,7.400996293595167,18.34776155082341
Texas,48,2024,225601,31290831.0,12616736.0,7.209811717688162,17.88109064024166
United States,00,2000,1574361,282162411.0,,5.579626975897934,
United States,00,2001,1610766,284968955.0,,5.652426244114907,
United States,00,2002,1728556,287625193.0,,6.009751725746778,
United States,00,2003,1862365,290107933.0,,6.419559026674393,
United States,00,2004,2024211,292805298.0,,6.913163845826315,
United States,00,2005,2147617,295516599.0,,7.26733119989649,
United States,00,2006,1837287,298379912.0,,6.157542535906372,
United States,00,2007,1380470,301231207.0,,4.582758917139683,
United States,00,2008,892771,304093966.0,,2.935839246478176,
United States,00,2009,572232,306771529.0,,1.865336075565213,
United States,00,2010,598033,309321666.0,133428281.0,1.9333692583952395,4.482055794453352
United States,00,2011,610707,311556874.0,,1.960178224153064,
United States,00,2012,815512,313830990.0,,2.5985706510373627,
United States,00,2013,976369,315993715.0,,3.0898367709623593,
United States,00,2014,1038509,318301008.0,,3.2626632461057112,
United States,00,2015,1178138,320635163.0,136367197.0,3.6743880146420493,8.639453079027502
United States,00,2016,1190191,322941311.0,,3.685471506616879,
United States,00,2017,1264051,324985539.0,,3.889560759809685,
United States,00,2018,1317895,326687501.0,,4.03411515887778,
United States,00,2019,1370347,328239523.0,141245714.0,4.174838506574359,9.701866068658196
United States,00,2020,1451579,331577720.0,,4.377794141295139,
United States,00,2021,1729910,332099760.0,,5.20900707666877,
United States,00,2022,1652078,334017321.0,,4.946084816960735,
United States,00,2023,1470596,336806231.0,146946596.0,4.366296893123691,10.00769014070935
United States,00,2024,1471367,340110988.0,148357927.0,4.32613779593619,9.917683737923893
