metro,state,saiz_elasticity,eps_d_assumed,demand_shift_pct,rent_response_pct,ratio_to_houston
"Los Angeles, CA",CA,0.6265944242477417,0.5,1.0,0.8876308798241459,2.487338579654389
"Los Angeles, CA",CA,0.6265944242477417,0.7,1.0,0.753809892248763,2.2631044727610483
"Los Angeles, CA",CA,0.6265944242477417,1.0,1.0,0.6147814016161247,2.030144531315558
"San Francisco, CA",CA,0.661586344242096,0.5,1.0,0.8608916633334505,2.4124093649562544
"San Francisco, CA",CA,0.661586344242096,0.7,1.0,0.7344374480757834,2.204944099028893
"San Francisco, CA",CA,0.661586344242096,1.0,1.0,0.6018345080081485,1.9873910173239795
"San Diego, CA",CA,0.6727622747421265,0.5,1.0,0.8526877283973733,2.389420119837245
"San Diego, CA",CA,0.6727622747421265,0.7,1.0,0.7284582468496594,2.1869932109103885
"San Diego, CA",CA,0.6727622747421265,1.0,1.0,0.5978135776371214,1.9741130134967941
"Riverside, CA",CA,0.9431942105293274,0.5,1.0,0.6929074359529375,1.941680305124802
"Riverside, CA",CA,0.9431942105293274,0.7,1.0,0.608570790714913,1.8270644795467097
"Riverside, CA",CA,0.9431942105293274,1.0,1.0,0.5146166011515644,1.6993781461274546
"Houston, TX",TX,2.3022217750549316,0.5,1.0,0.35685969215637725,1.0
"Houston, TX",TX,2.3022217750549316,0.7,1.0,0.3330866521283901,1.0
"Houston, TX",TX,2.3022217750549316,1.0,1.0,0.3028264205493483,1.0
"Dallas, TX",TX,2.1753199100494385,0.5,1.0,0.3737870735546989,1.0474342767490368
"Dallas, TX",TX,2.1753199100494385,0.7,1.0,0.3477873875894407,1.0441348681104883
"Dallas, TX",TX,2.1753199100494385,1.0,1.0,0.31492889797816637,1.039965064497554
"Austin, TX",TX,3.002908945083618,0.5,1.0,0.2854770180091361,0.7999699161429501
"Austin, TX",TX,3.002908945083618,0.7,1.0,0.27005795033866764,0.8107738590334514
"Austin, TX",TX,3.002908945083618,1.0,1.0,0.24981832305433835,0.8249555061977435
"San Antonio, TX",TX,2.9820375442504883,0.5,1.0,0.2871881728131254,0.8047649513951788
"San Antonio, TX",TX,2.9820375442504883,0.7,1.0,0.2715887570352189,0.8153696802312376
"San Antonio, TX",TX,2.9820375442504883,1.0,1.0,0.251127717628846,0.8292794174738214
