series,state,year,bps_december_ytd,bps_monthly_sum,fred_calendar_sum,ytd_vs_fred_pct,monthly_sum_vs_fred_pct
CABPPRIV,California,2015,95955.0,97611.0,97611.0,-1.696530104189077,0.0
CABPPRIV,California,2019,109338.0,109904.0,109904.0,-0.5149949046440531,0.0
CABPPRIV,California,2023,111221.0,109707.0,109707.0,1.3800395599186925,0.0
TXBPPRIV,Texas,2015,173990.0,171003.0,171003.0,1.746752980941855,0.0
TXBPPRIV,Texas,2019,203317.0,199600.0,199600.0,1.8622244488977955,0.0
TXBPPRIV,Texas,2023,227417.0,220532.0,220532.0,3.1219959008216494,0.0
