spec,term,coef,se_hc1,t,n,k,r2
1_share_only,const,0.535643923600988,0.010110723392744532,52.97780413866003,152,2,0.07299368580980647
1_share_only,d_mex_share_pp,0.016316413821634568,0.005198246447628204,3.1388303702067133,152,2,0.07299368580980647
2_product_only,const,0.5395429724240159,0.009565860903600452,56.40297071651332,152,2,0.06862740715191007
2_product_only,d_share_x_inv_elast,0.02471437524918524,0.00753287299562474,3.2808697642373494,152,2,0.06862740715191007
3_product_with_main_effects,const,0.5512907752134479,0.02095130378295684,26.312957939252634,152,4,0.07953152994658186
3_product_with_main_effects,d_mex_share_pp,0.005654652539164529,0.012177680320181319,0.46434562170214155,152,4,0.07953152994658186
3_product_with_main_effects,inv_elasticity,-0.0253792799500836,0.029310432617154727,-0.8658787224870126,152,4,0.07953152994658186
3_product_with_main_effects,d_share_x_inv_elast,0.018257300614572536,0.016944943696908698,1.0774482902473883,152,4,0.07953152994658186
4_share_state_fe,const,0.5137310745519965,0.04616638609423411,11.12781653524659,152,42,0.5417279878411118
4_share_state_fe,d_mex_share_pp,0.03031561310750036,0.007248508768594737,4.18232412697731,152,42,0.5417279878411118
4_share_state_fe,st_AR,-0.039456931462312994,0.08031137235458191,-0.4912994300247679,152,42,0.5417279878411118
4_share_state_fe,st_AZ,0.08382954068543924,0.056864371574762596,1.474201479132221,152,42,0.5417279878411118
4_share_state_fe,st_CA,-0.03247905751754576,0.05587389278123511,-0.5812921903385555,152,42,0.5417279878411118
4_share_state_fe,st_CO,0.002974553710343386,0.06460900629549961,0.046039304439055906,152,42,0.5417279878411118
4_share_state_fe,st_CT,0.030555906988610104,0.046034611626658624,0.6637594172927743,152,42,0.5417279878411118
4_share_state_fe,st_DE,0.03745939528533526,0.04613750983034825,0.8119076088648219,152,42,0.5417279878411118
4_share_state_fe,st_FL,0.09912573913370437,0.04877424332189136,2.032337815668659,152,42,0.5417279878411118
4_share_state_fe,st_GA,0.059252154991703776,0.05091270939551414,1.163798896094978,152,42,0.5417279878411118
4_share_state_fe,st_IA,-0.15567468078257818,0.07043694926465223,-2.2101280990700327,152,42,0.5417279878411118
4_share_state_fe,st_ID,0.19664242503572282,0.04641949543030173,4.236203414381762,152,42,0.5417279878411118
4_share_state_fe,st_IL,-0.07200151001318211,0.06859726110664921,-1.0496266009985482,152,42,0.5417279878411118
4_share_state_fe,st_IN,0.05640933456021813,0.051147323208541276,1.102879506132163,152,42,0.5417279878411118
4_share_state_fe,st_KS,-0.07613297649966189,0.07082444583839824,-1.0749533667143156,152,42,0.5417279878411118
4_share_state_fe,st_KY,0.025928341514546815,0.04832686479727888,0.5365202485886639,152,42,0.5417279878411118
4_share_state_fe,st_LA,-0.1854701835813959,0.05624039981302939,-3.2978105454084528,152,42,0.5417279878411118
4_share_state_fe,st_MA,-0.05782018200409489,0.0460834392303539,-1.2546846105620155,152,42,0.5417279878411118
4_share_state_fe,st_MD,-0.05711601645780995,0.08687940730402337,-0.6574171973565583,152,42,0.5417279878411118
4_share_state_fe,st_ME,0.13916967382905732,0.046036717947306655,3.0230146725131464,152,42,0.5417279878411118
4_share_state_fe,st_MI,0.06503640735928151,0.05370891927139382,1.2109051576824574,152,42,0.5417279878411118
4_share_state_fe,st_MN,-0.04558206210917426,0.06524771031024008,-0.6986001791088221,152,42,0.5417279878411118
4_share_state_fe,st_MO,0.03185235114020557,0.051571318157665066,0.6176369400298398,152,42,0.5417279878411118
4_share_state_fe,st_MT,-0.012465302476728723,0.04607712511477129,-0.2705312548402163,152,42,0.5417279878411118
4_share_state_fe,st_NC,0.04538804538683294,0.051524077005120794,0.8809094315716124,152,42,0.5417279878411118
4_share_state_fe,st_NE,-0.0551805454045553,0.0470044201399079,-1.1739437533813053,152,42,0.5417279878411118
4_share_state_fe,st_NJ,0.011601870288039606,0.04637365636754516,0.2501823491356018,152,42,0.5417279878411118
4_share_state_fe,st_NM,-0.13471851985028316,0.06574112603821848,-2.0492274466361406,152,42,0.5417279878411118
4_share_state_fe,st_NV,0.102785902017974,0.06825245548704025,1.5059663609830265,152,42,0.5417279878411118
