metric,state,group,educ,PWGTP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,nobs
outflow,06,nhwhite,ba_plus,89466,91456,88414,89122,91067,87917,88072,89335,90152,90175,88271,88136,93831,90334,88228,88834,87849,89445,88594,90088,91784,93103,85571,89607,94048,89488,90586,86551,87626,87442,85282,94253,90322,92176,86105,88784,90652,86779,88185,87242,90875,87085,86234,92048,89419,93201,91265,90974,85610,88854,89023,89342,90851,91210,88192,87461,88143,87819,88874,94170,92189,89437,87492,92778,87699,87791,90207,91288,87531,90963,89799,87680,90175,89224,85879,90817,90224,87989,87018,93206,93922,863
outflow,06,nhwhite,less_than_ba,72121,74215,72424,73699,69317,72828,71122,69775,71755,71554,72886,73997,73721,71277,71976,72560,67660,71536,74567,74043,72687,73079,71524,71015,72989,71703,74208,70012,72569,74359,70399,70083,72538,73318,72391,71686,70751,72247,75869,67979,73195,72741,72760,69732,72910,73190,72179,72242,70504,70708,73914,73768,69018,69875,73459,72484,72508,75237,72454,73074,69724,70958,73938,74433,72918,72203,74879,69506,71316,77519,73366,74318,69358,67648,70531,69451,74327,74668,69441,67925,73973,677
outflow,48,all_native,ba_plus,94533,95554,93165,92301,93817,96511,95178,95727,98090,99141,91491,93454,97178,93922,93786,97421,96577,96269,90841,94281,94852,93368,92307,96788,99439,92414,90173,98485,94554,92636,91361,93502,96021,96869,90353,92872,96824,94708,94656,98684,92805,90952,99185,92766,94246,97512,94993,95974,87938,98507,90838,97102,97101,98422,93660,93430,94059,98371,95988,91206,94151,91851,98149,92669,95970,95272,90842,93819,93893,96786,93503,93797,98379,93381,94762,95987,95147,96731,94023,93359,95043,892
outflow,48,all_native,less_than_ba,103651,100930,103391,100905,102954,105213,102591,105793,103799,109695,102995,97013,104033,107695,102212,102125,103801,100010,102444,106674,104157,99534,103036,107282,104653,101177,101561,100835,106010,100032,105986,101709,102265,107358,103729,102832,105636,106160,99257,103039,99265,103535,103232,100487,108377,109139,106201,101461,104242,101806,102818,98301,106182,106958,106006,103641,104338,102497,105422,104102,107112,97340,102022,102194,103350,103544,100635,101409,105390,103270,100263,100973,102668,104218,106207,104899,102311,105674,100430,104358,105096,938
outflow,48,nhwhite,ba_plus,64262,64185,62199,61760,64404,64338,64002,63684,67228,67402,63272,63341,66199,62599,63075,65208,66711,65499,62984,65248,65476,63302,62107,67346,64842,63858,61518,67180,65891,61326,61768,62917,66189,66861,61429,63383,64657,63139,64403,66567,64417,61698,69117,62443,63553,64938,66042,66102,58579,67464,62893,65729,66072,66911,62919,63479,64037,65735,65939,61643,63370,64115,66734,61892,64898,65053,62645,62511,61863,63368,63067,63865,68979,64693,63276,65199,64442,66169,64096,63075,66292,640
outflow,48,nhwhite,less_than_ba,51771,50248,50808,50380,51101,51814,52141,52734,50072,56015,52010,47320,51186,53975,51181,51121,50438,51607,52134,51939,53170,48016,53112,53292,52324,50671,51320,51719,53322,49459,52596,50025,51056,52203,51575,51757,53139,51982,49839,50680,49791,51737,52253,50357,55320,52456,53829,51692,49844,53198,51335,47825,52616,52614,52790,51698,51989,52171,51964,51159,53516,48092,50079,51445,54236,49667,49604,51892,52884,52533,49091,50937,50298,52563,51735,52277,51593,52865,49618,50328,52251,514
pop18plus,06,all_native,ba_plus,7589725,7599744,7603687,7586202,7575605,7589697,7603243,7607412,7605437,7604245,7609476,7605902,7600180,7594264,7591951,7587542,7623619,7610819,7596253,7605845,7587447,7594163,7574054,7600976,7609144,7603071,7595301,7583826,7584205,7603643,7583657,7595762,7591634,7587401,7606778,7613868,7589140,7581794,7595359,7579563,7596891,7578232,7610348,7586085,7573853,7634429,7578482,7588943,7625437,7589337,7594706,7603648,7589085,7592473,7617043,7591280,7587229,7584706,7569269,7594473,7589150,7632142,7611080,7599231,7592939,7574880,7586757,7595744,7596991,7605091,7599119,7574307,7607631,7600379,7584612,7612641,7602220,7595296,7604833,7580409,7570675,84478
pop18plus,06,all_native,less_than_ba,12996722,13013611,13021487,13008626,13017594,13007636,12979009,12977139,12983170,12974594,13003297,12993621,12959439,12976028,12984659,13025621,12992738,12964927,13061308,13008858,12949959,12982650,12998282,12982530,12974755,13014379,12973931,13006414,13018108,12974712,12997506,13011008,13002880,13022110,12974395,12953044,12983448,13000165,12994741,13022999,12976594,12982265,12965665,13019757,12994175,12977173,12998721,13020543,12977694,13017753,12976845,12983672,12988231,12999190,12959204,13005743,12984001,13004413,13010719,12985525,13031416,12975865,12982081,13006992,12999262,13016581,12991297,12988536,12998956,13001704,13002962,13033020,12972087,12986343,13000927,12980685,12992119,12991458,12983624,13034566,13016563,134019
pop18plus,06,nhwhite,ba_plus,4431564,4418602,4437181,4439102,4408895,4422169,4440252,4427211,4451615,4432233,4447814,4440441,4443477,4438391,4448206,4431643,4444312,4455781,4438277,4423484,4437140,4426809,4422369,4433413,4446674,4430694,4445149,4435069,4423491,4437464,4440852,4433135,4425837,4426986,4427853,4452192,4431018,4430866,4442483,4420378,4434194,4426650,4440529,4414469,4422667,4446160,4425414,4432028,4434216,4431115,4431635,4437307,4437919,4428999,4435531,4429250,4438165,4436655,4411372,4438179,4433549,4466568,4446062,4436607,4439975,4422105,4441864,4440337,4432225,4438601,4444119,4437662,4442001,4428384,4423654,4434156,4441273,4443727,4443946,4424340,4422475,52079
pop18plus,06,nhwhite,less_than_ba,5208863,5231360,5212674,5197714,5222824,5220534,5211946,5217136,5198977,5209847,5216043,5207227,5191639,5199026,5190150,5217690,5204781,5176817,5205631,5213997,5181657,5207915,5215024,5204656,5203406,5208975,5192354,5213050,5215806,5201145,5199809,5205546,5208428,5211238,5202592,5193883,5205118,5217039,5208928,5218564,5214380,5213943,5201855,5222696,5217748,5195593,5212950,5213804,5207219,5212855,5209184,5194559,5201880,5209721,5185216,5210731,5192859,5202319,5228122,5193069,5219525,5177578,5208476,5215586,5197227,5210853,5198597,5204678,5205441,5215074,5211039,5215937,5194189,5212860,5211738,5195528,5214122,5197593,5189080,5220798,5211776,58659
