kind,s_mex,s_oth,federal_liability_shared,federal_liability_personal,state_liability_shared,state_liability_personal,wage_oasdi_shared,wage_oasdi_personal,wage_shared,wage_personal,self_payroll_shared,self_payroll_personal,positive_fica_worker_shared,positive_fica_worker_personal,receipts_shared,receipts_personal,refundable_nonptc_lo,refundable_nonptc_hi,refundable_whole,net_min,net_max,whole_line_net_shared,whole_line_net_personal,s_pay,s_inc,s_actc,uniform_equivalent
origin,0.35,0.4,-8.84299774861673,-8.218879042985385,-2.188382851006582,-2.0400272033439193,-8.768791566167227,-8.34111987728547,-2.4732353248944903,-2.3439925681511573,-0.6158386498156678,-0.5907490391279727,-0.9578406484049047,-0.9312737789201487,-23.8470867889056,-22.466041509814055,-3.51180733289866,-4.157360151446208,-7.384690510462827,18.308681358367846,20.33527945600694,16.462396278442775,15.081350999351228,,,,0.34632533213543026
origin,0.35,0.5,-8.930974428295638,-8.300646528338135,-2.2072178459217304,-2.057585329420476,-8.903489310340834,-8.469248140213617,-2.508822238882799,-2.37771983262632,-0.6199641026749811,-0.5947064187327387,-0.9783231434502072,-0.9511881671791117,-24.148791069566194,-22.751094416510394,-3.5484572002115686,-4.2007471267210486,-7.4617584990224275,18.550347289789347,20.600333869354625,16.687032570543767,15.289335917487968,,,,0.33898720299242174
origin,0.35,0.6,-9.018831285764193,-8.382302648260117,-2.2260266939339046,-2.075119081154432,-9.037850462235454,-8.59705622714857,-2.54432531596891,-2.4113676412269394,-0.6240856264298489,-0.5986600293069694,-0.9987246674713928,-0.9710238302432962,-24.4498440518037,-23.035529457340324,-3.584981063430402,-4.24398493538452,-7.5385615239466155,18.791544521955803,20.8648629883733,16.911282527857086,15.496967933393709,,,,0.33166584497466023
origin,0.35,0.7,-9.106568565648464,-8.463847630112248,-2.244809449451371,-2.092628509265589,-9.171876281927673,-8.724545336710436,-2.579744852063159,-2.4449362744000984,-0.6282032266907542,-0.6026098762325741,-1.0190456996610466,-0.9907812340143011,-24.750248075442464,-23.319348860735246,-3.621379571252675,-4.287074345380006,-7.615100949327987,19.03227451535524,21.12886850418979,17.135147126114475,15.70424791140726,,,,0.32436095545826377
origin,0.35,0.8,-9.194186511909038,-8.545281700636927,-2.263566166731549,-2.1101136643331286,-9.305568023212262,-8.851716661543875,-2.6150811416848785,-2.478426011274563,-0.6323169090574984,-0.6065559648812148,-1.0392867154380032,-1.0104608407246445,-25.050005468033227,-23.60255484339435,-3.6576533679307057,-4.3300161193885565,-7.691378129911697,19.272538724005795,21.39235210010252,17.35862733812153,15.911176713482654,,,,0.3170720899432321
origin,0.4,0.4,-8.116960566108869,-7.54408391656172,-2.010005379244021,-1.8737423621462483,-8.02191457397298,-7.630669585649491,-2.263893550983528,-2.1455902740743458,-0.5663431856610107,-0.5432700478381136,-0.8729502385821856,-0.8487379073413676,-21.852067494552596,-20.586094093611287,-3.432747159658476,-4.063766858125109,-7.218441381242964,16.522327235486177,18.41932033489412,14.633626113309631,13.367652712368322,,,,0.4
origin,0.4,0.5,-8.205405969002525,-7.626287043708821,-2.0289582499534182,-1.8914103729382568,-8.15746161877538,-7.75960572709809,-2.2997067861502436,-2.179532032962903,-0.5704916132965108,-0.5472494662138474,-0.8935805552294249,-0.8687960171912559,-22.1556047924075,-20.872880660113175,-3.4694997890617354,-4.107275485580438,-7.295725459741878,16.765605174532737,18.686105003345766,14.859879332665624,13.577155200371298,,,,0.3925991767735066
origin,0.4,0.6,-8.293730946722397,-7.708378245017514,-2.047884818476072,-1.9090538646309498,-8.292670161115122,-7.888219875533341,-2.3354356995834635,-2.213393876481233,-0.5746360905233799,-0.5512250951228053,-0.9141293965163055,-0.8887749114984999,-22.45848711293674,-21.15904586828435,-3.5061261755251474,-4.150634663673153,-7.37274407235627,17.008411204611196,18.952360937411594,15.085743040580471,13.786301795928079,,,,0.38521467227962874
origin,0.4,0.7,-8.381935745053312,-7.790357748925688,-2.066785139525997,-1.9266728882291497,-8.427541467427242,-8.016513235623686,-2.37108058873443,-2.2471760865368013,-0.5787766229816899,-0.5551969399752791,-0.934597244147889,-0.9086750586074884,-22.760716807870555,-21.444591957898094,-3.5426269683881793,-4.193845161106595,-7.449498584528644,17.2507467967915,19.218089839482374,15.31121822334191,13.99509337336945,,,,0.3778464226240403
origin,0.4,0.8,-8.47002060911155,-7.872225783249876,-2.0856592676655796,-1.9442674945963292,-8.562076797837216,-8.144487006035737,-2.406641749656991,-2.2808789437127017,-0.5829132163007874,-0.559165006171273,-0.9549845760394027,-0.9284969231778917,-23.062296216611532,-21.72952115694381,-3.5790028125446733,-4.236907741321269,-7.5259903523531655,17.492613415622543,19.48329340406686,15.536305864258367,14.203530804590645,,,,0.3704945502209904
origin,0.45,0.4,-7.391350886667342,-6.869686121008489,-1.831741282559217,-1.7075632100617502,-7.275974750245939,-6.921110754880291,-2.0547921110487617,-1.9474157549481856,-0.5168621926337861,-0.49580493811386966,-0.7882269287604075,-0.7663645010427903,-19.858948151915456,-18.707945280055377,-3.353830576188142,-3.9703435497521395,-7.052494195128258,14.737601730303236,16.505117575727315,12.806453956787198,11.655451084927119,,,,0.45373484661821145
origin,0.45,0.5,-7.480264445819892,-6.952324363008544,-1.850811875495343,-1.725340962412396,-7.412368860393618,-7.0508526485851215,-2.090831124770375,-1.9815714939822635,-0.5210335814390199,-0.49980638220845297,-0.8090044463173747,-0.7865657290070446,-20.164314334235623,-18.99646157920382,-3.3906855345539726,-4.013973316641101,-7.129993452777739,14.98248826256272,16.77362879968165,13.034320881457884,11.866468126426081,,,,0.44627022180750775
origin,0.45,0.6,-7.569056977961487,-7.03485011980932,-1.8698560112725353,-1.7430940511974673,-7.548422565864563,-7.180270739837353,-2.1267853337593614,-2.0156468598868535,-0.525200998550605,-0.503804016418406,-0.8296999876154653,-0.8066872544231632,-20.46902187502402,-19.284353041572565,-3.4274140130529243,-4.057453353687653,-7.207226746328348,15.226899687884913,17.041607861971094,13.26179512869567,12.077126295244216,,,,0.4388220839761772
origin,0.45,0.7,-7.657728730032647,-7.117263620922839,-1.8888737449097548,-1.7608225277060596,-7.684137139414514,-7.309366239317861,-2.1626550369996522,-2.049642136022017,-0.5293644496381815,-0.5077978461823845,-0.8503140368469966,-0.8267295480538036,-20.773073137841745,-19.57162191820497,-3.4640166616553603,-4.100784430342008,-7.284195442549251,15.47083748786296,17.309056476186385,13.488877695292494,12.287426475655717,,,,0.431390891078667
origin,0.45,0.8,-7.746279948302642,-7.19956509523724,-1.9078651312735124,-1.7785264430851533,-7.819513847462121,-7.438140351679494,-2.1984405320714138,-2.0835576044174062,-0.5335239403605971,-0.5117878769286915,-0.8708470743986049,-0.8466930769614975,-21.076470473868888,-19.858270448309487,-3.500494125885748,-4.143967310791217,-7.360900898860702,15.71430313751827,17.57597634798314,13.715569575008185,12.497369549448784,,,,0.4239765056944612
origin,0.5,0.4,-6.666168332821725,-6.195685305496273,-1.6535904528963035,-1.5414896463599208,-6.530970332177562,-6.212441708145063,-1.8459305914559607,-1.7494686187535462,-0.46739566438848434,-0.44835370386825113,-0.7036702260401532,-0.6841530807961618,-17.867725599780186,-16.831592063419215,-3.275057191659095,-3.877089763655253,-6.886848130277501,12.954502299763963,14.592668408121092,10.980877469502685,9.944743933141714,,,,0.5075285316192661
origin,0.5,0.5,-6.755549482034545,-6.278758136111673,-1.6727786147128467,-1.5593769973186016,-6.66820927878752,-6.342987233930254,-1.8821948425287165,-1.7838378250108333,-0.47159000076597096,-0.45237716063817196,-0.7245943266152114,-0.7044968261211173,-18.17491654544481,-17.12183417913065,-3.312014047707785,-3.920840159418775,-6.96456166017495,13.200994019711876,14.862902497737025,11.210354885269858,10.1572725189557,,,,0.5
origin,0.5,0.6,-6.844809003523464,-6.3617179232118035,-1.6919401647092962,-1.5772395405353936,-6.805105926445256,-6.473207155375004,-1.9183738076953993,-1.8181262021096531,-0.47578034418396054,-0.45639678712399656,-0.7454359534494627,-0.7247603852142703,-18.481445200006835,-17.41144799357012,-3.3488441888697333,-3.9644405471178468,-7.0420087317696085,13.447007446452275,15.132601011137101,11.439436468237226,10.369439261800512,,,,0.4924890569340272
origin,0.5,0.7,-6.933947145381894,-6.444564897380208,-1.7110751582086892,-1.5950773275828545,-6.941661554189763,-6.603102689136992,-1.954467787464448,-1.8523340348549087,-0.47996670034161215,-0.4604125887926973,-0.7661955931974603,-0.7449442312322211,-18.787313938783868,-17.70043576897988,-3.3855482657352947,-4.007891696936636,-7.119190713134367,13.692544072043244,15.401765673048573,11.6681232256495,10.581245055845512,,,,0.48499471083637147
origin,0.5,0.8,-7.022964155028811,-6.527299288573593,-1.7301836503808241,-1.6128904098906915,-7.077877434695444,-6.732675045819715,-1.990477080934193,-1.886461606715082,-0.48414907492725034,-0.4644245711008531,-0.7868737286924543,-0.7650488336162551,-19.09252512465898,-17.98879975571619,-3.4221269244486807,-4.051194373795865,-7.196108962992693,13.937605381920324,15.6703982002103,11.896416161666288,10.792690792723498,,,,0.47751689703203665
origin,0.55,0.4,-5.941412527545708,-5.5220811196084245,-1.4755527823366317,-1.375521570438172,-5.786899561377757,-5.5046607728139545,-1.6373085795195281,-1.551748474370358,-0.4179435945832907,-0.40091633901781215,-0.6192796394586589,-0.6021031692561645,-15.878396684821574,-14.957031445504885,-3.1964266166598647,-3.7840050388399877,-6.721502367829374,11.173026406664897,12.681970068161709,9.1568943169922,8.235529077675512,,,,0.5613816151177113
origin,0.55,0.5,-6.031260701376231,-5.605588013304254,-1.4948583599081686,-1.393518377260199,-5.9249811219457715,-5.636007816571307,-1.6737975281550788,-1.5863306362699858,-0.4221608649445378,-0.40496179542818084,-0.640349707945943,-0.6225888338966618,-16.18740828427573,-15.24899547273059,-3.2334849409506203,-3.8278755550959556,-6.799429266939102,11.421119917634634,12.953923343325108,9.387979017336628,8.449566205791488,,,,0.5537899734892319
origin,0.55,0.6,-6.120986647892198,-5.688981306211906,-1.5141371713088532,-1.411490232453381,-6.062718497194073,-5.767027461622684,-1.7102007115303257,-1.6208315147063161,-0.4263741210995778,-0.4090034011733462,-0.6613368086060828,-0.6429938319231014,-16.495753957631113,-15.540327748090734,-3.270416317230494,-3.871595787309629,-6.877089217528477,11.668731960781106,13.22533764040062,9.618664740102636,8.663238530562257,,,,0.5462151620277175
origin,0.55,0.7,-6.210590616336776,-5.772261229983533,-1.5333892721649607,-1.4294371878729573,-6.200112972407317,-5.89772093056681,-1.7465184316700808,-1.6552513959213846,-0.43058336877706116,-0.41304116174857036,-0.6822414305310327,-0.6633186388618811,-16.803436091887228,-15.831030544955135,-3.30722139669898,-3.915166506386293,-6.954483588951303,11.915864038568841,13.496214695188248,9.848952502935926,8.876546956003832,,,,0.5386571152489353
origin,0.55,0.8,-6.300072855275922,-5.855428015641869,-1.5526147179487355,-1.447359295230577,-6.3371658264786745,-6.028089439922653,-1.782750989182715,-1.6895905648148044,-0.43478861369474714,-0.4170750826386677,-0.7030640589760622,-0.6835637265091277,-17.110457061556854,-16.1211061247577,-3.343900826109272,-3.958588477967595,-7.03161374121162,12.162517646790103,13.766556235447581,10.078843320345234,9.089492383546078,,,,0.531116186073597
origin,0.6,0.4,-5.217083094256662,-4.84887321334066,-1.29762816309864,-1.209658881821709,-5.043760683860978,-4.79776628044684,-1.4289256634998189,-1.3542549315750712,-0.3685059768801046,-0.3534928374826699,-0.5350546799803114,-0.5202142909511794,-13.890958261576513,-13.084260435618129,-3.1179384631896307,-3.691088915981843,-6.556456091888896,9.393171519636287,10.773019798386882,7.3345021696876165,6.527804343729232,,,,0.6152945677291947
origin,0.6,0.5,-5.3073977280172215,-4.932813645283626,-1.3170510035202403,-1.2277650019679383,-5.1826826422403585,-4.929912734115617,-1.4656387713208494,-1.3890495388734685,-0.37274616764558555,-0.3575602805071974,-0.5562701040450128,-0.5408412795562568,-14.201786416789268,-13.377942480304105,-3.1550978281115265,-3.735079046514381,-6.6345954610230935,9.642863433789724,11.046688588677743,7.567190955766175,6.743347019281011,,,,0.6076387846752745
origin,0.6,0.6,-5.397589535992781,-5.016639920206657,-1.33644692373003,-1.2458460268871652,-5.3212585368097045,-5.061730002205866,-1.5022656363401339,-1.423762410121796,-0.3769823229772775,-0.3616238525037632,-0.5774020695709658,-0.5613871244461528,-14.511945025420891,-13.6709893363714,-3.192130013782723,-3.7789186192574893,-6.712467395381765,9.892070717113912,11.319815011638168,7.799477630039126,6.958521940989636,,,,0.6
origin,0.6,0.7,-5.487658768573338,-5.100352270827792,-1.3558159796566818,-1.263902008716526,-5.459489659062252,-5.193219313222091,-1.5388065620907443,-1.4583938329915338,-0.3812144486332864,-0.3656835589958849,-0.5984510680628999,-0.5818523034931185,-14.821436486079204,-13.963403288246948,-3.2290356720010993,-3.8226084058248313,-6.790073265577004,10.140794882422117,11.592400814078104,8.0313632205022,7.173330022669943,,,,0.5923790374864454
origin,0.6,0.8,-5.5776056754688135,-5.183950929232995,-1.3751582270740745,-1.281932999448856,-5.597377294072844,-5.324381889563433,-1.5752618506830312,-1.4929440938057859,-0.3854425503607689,-0.3697394054965767,-0.6194175871736866,-0.6022372908243826,-15.130263184833218,-14.255186608372028,-3.2658154501181396,-3.8661491725663275,-6.867414432870954,10.389037435805701,11.864447734715078,8.262848751962263,7.387772175501074,,,,0.5847749484027909
origin,0.65,0.4,-4.493179656814937,-4.176061237100414,-1.1198164875376144,-1.043901480163308,-4.301551950032211,-4.091756566779991,-1.2207814326004207,-1.1569876010380786,-0.3190828049445283,-0.3060831931864936,-0.45099486048720155,-0.4384859722741026,-11.905407192416913,-11.213276050542389,-3.0395923446518496,-3.5983409374187345,-6.391708489514024,7.614935113123654,8.865814847765064,5.5136987029028885,4.821567561028364,,,,0.6692665054708583
