programme,2005,2010,2015,2019,2020,2021,2024,group_2024_bn
medicaid_and_chip_other_medical,0.584,0.662,0.781,0.815,0.858,0.915,1.0,116.914
school,0.847,0.911,0.901,0.93,0.951,0.976,1.0,105.394
medicare,0.532,0.715,0.784,0.89,0.916,0.936,1.0,63.965
social_security,0.626,0.732,0.819,0.884,0.908,0.896,1.0,62.722
public_order_safety,0.9,0.983,0.949,1.008,1.0,0.994,1.0,62.425
refundable_tax_credits,0.417,0.969,0.749,0.855,2.296,4.359,1.0,55.404
income_security,0.886,0.835,0.787,0.922,0.959,0.971,1.0,29.344
other_education,0.847,0.911,0.901,0.93,0.951,0.976,1.0,26.073
health,0.609,0.731,0.756,0.852,0.993,1.032,1.0,23.535
snap,0.535,1.049,0.96,0.697,1.189,1.807,1.0,14.285
veterans_pension_disability,0.318,0.412,0.577,0.698,0.75,0.756,1.0,11.614
family_and_general_assistance,0.864,0.987,0.869,0.867,0.919,0.939,1.0,11.027
education_benefits,0.515,0.615,0.698,0.874,0.93,1.025,1.0,9.046
ssi,1.038,1.159,1.184,1.1,1.085,1.017,1.0,5.31
other_state_welfare,1.143,1.133,1.056,0.996,1.008,0.964,1.0,5.07
other_federal_benefits,0.75,1.429,1.036,0.883,2.706,1.431,1.0,4.204
unemployment,1.54,5.849,1.214,0.935,17.662,10.055,1.0,4.187
temporary_disability,0.581,0.657,0.634,0.801,0.861,0.866,1.0,2.848
workers_compensation,2.243,1.841,1.45,1.137,1.146,1.113,1.0,2.585
veterans_other,0.0,0.0,0.075,0.52,0.716,0.759,1.0,2.37
housing_community,1.301,1.103,0.906,1.037,1.029,0.928,1.0,1.748
veterans_readjustment,0.35,1.076,1.517,1.255,1.164,1.031,1.0,0.733
military_medical,0.759,1.075,1.078,0.933,0.92,0.931,1.0,0.648
railroad_retirement,1.121,1.142,1.148,1.115,1.105,1.058,1.0,0.628
energy_assistance,0.817,1.434,0.964,0.958,0.991,1.256,1.0,0.553
other_state_benefits,0.919,1.096,1.232,1.091,0.896,0.916,1.0,0.346
employment_training,1.518,1.62,0.945,1.14,1.165,1.246,1.0,0.173
pension_guaranty,6.239,4.722,6.758,1.079,1.737,3.035,1.0,0.039
black_lung,6.752,3.942,2.226,1.65,1.502,1.312,1.0,0.038
veterans_life_insurance,6.281,4.933,3.591,2.532,2.231,1.997,1.0,0.029
economic_affairs,0.87,0.984,0.891,0.92,0.979,1.012,1.0,0.0
recreation_culture,0.882,0.936,0.887,0.99,0.974,0.949,1.0,0.0
