year,group_millions,relative_per_capita_income,national_receipts_per_capita,national_spending_per_capita,net_cost_cbo_informed_low__flat,net_cost_cbo_informed_low__ratio,net_cost_cbo_informed_low__income,net_cost_cbo_informed_high__flat,net_cost_cbo_informed_high__ratio,net_cost_cbo_informed_high__income,net_cost_full_proportional_low__flat,net_cost_full_proportional_low__ratio,net_cost_full_proportional_low__income,net_cost_full_proportional_high__flat,net_cost_full_proportional_high__ratio,net_cost_full_proportional_high__income,net_cost_cbo_informed_adopted_low__flat,net_cost_cbo_informed_adopted_low__ratio,net_cost_cbo_informed_adopted_low__income,net_cost_cbo_informed_adopted_high__flat,net_cost_cbo_informed_adopted_high__ratio,net_cost_cbo_informed_adopted_high__income,net_cost_full_proportional_adopted_low__flat,net_cost_full_proportional_adopted_low__ratio,net_cost_full_proportional_adopted_low__income,net_cost_full_proportional_adopted_high__flat,net_cost_full_proportional_adopted_high__ratio,net_cost_full_proportional_adopted_high__income,gap_vs_average_resident__flat,gap_vs_average_resident__ratio,gap_vs_average_resident__income
2005,28.0911,0.5194,19108.5471,21173.4964,113.4179,45.3057,91.0006,135.5795,61.1676,106.8624,185.3288,96.7749,142.4698,198.3134,106.0684,151.7633,139.5791,64.0302,109.7251,171.4731,86.8579,132.5528,211.49,115.4994,161.1943,234.207,131.7587,177.4536,188.3605,161.9269,207.6218
2006,29.7251,0.5194,20030.864,21568.0605,120.0151,39.3064,89.9931,143.4657,56.4036,107.0903,196.1088,94.7843,145.471,209.8487,104.8016,155.4883,147.698,59.4893,110.176,181.4472,84.0948,134.7815,223.7918,114.9672,165.6539,247.8302,132.4929,183.1795,199.3169,181.7398,232.4265
2007,30.5932,0.5194,20266.8904,22144.6534,123.52,46.7221,99.5038,147.6555,64.7891,117.5708,201.836,105.3467,158.1283,215.9772,115.9322,168.7139,152.0114,68.0498,120.8314,186.7462,94.051,146.8326,230.3275,126.6743,179.456,255.0678,145.194,197.9757,205.1378,188.1281,240.9097
2008,32.2416,0.5194,19301.8906,23265.2278,130.1755,88.0621,141.0392,155.6115,108.0661,161.0432,212.7114,152.9719,205.9489,227.6145,164.6923,217.6694,160.2021,111.6764,164.6534,196.8085,140.4652,193.4422,242.738,176.5861,229.5631,268.8114,197.0913,250.0684,216.1911,180.8396,233.8166
2009,33.2394,0.5088,17049.3041,24357.9406,134.2043,154.4958,208.2855,160.4275,176.0875,229.8772,219.2945,224.5574,278.3471,234.6589,237.2081,290.9978,165.1602,179.9843,233.774,202.8995,211.058,264.8477,250.2504,250.0459,303.8356,277.1308,272.1786,325.9683,222.8819,150.2665,204.0562
2010,34.5399,0.5075,17760.7911,25110.0962,139.4548,161.8799,220.8418,166.7039,185.0092,243.971,227.874,236.9306,295.8925,243.8394,250.4822,309.4441,171.6218,189.1834,248.1453,210.8375,222.47,281.4318,260.041,264.2342,323.196,287.973,287.943,346.9049,231.6017,163.7011,222.663
2011,35.1988,0.5062,18123.7705,24758.0721,142.1153,150.4616,212.5409,169.8843,173.7017,235.781,232.2214,225.8719,287.9513,248.4915,239.4884,301.5678,174.896,177.8959,239.9753,214.8599,211.342,273.4213,265.0021,253.3063,315.3856,293.467,277.1287,339.208,236.0203,173.7014,235.7807
2012,35.703,0.5102,18430.4872,24235.8663,144.1509,135.4725,197.0821,172.3177,158.5483,220.1578,235.5477,210.3496,271.9592,252.0508,223.8699,285.4794,177.4012,162.7129,224.3224,217.9375,195.9224,257.532,268.7979,237.59,299.1996,297.6706,261.244,322.8536,239.401,182.9975,244.6071
2013,36.2773,0.5088,20156.344,23912.3016,146.4695,95.3182,164.7013,175.0893,118.452,187.8352,239.3364,170.3839,239.767,256.1049,183.9382,253.3213,180.2545,122.6271,192.0103,221.4429,155.9203,225.3035,273.1214,197.6929,267.076,302.4584,221.4064,290.7896,243.2516,214.064,283.4471
2014,37.0477,0.5184,20570.2479,23954.7534,149.58,89.5852,155.1234,178.8077,113.2522,178.7905,244.4191,166.3811,231.9194,261.5437,180.2478,245.7861,184.0825,117.5236,183.0619,226.1456,151.5842,217.1224,278.9216,194.3196,259.8578,308.8816,218.5797,284.118,248.4174,224.9914,290.5296
2015,37.5475,0.5248,21148.0239,24244.8908,151.598,84.9083,148.5383,181.2199,109.1852,172.8152,247.7164,163.683,227.313,265.0721,177.907,241.537,186.566,113.5666,177.1966,229.1965,148.5048,212.1348,282.6844,192.3413,255.9713,313.0486,217.2265,280.8565,251.7688,236.0677,299.6977
2016,38.0284,0.5354,20959.5736,24536.4574,153.5397,96.5618,152.5828,183.5411,121.4454,177.4664,250.8893,177.305,233.326,268.4673,191.8844,247.9054,188.9556,125.9362,181.9573,232.1321,161.7475,217.7685,286.3052,206.6794,262.7004,317.0583,232.1865,288.2075,254.9936,234.7628,290.7838
2017,38.461,0.5472,20938.972,24628.955,155.2863,100.1973,147.9931,185.629,125.4588,173.2546,253.7434,182.1668,229.9626,271.5213,196.9677,244.7635,191.1051,130.0179,177.8137,234.7728,166.373,214.1688,289.5621,211.9874,259.7832,320.6651,237.8819,285.6777,257.8943,236.6893,284.4851
2018,38.7952,0.5531,21046.3081,25171.7043,156.6358,111.0717,155.0534,187.2421,137.1143,181.096,255.9484,195.5756,239.5573,273.8808,210.8341,254.8158,192.7658,141.8143,185.796,236.8129,179.2935,223.2752,292.0784,226.3182,270.2999,323.4516,253.0133,296.995,260.1354,238.13,282.1117
2019,39.0047,0.5625,21473.4371,26033.8881,157.4815,121.9825,159.822,188.253,149.0625,186.902,257.3303,209.8527,247.6922,275.3595,225.719,263.5585,193.8066,153.9498,191.7893,238.0915,192.922,230.7615,293.6554,241.82,279.6595,325.198,269.5785,307.418,261.5399,242.7143,280.5538
2020,39.0307,0.5736,21416.4811,32160.8383,157.5863,263.7093,292.8839,188.3784,297.1847,326.3593,257.5017,372.3317,401.5063,275.5429,391.9451,421.1197,193.9356,303.2262,332.4008,238.2501,351.4024,380.577,293.8509,411.8485,441.0231,325.4146,446.1628,475.3374,261.714,214.6948,243.8694
2021,39.0566,0.5847,23608.8683,32572.4747,157.6912,224.8503,247.5576,188.5037,258.7767,281.484,257.673,334.9361,357.6434,275.7262,354.8138,377.5211,194.0647,264.8996,287.6069,238.4086,313.7249,336.4322,294.0465,374.9854,397.6927,325.6311,409.7619,432.4693,261.8882,249.6414,272.3487
2022,39.2443,0.5912,24971.2576,27946.9352,158.4488,89.0987,107.3727,189.4093,118.3471,136.6211,258.9109,184.0052,202.2792,277.0509,201.1421,219.4161,194.997,123.6257,141.8998,239.554,165.7187,183.9928,295.4591,218.5323,236.8063,327.1955,248.5137,266.7877,263.1464,294.3851,312.6591
2023,39.8492,0.5994,22844.2755,28451.7997,160.8912,150.2636,160.2723,192.329,180.4994,190.5081,262.9019,248.374,258.3827,281.3215,266.0893,276.098,198.0028,185.9562,195.9649,243.2466,229.4702,239.4789,300.0134,284.0666,294.0753,332.239,315.0601,325.0688,267.2026,260.3694,270.3781
2024,40.8966,0.6113,23546.1078,29582.8666,165.12,165.12,165.12,197.3841,197.3841,197.3841,269.8119,269.8119,269.8119,288.7156,288.7156,288.7156,203.207,203.207,203.207,249.64,249.64,249.64,307.8989,307.8989,307.8989,340.9715,340.9715,340.9715,274.2257,274.2257,274.2257
