outcome,spec,beta_hisp,t,p,R2,n,sd_y,per10pp_sd
Illegal Dumping Pickup,raw,0.2757,5.4339,0.0,0.2346,138,14.1226,0.1952
Illegal Dumping Pickup,+income,0.0898,1.123,0.2615,0.3036,138,14.1226,0.0636
Illegal Dumping Pickup,full,-0.0634,-0.5025,0.6153,0.369,138,14.1226,-0.0449
Graffiti Removal,raw,0.956,4.8739,0.0,0.1716,138,57.2619,0.167
Graffiti Removal,+income,0.1102,0.3217,0.7477,0.2586,138,57.2619,0.0192
Graffiti Removal,full,-0.0255,-0.0555,0.9557,0.4061,138,57.2619,-0.0045
Bulky Items,raw,0.4473,1.8931,0.0583,0.0241,138,71.5159,0.0625
Bulky Items,+income,0.4569,1.1223,0.2617,0.0241,138,71.5159,0.0639
Bulky Items,full,0.1786,0.2182,0.8273,0.0916,138,71.5159,0.025
Homeless Encampment,raw,0.0009,0.0244,0.9805,0.0,138,11.7022,0.0008
Homeless Encampment,+income,-0.1516,-2.8114,0.0049,0.0677,138,11.7022,-0.1296
Homeless Encampment,full,-0.1862,-1.7304,0.0836,0.2033,138,11.7022,-0.1591
dump_per_bulky,raw,0.0019,2.2618,0.0237,0.0464,133,0.2162,0.0875
dump_per_bulky,+income,-0.0005,-0.3204,0.7487,0.0932,133,0.2162,-0.0237
dump_per_bulky,full,-0.0024,-1.3007,0.1934,0.1369,133,0.2162,-0.1117
