analysis_neighborhoods,sidewalk_litter,n,clean311_per_km2,homeless_per_km2,hisp_pct,mean_hh_inc,pov_pct
"1 - Outer Richmond, Seacliff",2.61,308,2613.315,4.625,8.41,195222.57,7.906
"10 - Portola, Visitacion Valley",2.976,291,2649.205,3.403,21.21,145937.224,10.282
11 - West of Twin Peaks,2.184,544,596.803,1.591,10.211,274549.244,4.74
12 - Sunset/Parkside,2.508,575,1472.908,5.94,8.324,187191.886,7.786
"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",2.429,354,3530.579,6.317,10.678,240442.713,7.757
"14 - Japantown, Pacific Heights",2.447,255,3532.604,0.869,9.773,245427.355,7.376
"15 - Russian Hill, Nob Hill, North Beach",2.568,405,7961.067,3.272,12.144,181874.309,9.938
16 - Marina,2.404,213,2653.334,1.678,9.426,306838.206,4.569
17 - Financial District/South Beach,2.442,224,3663.614,7.914,9.307,286501.47,8.86
"18 - Hayes Valley, Haight Ashbury",2.606,310,9394.346,7.634,9.939,236912.791,8.787
"19 - Mission Bay, Potrero Hill",2.548,330,1077.501,7.832,11.211,264703.007,6.509
"2 - Noe Valley, Glen Park, Twin Peaks",2.166,338,872.882,0.771,12.198,280556.733,5.409
20 - Mission,3.119,405,10421.995,36.446,33.042,201025.964,12.522
21 - Chinatown,2.496,135,12080.333,2.212,4.223,80482.899,28.833
22 - Western Addition,2.692,224,7499.504,13.465,10.99,154756.334,20.319
23 - South of Market,2.847,196,7607.048,31.461,16.394,161995.397,20.335
3 - Bernal Heights,2.634,295,2436.299,6.853,33.048,249590.759,8.275
3 - Castro/Upper Market,2.295,224,4295.966,4.42,9.889,255428.549,7.132
4 - Outer Mission,2.924,302,2232.355,3.976,23.442,182702.111,9.359
5 - Excelsior,2.893,309,2088.234,0.383,30.613,153568.557,9.768
6 - Bayview Hunters Point,3.405,437,1517.968,29.83,24.445,132265.128,15.973
"7 - Oceanview/Merced/Ingleside, Lakeshore",2.843,287,567.348,11.827,18.641,149600.809,13.932
8 - Inner Sunset,2.343,236,1582.887,1.316,12.653,205420.622,7.835
9 - Tenderloin,3.0,121,20111.999,58.185,25.165,75909.902,26.686
