regressor,beta,t,p,per10pp_sd,n
t_hisp,0.00556,2.00267,0.04521,0.0621,7291
t_mex,0.0065,1.52923,0.12621,0.07268,7291
t_asian,0.00272,1.33901,0.18057,0.03045,7291
t_black,-0.00297,-0.64977,0.51584,-0.03319,7291
t_pov,-0.00469,-0.9638,0.33515,-0.05244,7291
t_crowd,0.00851,1.82331,0.06826,0.09509,7291
