variable,v10_rows,v11_rows,distributions_identical
NEARTRASH,55669,55669,True
NEARABAND,55669,55669,True
NEARBARCL,55669,55669,True
ADEQUACY,55669,55669,True
HHSPAN,55669,55669,True
RATINGNH,55669,55669,True
NHQPCRIME,55669,55669,True
