regressor,outcome,spec,beta,se_hc1,t,p,n,mean_y
hisp,inadequate,raw,0.019168902047400724,0.003882828603236216,4.936839610026579,7.939871634203822e-07,48527,0.04845364833025511
hisp,inadequate,+income,0.01624659306529626,0.0038791865370227385,4.188144321042489,2.8124465477717894e-05,48527,0.04845364833025511
hisp,inadequate,"+income, tenure, metro, division, structure age/type",0.009812112817217965,0.0040400636112909215,2.4287025555230555,0.015152958161262671,48527,0.04845364833025511
hisp,inadequate,"+persons per room, household size",0.0028279749497994618,0.00422299029037232,0.6696617219903988,0.5030734581553324,48527,0.04845364833025511
hisp,sev_inadequate,raw,0.010876999200389991,0.002249402598874933,4.835505749762297,1.3280753538689227e-06,48527,0.012397126653716242
hisp,sev_inadequate,+income,0.009726292798452345,0.002261773761722348,4.300294292496232,1.705714404884933e-05,48527,0.012397126653716242
hisp,sev_inadequate,"+income, tenure, metro, division, structure age/type",0.006838838951253354,0.0023117925277176257,2.9582407890232116,0.003094003358414886,48527,0.012397126653716242
hisp,sev_inadequate,"+persons per room, household size",0.004242107201479711,0.0024432620396449122,1.7362473335427546,0.08252011114830432,48527,0.012397126653716242
hisp,nh_rating,raw,-0.1634476278668395,0.02761554619049012,-5.918681699771176,3.2453234174282682e-09,47195,8.319628357100045
hisp,nh_rating,+income,-0.1367282156095584,0.02754424752323653,-4.963948116361264,6.907440329000561e-07,47195,8.319628357100045
hisp,nh_rating,"+income, tenure, metro, division, structure age/type",0.06309101537251903,0.02816606164934186,2.239965819786283,0.0250931419544762,47195,8.319628357100045
hisp,nh_rating,"+persons per room, household size",0.12199100487637138,0.02889356787554829,4.222081724272221,2.4205630784318624e-05,47195,8.319628357100045
hisp,unit_rating,raw,-0.09680916835961176,0.02702809621176811,-3.5817975339846826,0.0003412382122518977,47300,8.389799804392075
hisp,unit_rating,+income,-0.06602180123964035,0.026925311665617405,-2.4520348012887694,0.014205092274018243,47300,8.389799804392075
hisp,unit_rating,"+income, tenure, metro, division, structure age/type",0.1703945765506389,0.026876336290974585,6.3399480757300815,2.2984261175680653e-10,47300,8.389799804392075
hisp,unit_rating,"+persons per room, household size",0.2550583487708243,0.027833376796830345,9.163758699945824,5.012046107401225e-20,47300,8.389799804392075
hisp,trash_nearby,raw,0.021581987542707296,0.00317937920927509,6.7881136920525025,1.136091103346838e-11,47578,0.027833001961644205
hisp,trash_nearby,+income,0.020038983950411725,0.0031791132120745492,6.303325051244452,2.913270162673372e-10,47578,0.027833001961644205
hisp,trash_nearby,"+income, tenure, metro, division, structure age/type",0.01162643930716589,0.0032217743631348383,3.60870687910409,0.0003077270655819562,47578,0.027833001961644205
hisp,trash_nearby,"+persons per room, household size",0.008734867174766152,0.0032755587834240327,2.666680023869195,0.007660456703614658,47578,0.027833001961644205
hisp,abandoned_nearby,raw,0.0032374843487155483,0.0027604457933044554,1.1728121438095849,0.24087114718868374,47325,0.027094862784480655
hisp,abandoned_nearby,+income,0.002310560667173994,0.002777815388855525,0.8317905777482059,0.4055271632096936,47325,0.027094862784480655
hisp,abandoned_nearby,"+income, tenure, metro, division, structure age/type",0.0006697919800557577,0.0029688176422118942,0.2256090002068077,0.8215055401685712,47325,0.027094862784480655
hisp,abandoned_nearby,"+persons per room, household size",-0.0010695683622334148,0.0030289936386523604,-0.35311013816102965,0.7240058726924041,47325,0.027094862784480655
hisp,bars_on_windows,raw,0.013720083852645639,0.0027097494852759397,5.06322961853003,4.1221286189653976e-07,46825,0.019994756921291306
hisp,bars_on_windows,+income,0.01315995125013984,0.0027152601172410725,4.846663185813458,1.255553180680815e-06,46825,0.019994756921291306
hisp,bars_on_windows,"+income, tenure, metro, division, structure age/type",0.008186397157721383,0.002861632987057267,2.8607432171586007,0.004226492250111127,46825,0.019994756921291306
hisp,bars_on_windows,"+persons per room, household size",0.008872787959074266,0.0028980826609425725,3.0616062401023716,0.002201528500631502,46825,0.019994756921291306
hisp,petty_crime,raw,0.08044577135891601,0.006716779590205876,11.976836559624292,4.699148935439885e-33,46548,0.17630583047066353
hisp,petty_crime,+income,0.07395038354613333,0.006713262256092772,11.015566013232686,3.2150944464774323e-28,46548,0.17630583047066353
hisp,petty_crime,"+income, tenure, metro, division, structure age/type",0.03350056661274875,0.006906223469183838,4.85077941109655,1.229772573963119e-06,46548,0.17630583047066353
hisp,petty_crime,"+persons per room, household size",0.022874264177202484,0.0070969060231536735,3.2231318975586176,0.0012679715304662665,46548,0.17630583047066353
hisp,serious_crime,raw,0.03698210012302897,0.004581573744170308,8.07192073904426,6.920079520934623e-16,46804,0.06865618100988076
hisp,serious_crime,+income,0.032307213604796256,0.0045552955646735345,7.092232138643154,1.3196590192049519e-12,46804,0.06865618100988076
hisp,serious_crime,"+income, tenure, metro, division, structure age/type",0.01566352488215533,0.004728030091935683,3.312907189163551,0.000923316139317447,46804,0.06865618100988076
hisp,serious_crime,"+persons per room, household size",0.008784070022857113,0.004874177182243954,1.8021646925057286,0.07151949790964045,46804,0.06865618100988076
hisp,school_problem,raw,-0.0176373822186455,0.004813483932517324,-3.664161440219375,0.0002481502370608541,42473,0.9157028958789082
hisp,school_problem,+income,-0.01579456610717598,0.004843742956080181,-3.260818389908493,0.0011109116796173496,42473,0.9157028958789082
hisp,school_problem,"+income, tenure, metro, division, structure age/type",-0.006377336136866721,0.005175320581301829,-1.2322591492994102,0.21785229434666042,42473,0.9157028958789082
hisp,school_problem,"+persons per room, household size",-0.000637835028109084,0.005346496622692411,-0.11929962237362836,0.9050379826659528,42473,0.9157028958789082
hisp,transit_problem,raw,0.2038875667085764,0.008022233539561923,25.41531179603508,1.708064740948797e-142,45537,0.45278301835294
hisp,transit_problem,+income,0.1997101022701619,0.008039639486003575,24.840678816238288,3.260963189732399e-136,45537,0.45278301835294
hisp,transit_problem,"+income, tenure, metro, division, structure age/type",0.1032989521606231,0.007895183940236817,13.083792973355935,4.075832585071725e-39,45537,0.45278301835294
hisp,transit_problem,"+persons per room, household size",0.09423196135998646,0.008065025605439924,11.684025069483505,1.5383455136011943e-31,45537,0.45278301835294
hisp,disaster_risk,raw,0.012441133095898888,0.0047655160913434936,2.610658081398165,0.009036819510865438,47008,0.09121716461169847
hisp,disaster_risk,+income,0.010576549424191242,0.004760430837289148,2.221763068448257,0.0262993218077459,47008,0.09121716461169847
hisp,disaster_risk,"+income, tenure, metro, division, structure age/type",-0.008662835962006028,0.00511129439606517,-1.6948419110186537,0.0901054145064948,47008,0.09121716461169847
hisp,disaster_risk,"+persons per room, household size",-0.010410393609844056,0.005293961641859143,-1.966465628978021,0.049244848870992806,47008,0.09121716461169847
foreign_born,inadequate,raw,0.006378797326587744,0.003414093184341648,1.8683723560456336,0.06171018750381695,48527,0.04845364833025511
foreign_born,inadequate,+income,0.006251769198349889,0.0034113581865675025,1.8326334721949555,0.0668570969104418,48527,0.04845364833025511
foreign_born,inadequate,"+income, tenure, metro, division, structure age/type",0.0035509348395088326,0.0034682436186054253,1.023842391134178,0.3059097241646872,48527,0.04845364833025511
foreign_born,inadequate,"+persons per room, household size",-0.0026074708916618452,0.0036318949800764892,-0.7179367536687228,0.47279628466428547,48527,0.04845364833025511
foreign_born,sev_inadequate,raw,0.00762132286838074,0.002000109447265674,3.810452912364251,0.00013871243194232252,48527,0.012397126653716242
foreign_born,sev_inadequate,+income,0.007570895125638013,0.0019961981550137586,3.7926571100281534,0.00014904389364557954,48527,0.012397126653716242
foreign_born,sev_inadequate,"+income, tenure, metro, division, structure age/type",0.005590374310021852,0.0020304833589337473,2.7532234063506356,0.005901161145194633,48527,0.012397126653716242
foreign_born,sev_inadequate,"+persons per room, household size",0.0034247412350797007,0.0021107324559929896,1.6225368711964674,0.10468844500281675,48527,0.012397126653716242
foreign_born,nh_rating,raw,-0.03395273493189625,0.024151996470895803,-1.4057941327049612,0.15978526482136168,47195,8.319628357100045
foreign_born,nh_rating,+income,-0.03250573683008921,0.024073981215427673,-1.3502435072624421,0.17693788670277932,47195,8.319628357100045
foreign_born,nh_rating,"+income, tenure, metro, division, structure age/type",0.11349771340491072,0.024542752088537886,4.62449007330018,3.7552106774819403e-06,47195,8.319628357100045
foreign_born,nh_rating,"+persons per room, household size",0.1649130159407778,0.02522006747396803,6.538960140015479,6.194803117066479e-11,47195,8.319628357100045
foreign_born,unit_rating,raw,-0.05399681769303803,0.024024868680457587,-2.247538515661497,0.024605631955321835,47300,8.389799804392075
foreign_born,unit_rating,+income,-0.05217500673606405,0.02394766552985222,-2.1787095143376183,0.02935325451598886,47300,8.389799804392075
foreign_born,unit_rating,"+income, tenure, metro, division, structure age/type",0.10173337186217762,0.02373102821487596,4.286934849220118,1.811553949573164e-05,47300,8.389799804392075
foreign_born,unit_rating,"+persons per room, household size",0.1687492025669571,0.02457635643804856,6.866323044766042,6.587780245419851e-12,47300,8.389799804392075
foreign_born,trash_nearby,raw,0.004743474207514526,0.002544009155293674,1.8645664846150882,0.06224219435338238,47578,0.027833001961644205
