nbhd,area_km2,tents_struct_veh_per_quarter,pop,hisp_pct,mean_hh_inc,pop_density_per_km2,street_homeless_per_km2
Tenderloin,1.0201,59.3548,32009,25.1648,75909.9015,31378.263,58.1853
Mission,4.8875,178.129,54431,33.0418,201025.9636,11136.8563,36.4461
South of Market,2.2957,72.2258,24698,16.394,161995.3975,10758.4694,31.4616
Bayview Hunters Point,13.4214,400.3548,39816,24.4449,132265.128,2966.5976,29.8295
Lakeshore,7.476,112.0968,12019,20.7255,123526.4038,1607.6699,14.9941
Western Addition,1.5117,20.3548,22066,10.9898,154756.3336,14597.0015,13.465
Mission Bay,2.0358,18.1935,16710,9.8564,253727.9963,8208.1687,8.9369
Golden Gate Park,4.4677,37.6774,49,14.2857,113847.5,10.9676,8.4333
Nob Hill,1.0568,8.7419,23526,12.4416,148133.0952,22261.3944,8.272
Financial District/South Beach,2.894,22.9032,24519,9.3071,286501.4701,8472.2965,7.914
Hayes Valley,1.2722,9.7742,18240,12.5713,205885.9282,14336.9523,7.6827
Haight Ashbury,1.4447,10.9677,17780,7.2385,272856.3115,12306.7283,7.5915
Potrero Hill,2.9106,20.5484,15463,12.6754,275419.9843,5312.6833,7.0599
Lone Mountain/USF,1.504,10.6129,16387,12.2963,212180.3591,10895.9233,7.0567
Presidio Heights,1.3035,8.9677,9942,10.2394,281592.5232,7627.3211,6.8799
Bernal Heights,2.81,19.2581,24725,33.0475,249590.7593,8799.071,6.8535
Sunset/Parkside,10.9591,65.0968,75455,8.3242,187191.8862,6885.1726,5.94
Inner Richmond,1.9311,10.3548,20261,9.5849,237420.0551,10491.9698,5.3622
Outer Richmond,4.6633,22.6452,44049,8.5042,181342.0623,9445.9327,4.8561
Portola,2.133,10.129,15558,20.9539,170670.6871,7294.1227,4.7488
Japantown,0.3128,1.4194,3936,17.7846,141554.4889,12583.849,4.5378
Castro/Upper Market,2.2261,9.8387,22024,9.8892,255428.5492,9893.3294,4.4196
Outer Mission,2.6042,10.3548,21717,23.4425,182702.1111,8339.1874,3.9762
McLaren Park,1.5167,5.8065,155,0.0,15330.0813,102.1936,3.8283
Oceanview/Merced/Ingleside,2.7329,8.6452,24770,17.6302,165872.958,9063.6149,3.1634
Seacliff,0.5677,1.5484,2419,6.697,481233.2972,4261.4141,2.7277
Lincoln Park,1.0003,2.6129,179,9.4972,,178.9499,2.6122
Chinatown,0.5832,1.2903,12644,4.2233,80482.899,21681.6834,2.2126
Marina,2.6527,4.4516,23733,9.4257,306838.2057,8946.8812,1.6782
Visitacion Valley,1.6487,2.7419,17068,21.4436,122513.0348,10352.3888,1.6631
North Beach,1.2863,2.0645,11497,12.9599,173591.2146,8937.8852,1.605
West of Twin Peaks,7.9486,12.6452,36882,10.2109,274549.2437,4640.0502,1.5909
Inner Sunset,3.7002,4.871,27534,12.6534,205420.6218,7441.1956,1.3164
Glen Park,1.744,2.0968,8458,11.2674,262779.1888,4849.803,1.2023
Russian Hill,1.2849,1.0645,16879,11.1736,236454.1175,13136.228,0.8285
Noe Valley,2.5134,1.8065,23334,11.2582,306953.9147,9283.827,0.7187
Presidio,6.1307,2.7742,3808,22.3477,279532.2123,621.1387,0.4525
Twin Peaks,1.7225,0.7097,7861,15.9903,213732.3607,4563.767,0.412
Excelsior,3.6222,1.3871,37915,30.6132,153568.5567,10467.4417,0.3829
Pacific Heights,2.0642,0.6452,22976,8.4001,263618.0417,11130.5354,0.3125
Treasure Island,2.3909,0.0,2829,31.6366,140426.7423,1183.2259,0.0
The Farallones,0.4197,0.0,0,,,0.0,0.0
