outcome,spec,beta_hisp_pct,se,t,p,sd_y,n,beta_per_10pp_in_sd
street_litter,raw,0.01675,0.00453,3.69936,0.00022,0.74004,7318,0.2264
street_litter,+income,0.01258,0.0041,3.0696,0.00214,0.74004,7318,0.16999
street_litter,+landuse,0.01276,0.00389,3.28396,0.00102,0.74004,7318,0.17244
street_litter,full,0.01328,0.00367,3.62131,0.00029,0.74004,7318,0.17946
sidewalk_litter,raw,0.02774,0.007,3.96087,7e-05,0.89552,7318,0.30977
sidewalk_litter,+income,0.0219,0.00511,4.28896,2e-05,0.89552,7318,0.2446
sidewalk_litter,+landuse,0.02232,0.00483,4.61823,0.0,0.89552,7318,0.24923
sidewalk_litter,full,0.01813,0.00473,3.83336,0.00013,0.89552,7318,0.20241
litter_bad,raw,0.01017,0.00253,4.01951,6e-05,0.37673,7318,0.27001
litter_bad,+income,0.00827,0.00178,4.6461,0.0,0.37673,7318,0.21944
litter_bad,+landuse,0.00839,0.00168,4.98877,0.0,0.37673,7318,0.22275
litter_bad,full,0.00633,0.00133,4.7498,0.0,0.37673,7318,0.16804
broken_glass,raw,0.00798,0.00634,1.25815,0.20834,1.15229,7318,0.06922
broken_glass,+income,0.00504,0.00633,0.79698,0.42546,1.15229,7318,0.04375
broken_glass,+landuse,0.00548,0.00582,0.94101,0.3467,1.15229,7318,0.04753
broken_glass,full,0.00684,0.00289,2.36748,0.01791,1.15229,7318,0.05938
dumping_items,raw,0.03379,0.01354,2.49657,0.01254,2.69058,7318,0.12559
dumping_items,+income,0.02492,0.01151,2.16477,0.03041,2.69058,7318,0.0926
dumping_items,+landuse,0.02544,0.01082,2.35101,0.01872,2.69058,7318,0.09456
dumping_items,full,0.02413,0.00966,2.4985,0.01247,2.69058,7318,0.08969
dumping_any,raw,0.00595,0.00238,2.4989,0.01246,0.46294,7318,0.12859
dumping_any,+income,0.00481,0.00251,1.91483,0.05551,0.46294,7318,0.10396
dumping_any,+landuse,0.00491,0.00237,2.06986,0.03847,0.46294,7318,0.10599
dumping_any,full,0.0068,0.00216,3.14794,0.00164,0.46294,7318,0.14683
graffiti_tot,raw,1.03625,0.72755,1.42431,0.15436,35.59146,7318,0.29115
graffiti_tot,+income,0.9578,0.79155,1.21002,0.22627,35.59146,7318,0.26911
graffiti_tot,+landuse,1.00214,0.71763,1.39646,0.16258,35.59146,7318,0.28157
graffiti_tot,full,1.59741,0.59502,2.68463,0.00726,35.59146,7318,0.44882
graffiti_priv,raw,0.36239,0.28014,1.2936,0.1958,17.51391,7318,0.20691
graffiti_priv,+income,0.27775,0.31012,0.89563,0.37045,17.51391,7318,0.15859
graffiti_priv,+landuse,0.29987,0.27172,1.10363,0.26976,17.51391,7318,0.17122
graffiti_priv,full,0.55932,0.21412,2.61224,0.009,17.51391,7318,0.31936
feces,raw,0.02224,0.01139,1.95305,0.05081,2.65917,7318,0.08363
feces,+income,0.01493,0.0125,1.19468,0.23221,2.65917,7318,0.05616
feces,+landuse,0.01547,0.01168,1.32445,0.18535,2.65917,7318,0.05816
feces,full,0.0153,0.00961,1.59225,0.11133,2.65917,7318,0.05754
syringes,raw,0.00074,0.00082,0.89859,0.36887,0.33218,7318,0.02224
syringes,+income,0.00069,0.00087,0.79413,0.42712,0.33218,7318,0.02083
syringes,+landuse,0.00073,0.00083,0.88096,0.37834,0.33218,7318,0.02189
syringes,full,0.00145,0.00063,2.30267,0.0213,0.33218,7318,0.04353
sw_defect_unmarked,raw,0.00141,0.00119,1.17861,0.23855,0.44449,7318,0.03163
sw_defect_unmarked,+income,0.00246,0.001,2.45716,0.014,0.44449,7318,0.05534
sw_defect_unmarked,+landuse,0.00226,0.00095,2.37628,0.01749,0.44449,7318,0.05088
sw_defect_unmarked,full,0.0032,0.00093,3.44122,0.00058,0.44449,7318,0.07207
pavement_sev,raw,0.00063,0.00363,0.17233,0.86318,1.11261,7318,0.00562
pavement_sev,+income,0.00341,0.00285,1.19744,0.23114,1.11261,7318,0.03068
pavement_sev,+landuse,0.00303,0.00342,0.88677,0.3752,1.11261,7318,0.02728
pavement_sev,full,0.00505,0.00271,1.86525,0.06215,1.11261,7318,0.04537
