regressor,outcome,spec,beta,se_hc1,t,p,n,mean_y
hisp,inadequate,raw,0.019168902047400724,0.003882828603236216,4.936839610026579,7.939871634203822e-07,48527,0.04845364833025511
hisp,inadequate,+income,0.01624659306529626,0.0038791865370227385,4.188144321042489,2.8124465477717894e-05,48527,0.04845364833025511
hisp,inadequate,"+income, tenure, metro, division, structure age/type",0.009812112817217965,0.0040400636112909215,2.4287025555230555,0.015152958161262671,48527,0.04845364833025511
hisp,inadequate,"+persons per room, household size",0.0028279749497994618,0.00422299029037232,0.6696617219903988,0.5030734581553324,48527,0.04845364833025511
hisp,nh_rating,raw,-0.1634476278668395,0.02761554619049012,-5.918681699771176,3.2453234174282682e-09,47195,8.319628357100045
hisp,nh_rating,+income,-0.1367282156095584,0.02754424752323653,-4.963948116361264,6.907440329000561e-07,47195,8.319628357100045
hisp,nh_rating,"+income, tenure, metro, division, structure age/type",0.06309101537251903,0.02816606164934186,2.239965819786283,0.0250931419544762,47195,8.319628357100045
hisp,nh_rating,"+persons per room, household size",0.12199100487637138,0.02889356787554829,4.222081724272221,2.4205630784318624e-05,47195,8.319628357100045
hisp,trash_severe,raw,0.021581987542707296,0.00317937920927509,6.7881136920525025,1.136091103346838e-11,47578,0.027833001961644205
hisp,trash_severe,+income,0.020038983950411725,0.0031791132120745492,6.303325051244452,2.913270162673372e-10,47578,0.027833001961644205
hisp,trash_severe,"+income, tenure, metro, division, structure age/type",0.01162643930716589,0.0032217743631348383,3.60870687910409,0.0003077270655819562,47578,0.027833001961644205
hisp,trash_severe,"+persons per room, household size",0.008734867174766152,0.0032755587834240327,2.666680023869195,0.007660456703614658,47578,0.027833001961644205
hisp,trash_any,raw,0.04139221509529274,0.005212614423312178,7.9407782225702155,2.009166371790607e-15,47578,0.09506273365766817
hisp,trash_any,+income,0.03781177706749773,0.005208150047511839,7.260116686838173,3.867565376359341e-13,47578,0.09506273365766817
hisp,trash_any,"+income, tenure, metro, division, structure age/type",0.013945159327486672,0.005343095389673786,2.609940177081149,0.009055805746894127,47578,0.09506273365766817
hisp,trash_any,"+persons per room, household size",0.00605504133103682,0.0054332662415913936,1.1144385461337727,0.26509109462147384,47578,0.09506273365766817
hisp,abandoned_severe,raw,0.01149042157391566,0.003060365143871534,3.754591701884185,0.0001736242714106441,47325,0.02822795881849825
hisp,abandoned_severe,+income,0.009537749068081225,0.0030834449888751483,3.093212008805978,0.0019800262751419636,47325,0.02822795881849825
hisp,abandoned_severe,"+income, tenure, metro, division, structure age/type",0.004004770047592389,0.0032457005773937893,1.233869222406249,0.2172516398278881,47325,0.02822795881849825
hisp,abandoned_severe,"+persons per room, household size",-9.989641505745595e-05,0.003316324866859732,-0.030122626421713948,0.9759692556421492,47325,0.02822795881849825
hisp,abandoned_any,raw,-0.01490234214683224,0.004600034165000496,-3.2396155359490972,0.0011969096507380476,47325,0.09790318997971634
hisp,abandoned_any,+income,-0.01802116449550584,0.004620217861209941,-3.9005010232973003,9.599382036100473e-05,47325,0.09790318997971634
hisp,abandoned_any,"+income, tenure, metro, division, structure age/type",-0.005810887877556081,0.00481818287050269,-1.2060330696725547,0.22780473971542425,47325,0.09790318997971634
hisp,abandoned_any,"+persons per room, household size",-0.01180441178136161,0.004948842253583352,-2.3852875433267817,0.017065776553195428,47325,0.09790318997971634
hisp,bars_severe,raw,0.09402221226662325,0.005583574252137951,16.839072612067824,1.2619880020886978e-63,46825,0.07662624323759512
hisp,bars_severe,+income,0.09111108593548538,0.0055596289553210285,16.387979605776472,2.3306306387274732e-60,46825,0.07662624323759512
hisp,bars_severe,"+income, tenure, metro, division, structure age/type",0.04755632266847652,0.005330029703128559,8.922337269633312,4.565494222936021e-19,46825,0.07662624323759512
hisp,bars_severe,"+persons per room, household size",0.04346174711283274,0.0054391273752470975,7.990573508284183,1.3431245217200006e-15,46825,0.07662624323759512
hisp,bars_any,raw,0.10774229611926889,0.006025461776665831,17.88116830091116,1.65335861803441e-71,46825,0.09662100015888642
hisp,bars_any,+income,0.10427103718562519,0.006002174817658175,17.37220929967979,1.3396704183366405e-67,46825,0.09662100015888642
hisp,bars_any,"+income, tenure, metro, division, structure age/type",0.05574271982619792,0.005811308237309552,9.592112059780364,8.630002214463433e-22,46825,0.09662100015888642
hisp,bars_any,"+persons per room, household size",0.05233453507190702,0.005913689635336774,8.849726363586319,8.773414092842682e-19,46825,0.09662100015888642
hisp,agrees_lot_petty_crime,raw,0.08044577135891601,0.006716779590205876,11.976836559624292,4.699148935439885e-33,46548,0.17630583047066353
hisp,agrees_lot_petty_crime,+income,0.07395038354613333,0.006713262256092772,11.015566013232686,3.2150944464774323e-28,46548,0.17630583047066353
hisp,agrees_lot_petty_crime,"+income, tenure, metro, division, structure age/type",0.03350056661274875,0.006906223469183838,4.85077941109655,1.229772573963119e-06,46548,0.17630583047066353
hisp,agrees_lot_petty_crime,"+persons per room, household size",0.022874264177202484,0.0070969060231536735,3.2231318975586176,0.0012679715304662665,46548,0.17630583047066353
hisp,agrees_lot_serious_crime,raw,0.03698210012302897,0.004581573744170308,8.07192073904426,6.920079520934623e-16,46804,0.06865618100988076
hisp,agrees_lot_serious_crime,+income,0.032307213604796256,0.0045552955646735345,7.092232138643154,1.3196590192049519e-12,46804,0.06865618100988076
hisp,agrees_lot_serious_crime,"+income, tenure, metro, division, structure age/type",0.01566352488215533,0.004728030091935683,3.312907189163551,0.000923316139317447,46804,0.06865618100988076
hisp,agrees_lot_serious_crime,"+persons per room, household size",0.008784070022857113,0.004874177182243954,1.8021646925057286,0.07151949790964045,46804,0.06865618100988076
hisp,agrees_good_schools,raw,-0.0176373822186455,0.004813483932517324,-3.664161440219375,0.0002481502370608541,42473,0.9157028958789082
hisp,agrees_good_schools,+income,-0.01579456610717598,0.004843742956080181,-3.260818389908493,0.0011109116796173496,42473,0.9157028958789082
hisp,agrees_good_schools,"+income, tenure, metro, division, structure age/type",-0.006377336136866721,0.005175320581301829,-1.2322591492994102,0.21785229434666042,42473,0.9157028958789082
hisp,agrees_good_schools,"+persons per room, household size",-0.000637835028109084,0.005346496622692411,-0.11929962237362836,0.9050379826659528,42473,0.9157028958789082
hisp,agrees_good_transit,raw,0.2038875667085764,0.008022233539561923,25.41531179603508,1.708064740948797e-142,45537,0.45278301835294
hisp,agrees_good_transit,+income,0.1997101022701619,0.008039639486003575,24.840678816238288,3.260963189732399e-136,45537,0.45278301835294
hisp,agrees_good_transit,"+income, tenure, metro, division, structure age/type",0.1032989521606231,0.007895183940236817,13.083792973355935,4.075832585071725e-39,45537,0.45278301835294
hisp,agrees_good_transit,"+persons per room, household size",0.09423196135998646,0.008065025605439924,11.684025069483505,1.5383455136011943e-31,45537,0.45278301835294
hisp,agrees_high_disaster_risk,raw,0.012441133095898888,0.0047655160913434936,2.610658081398165,0.009036819510865438,47008,0.09121716461169847
hisp,agrees_high_disaster_risk,+income,0.010576549424191242,0.004760430837289148,2.221763068448257,0.0262993218077459,47008,0.09121716461169847
hisp,agrees_high_disaster_risk,"+income, tenure, metro, division, structure age/type",-0.008662835962006028,0.00511129439606517,-1.6948419110186537,0.0901054145064948,47008,0.09121716461169847
hisp,agrees_high_disaster_risk,"+persons per room, household size",-0.010410393609844056,0.005293961641859143,-1.966465628978021,0.049244848870992806,47008,0.09121716461169847
foreign_born,inadequate,raw,0.006378797326587744,0.003414093184341648,1.8683723560456336,0.06171018750381695,48527,0.04845364833025511
foreign_born,inadequate,+income,0.006251769198349889,0.0034113581865675025,1.8326334721949555,0.0668570969104418,48527,0.04845364833025511
foreign_born,inadequate,"+income, tenure, metro, division, structure age/type",0.0035509348395088326,0.0034682436186054253,1.023842391134178,0.3059097241646872,48527,0.04845364833025511
foreign_born,inadequate,"+persons per room, household size",-0.0026074708916618452,0.0036318949800764892,-0.7179367536687228,0.47279628466428547,48527,0.04845364833025511
foreign_born,nh_rating,raw,-0.03395273493189625,0.024151996470895803,-1.4057941327049612,0.15978526482136168,47195,8.319628357100045
foreign_born,nh_rating,+income,-0.03250573683008921,0.024073981215427673,-1.3502435072624421,0.17693788670277932,47195,8.319628357100045
foreign_born,nh_rating,"+income, tenure, metro, division, structure age/type",0.11349771340491072,0.024542752088537886,4.62449007330018,3.7552106774819403e-06,47195,8.319628357100045
foreign_born,nh_rating,"+persons per room, household size",0.1649130159407778,0.02522006747396803,6.538960140015479,6.194803117066479e-11,47195,8.319628357100045
foreign_born,trash_severe,raw,0.004743474207514526,0.002544009155293674,1.8645664846150882,0.06224219435338238,47578,0.027833001961644205
foreign_born,trash_severe,+income,0.004679548255214433,0.002541533037717762,1.8412305430491511,0.06558778124926865,47578,0.027833001961644205
foreign_born,trash_severe,"+income, tenure, metro, division, structure age/type",-0.0029668049363475897,0.0026054606190251445,-1.1386873072208035,0.25483359863711974,47578,0.027833001961644205
foreign_born,trash_severe,"+persons per room, household size",-0.005909171051304903,0.002693732947840226,-2.1936736735698847,0.02825887776456334,47578,0.027833001961644205
