variable,code,n,wgt_share_pct,mean_nh_rating,mean_pct_of_poverty
NEARTRASH,1,1505,2.49,6.276,246.4
NEARTRASH,2,3456,6.02,7.007,284.3
NEARTRASH,3,42617,81.02,8.483,325.7
NEARTRASH,nan,8091,10.47,6.698,298.1
NEARABAND,1,1286,2.42,7.32,272.4
NEARABAND,2,1539,2.52,6.17,238.8
NEARABAND,3,42961,80.43,8.392,325.2
NEARABAND,4,1539,3.8,8.993,315.1
NEARABAND,nan,8344,10.84,7.182,292.0
NEARBARCL,1,1039,1.77,7.688,288.7
NEARBARCL,2,4283,6.77,7.275,276.7
NEARBARCL,3,41503,79.84,8.432,325.9
NEARBARCL,nan,8844,11.62,7.694,287.5
ADEQUACY,1,51904,93.89,8.362,324.0
ADEQUACY,2,2577,4.23,7.587,254.9
ADEQUACY,3,1188,1.88,7.152,211.3
NHQPCRIME,1,9325,15.48,7.013,276.2
NHQPCRIME,2,37223,72.31,8.612,331.2
NHQPCRIME,nan,9121,12.22,7.708,289.8
NHQSCRIME,1,4008,6.06,6.302,241.8
NHQSCRIME,2,42796,82.26,8.478,327.2
NHQSCRIME,nan,8865,11.68,7.451,289.4
NHQSCHOOL,1,38615,73.74,8.521,325.0
NHQSCHOOL,2,3858,6.79,6.894,291.7
NHQSCHOOL,nan,13196,19.47,7.73,305.4
NHQPUBTRN,1,23487,38.8,8.149,309.9
NHQPUBTRN,2,22050,46.89,8.482,329.9
NHQPUBTRN,nan,10132,14.32,8.056,310.5
NHQRISK,1,4211,8.08,7.927,298.5
NHQRISK,2,42797,80.49,8.365,323.5
NHQRISK,nan,8661,11.43,7.686,288.6
