dropped,beta,t
21 - Chinatown,0.0174,5.6183
5 - Excelsior,0.0176,3.8471
4 - Outer Mission,0.0178,5.4351
11 - West of Twin Peaks,0.0181,5.405
"10 - Portola, Visitacion Valley",0.0182,5.372
20 - Mission,0.0182,3.8928
6 - Bayview Hunters Point,0.0185,5.4586
12 - Sunset/Parkside,0.0185,5.0959
23 - South of Market,0.0186,5.5532
"7 - Oceanview/Merced/Ingleside, Lakeshore",0.0187,5.6833
3 - Castro/Upper Market,0.0187,5.6187
17 - Financial District/South Beach,0.0187,5.5462
"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",0.0188,5.6208
8 - Inner Sunset,0.0188,5.6882
9 - Tenderloin,0.0188,5.6201
16 - Marina,0.0189,5.8145
"19 - Mission Bay, Potrero Hill",0.0189,5.7084
"15 - Russian Hill, Nob Hill, North Beach",0.019,5.6814
"14 - Japantown, Pacific Heights",0.019,5.7212
"2 - Noe Valley, Glen Park, Twin Peaks",0.019,5.6239
22 - Western Addition,0.019,5.5777
"18 - Hayes Valley, Haight Ashbury",0.0197,6.2002
"1 - Outer Richmond, Seacliff",0.0197,5.8629
3 - Bernal Heights,0.0226,9.6999
