nbhd,pop,biz,all_311_per1k,cleaning_per1k,graffiti_per1k,encampment_per1k,streetdef_per1k,abandveh_per1k,litterbin_per1k,building_per1k,cleaning_per100biz,mean_hh_inc,hisp_pct,mex_pct,nhwhite_pct,nhasian_pct,nhblack_pct,fb_pct,crowded_pct,pov_pct,owner_pct
Mission,54431,7961,1931.402,911.579,328.363,165.641,38.119,12.989,17.957,3.32,623.265,201025.964,33.042,16.54,38.958,16.29,4.957,30.299,8.988,12.522,29.07
Hayes Valley,18240,2533,1617.834,737.046,265.695,124.264,35.103,5.757,27.757,2.616,530.743,205885.928,12.571,8.24,51.65,19.035,7.319,22.675,4.163,11.0,18.054
Nob Hill,23526,2855,1173.528,645.699,92.888,93.629,24.077,7.694,16.632,4.396,532.074,148133.095,12.442,6.376,41.541,33.274,4.527,32.742,4.895,10.998,12.703
South of Market,24698,6181,1445.56,639.531,122.48,232.112,44.717,10.25,20.586,4.327,255.543,161995.397,16.394,8.41,27.043,40.513,10.005,42.182,10.13,20.335,20.757
Tenderloin,32009,2899,1064.736,550.064,101.797,120.6,32.393,3.218,26.97,7.601,607.347,75909.902,25.165,17.454,30.473,29.301,8.954,43.669,12.938,26.686,3.873
Portola,15558,802,830.147,515.454,60.116,11.9,21.872,16.721,5.757,1.056,999.929,170670.687,20.954,15.568,10.509,62.161,2.558,49.094,14.436,7.542,68.145
Haight Ashbury,17780,2016,1448.031,508.87,392.054,35.618,27.181,13.82,15.684,1.607,448.795,272856.312,7.238,3.301,67.84,12.677,2.655,15.461,1.809,6.518,28.777
Bayview Hunters Point,39816,4705,951.366,507.492,59.158,33.791,46.058,33.332,8.019,3.182,429.464,132265.128,24.445,10.953,7.673,38.733,23.345,38.035,13.897,15.973,52.06
Chinatown,12644,3323,831.665,479.561,113.436,15.671,28.133,1.887,11.547,3.774,182.473,80482.899,4.223,2.143,9.799,81.319,1.408,71.006,22.874,28.833,8.457
Western Addition,22066,1664,931.834,443.015,124.827,95.014,24.776,5.678,11.226,2.758,587.474,154756.334,10.99,7.038,36.962,27.168,13.94,36.713,7.891,20.319,21.042
Japantown,3936,689,890.208,438.988,123.621,53.934,34.988,6.061,22.866,2.141,250.778,141554.489,17.785,6.86,39.888,32.927,3.963,37.576,4.044,20.575,7.556
Castro/Upper Market,22024,3402,1277.386,437.477,181.185,171.307,37.193,14.705,14.796,2.419,283.216,255428.549,9.889,5.739,66.278,13.29,2.506,18.734,2.147,7.132,42.036
North Beach,11497,1995,986.071,417.227,65.458,31.623,27.734,10.785,15.134,3.616,240.444,173591.215,12.96,5.514,40.332,35.009,4.993,31.521,8.113,9.977,21.177
