inc_band,hispanic,n,wgt_households,mean_income,inadequate,sev_inadequate,nh_rating,unit_rating,trash_nearby,abandoned_nearby,bars_on_windows,petty_crime,serious_crime,school_problem,transit_problem,disaster_risk
100-150k,0,5655,17654672.08073155,124250.23209659914,0.0255300400073114,0.003571894881919381,8.433927706695131,8.505109128965016,0.01214913394224302,0.016752147935097782,0.015210741559213913,0.12445034421802031,0.03815201267328277,0.9334925857449332,0.39236499800387664,0.07503463144747305
100-150k,1,1109,3019424.56179484,123254.55307565884,0.040364339154939005,0.012300463410502508,8.332830217342796,8.504798470158786,0.03133019347783102,0.02135695544103952,0.027335627932476084,0.20173403840867313,0.07047568719059806,0.9028890805661697,0.5941361105249197,0.1063712507836622
150k+,0,8275,23015633.68210923,302089.24183697335,0.024860798980588523,0.0034941829921973267,8.636479532599752,8.744315073372768,0.01093897763602245,0.013108914348365273,0.014098434189327333,0.10951288867112564,0.03409591964252738,0.9342260397020876,0.3980651863866723,0.08038690183354014
150k+,1,1015,2563544.29998931,265505.35334452847,0.04221363981632822,0.01632396125476923,8.390045268347357,8.589398984400383,0.023629596284571976,0.03800661172629102,0.029598810929433308,0.18760455030338255,0.058416513010062614,0.89963230728486,0.6161165808480061,0.0785985296870708
25-50k,0,6879,20399790.656061538,38273.4174030144,0.0550885736059479,0.013106447548019064,8.237153707101324,8.25901272193166,0.03379799025046648,0.03752052411590342,0.01805506770105422,0.20163711888371963,0.07897787201187638,0.9061613833002767,0.42644491970198983,0.09452679686044982
25-50k,1,1670,4153216.52974678,38042.75293287379,0.08537130947797651,0.028731876713549407,8.043766252436455,8.159374215802549,0.05610420337229331,0.04061047922276237,0.03192429374937247,0.2806608822290346,0.11663300836015582,0.910186632602799,0.64249487931382,0.10729273680681621
50-75k,0,5550,18113646.247880626,62765.6458333706,0.043513820910261625,0.0096810510485142,8.251437970716824,8.320246251849023,0.029361923632910132,0.030966164937838457,0.02048861529223859,0.1682757006025857,0.061666836637585966,0.9153350624500947,0.4195851763897873,0.0923895549728059
50-75k,1,1280,3333993.8298175596,62938.40312156655,0.04819878174228457,0.013824210791959411,8.214555995418761,8.37596755533968,0.048421455992863814,0.03204177117357127,0.030860256453836634,0.22880936502100352,0.08742503656164227,0.9061185961054677,0.6555877165091676,0.10601162711038739
75-100k,0,4453,14160489.156298548,87971.90538340843,0.04229170036870045,0.010072983956402017,8.354126535812481,8.41184077208661,0.021019927138700528,0.027933534489115567,0.015252094637948807,0.15097601595875249,0.046340610844050466,0.9227591448166421,0.4239863025853772,0.08190211377540849
75-100k,1,981,2664619.3431914905,87651.50794755586,0.03853827187623184,0.010321103254606077,8.283205808231033,8.37257893052888,0.038185327966606314,0.013599408481482453,0.024023508150758682,0.24626461580667328,0.08325107241870947,0.8898347056828525,0.5641003960525217,0.06933652727793936
<25k,0,9497,20156951.728404693,12127.171898605606,0.08153936504601682,0.024578173095365134,8.110105389016528,8.140149133752999,0.04038544597799615,0.03498188721154937,0.024506148053272545,0.23306905582353404,0.11687383303831192,0.8966979569206802,0.47678906006370003,0.10991813084387195
<25k,1,2163,3994794.9633031203,11783.234262854294,0.10766929132793723,0.038925935410302745,7.976492079870262,8.032075728211316,0.06531881486357206,0.0288457769200767,0.042094985154331306,0.2912349058218496,0.15573919310021472,0.892689593653148,0.6597717667583455,0.12592454543115472
