outcome,spec,beta_mex_pct,se,t,p,sd_y,beta_per_10pp_in_sd
street_litter,raw,0.03486,0.00734,4.75096,0.0,0.74004,0.4711
street_litter,+income,0.02522,0.00783,3.21926,0.00129,0.74004,0.34078
street_litter,+landuse,0.0253,0.00746,3.39122,0.0007,0.74004,0.34188
street_litter,full,0.02358,0.00753,3.13089,0.00174,0.74004,0.31858
sidewalk_litter,raw,0.05459,0.01123,4.8618,0.0,0.89552,0.60955
sidewalk_litter,+income,0.0409,0.00899,4.55166,1e-05,0.89552,0.45677
sidewalk_litter,+landuse,0.04091,0.00883,4.63393,0.0,0.89552,0.4568
sidewalk_litter,full,0.03138,0.00953,3.29214,0.00099,0.89552,0.35045
litter_bad,raw,0.02002,0.00403,4.9687,0.0,0.37673,0.53143
litter_bad,+income,0.01562,0.00287,5.44097,0.0,0.37673,0.41475
litter_bad,+landuse,0.01562,0.00277,5.63473,0.0,0.37673,0.4147
litter_bad,full,0.01139,0.00258,4.41651,1e-05,0.37673,0.30228
broken_glass,raw,0.01992,0.01073,1.85684,0.06333,1.15229,0.17288
broken_glass,+income,0.01341,0.01125,1.19182,0.23333,1.15229,0.11641
broken_glass,+landuse,0.01359,0.01024,1.3271,0.18448,1.15229,0.11793
broken_glass,full,0.01138,0.0065,1.74957,0.08019,1.15229,0.09873
dumping_items,raw,0.07312,0.022,3.3233,0.00089,2.69058,0.27175
dumping_items,+income,0.05295,0.02041,2.59476,0.00947,2.69058,0.19681
dumping_items,+landuse,0.05293,0.01896,2.79119,0.00525,2.69058,0.19673
dumping_items,full,0.0457,0.01807,2.52939,0.01143,2.69058,0.16986
dumping_any,raw,0.01385,0.00414,3.34344,0.00083,0.46294,0.29926
dumping_any,+income,0.01159,0.00471,2.45813,0.01397,0.46294,0.25035
dumping_any,+landuse,0.01159,0.0045,2.57444,0.01004,0.46294,0.25032
dumping_any,full,0.01345,0.00421,3.1966,0.00139,0.46294,0.29054
graffiti_tot,raw,2.49965,1.39943,1.78618,0.07407,35.59146,0.70232
graffiti_tot,+income,2.43756,1.58127,1.54152,0.12319,35.59146,0.68487
graffiti_tot,+landuse,2.43083,1.42842,1.70176,0.0888,35.59146,0.68298
graffiti_tot,full,3.09533,1.14296,2.70818,0.00677,35.59146,0.86968
graffiti_priv,raw,0.98933,0.54209,1.82504,0.068,17.51391,0.56488
graffiti_priv,+income,0.83696,0.61151,1.36868,0.1711,17.51391,0.47788
graffiti_priv,+landuse,0.83414,0.52663,1.58391,0.11321,17.51391,0.47627
graffiti_priv,full,1.14524,0.39071,2.9312,0.00338,17.51391,0.6539
feces,raw,0.06327,0.02136,2.9628,0.00305,2.65917,0.23795
feces,+income,0.04881,0.02147,2.27318,0.02302,2.65917,0.18354
feces,+landuse,0.04854,0.01964,2.47167,0.01345,2.65917,0.18252
feces,full,0.04267,0.01698,2.51295,0.01197,2.65917,0.16045
syringes,raw,0.00235,0.00149,1.58123,0.11383,0.33218,0.07086
syringes,+income,0.00243,0.00159,1.52763,0.1266,0.33218,0.07326
syringes,+landuse,0.00243,0.00146,1.66206,0.0965,0.33218,0.07301
syringes,full,0.00323,0.00105,3.07843,0.00208,0.33218,0.09719
sw_defect_unmarked,raw,0.00333,0.00241,1.38586,0.16579,0.44449,0.07502
sw_defect_unmarked,+income,0.0063,0.00201,3.13047,0.00175,0.44449,0.14177
sw_defect_unmarked,+landuse,0.00637,0.00166,3.84314,0.00012,0.44449,0.14338
sw_defect_unmarked,full,0.00764,0.00143,5.34737,0.0,0.44449,0.17187
pavement_sev,raw,0.00429,0.00722,0.59396,0.55254,1.11261,0.03855
pavement_sev,+income,0.01222,0.00497,2.45683,0.01402,1.11261,0.10982
pavement_sev,+landuse,0.0123,0.00628,1.95715,0.05033,1.11261,0.11051
pavement_sev,full,0.01419,0.00482,2.94365,0.00324,1.11261,0.12757
