nc,bulky,dumping,dump_per_bulky,graffiti
WOODLAND HILLS-WARNER CENTER NC,19161,1963,0.1024,3060
ARROYO SECO NC,6277,635,0.1012,1691
Palms,18186,1805,0.0993,8898
Woodland Hills-Warner Center,54631,5399,0.0988,9302
Del Rey,22333,2195,0.0983,5782
Mid City West,11715,1143,0.0976,4293
Mid-City West,29926,2914,0.0974,16377
GLASSELL PARK NC,8192,791,0.0966,4902
Greater Toluca Lake,11617,1109,0.0955,2005
Glassell Park,19084,1817,0.0952,7730
GRANADA HILLS SOUTH NC,12148,1153,0.0949,1742
NC VALLEY VILLAGE,8954,846,0.0945,1749
GRANADA HILLS NORTH NC,9265,871,0.094,722
LOS FELIZ NC,11336,1060,0.0935,3874
NORTHRIDGE EAST,7928,737,0.093,1113
Greater Wilshire,36206,3261,0.0901,7023
HISTORIC HIGHLAND PARK NC,19583,1760,0.0899,5915
North Westwood,5964,536,0.0899,766
WESTSIDE NC,8699,771,0.0886,2283
MAR VISTA CC,15716,1388,0.0883,3168
Hollywood Hills West,28371,2479,0.0874,7945
West Hills,39642,3462,0.0873,3138
Elysian Valley Riverside,6352,554,0.0872,3172
WESTWOOD NC,5163,450,0.0872,421
Westside,23024,2001,0.0869,6295
Granada Hills South,31400,2716,0.0865,5820
SHERMAN OAKS NC,21434,1838,0.0858,2518
Valley Village,21605,1851,0.0857,3915
NORTHRIDGE WEST,6890,582,0.0845,1051
HERMON NC,1184,97,0.0819,403
STUDIO CITY NC,10656,871,0.0817,2139
Northridge West,19242,1564,0.0813,2254
Historic Highland Park,43790,3486,0.0796,9719
Northridge East,19947,1587,0.0796,2752
Los Feliz,27856,2160,0.0775,8277
NC WESTCHESTER/PLAYA,15121,1146,0.0758,2613
Silver Lake,29285,2154,0.0736,16425
Mar Vista,37865,2743,0.0724,8017
Granada Hills North,23402,1658,0.0708,2058
Sherman Oaks,56787,3932,0.0692,7798
Westchester/Playa,41841,2887,0.069,5109
Westwood,13021,883,0.0678,1407
EAGLE ROCK NC,11812,781,0.0661,4838
Studio City,28862,1833,0.0635,7212
Eagle Rock,28519,1791,0.0628,4018
BRENTWOOD CC,5142,311,0.0605,231
NORTHWEST SAN PEDRO NC,6847,367,0.0536,1001
Hermon,3173,165,0.052,992
BEL AIR-BEVERLY CREST NC,5667,280,0.0494,203
Bel Air-Beverly Crest,16397,707,0.0431,887
Northwest San Pedro,18463,769,0.0417,2705
PORTER RANCH NC,6882,282,0.041,368
Porter Ranch,21604,579,0.0268,722
PACIFIC PALISADES NC,4410,114,0.0259,324
