zcta,pop,Bulky Items,Graffiti Removal,Illegal Dumping Pickup,Metal/Household Appliances,Homeless Encampment,Electronic Waste,Dead Animal Removal,Single Streetlight Issue,Multiple Streetlight Issue,dump_per_bulky,hh,hu,mean_hh_inc,hisp_pct,mex_pct,fb_pct,nhwhite_pct,nhblack_pct,nhasian_pct,owner_pct,crowded_pct,pov_pct,log_inc
90043,43548,184.978,27.831,33.297,31.837,3.832,12.554,8.126,2.296,2.687,0.18,16883,18307,96345.768,26.332,13.629,18.196,6.391,58.473,2.053,53.35,8.192,16.916,11.476
90044,95859,113.937,49.161,36.893,17.372,6.134,7.113,5.723,1.705,1.963,0.324,27423,28770,70206.473,67.199,38.655,33.883,1.385,29.179,0.549,31.284,19.268,26.576,11.159
90045,42352,131.524,16.727,8.665,30.715,8.544,7.788,5.977,2.01,1.828,0.066,16311,17981,175994.568,19.078,11.468,17.088,48.597,8.212,15.954,47.073,3.341,8.797,12.078
90046,48905,98.591,36.71,9.228,19.519,11.387,5.565,2.568,2.235,0.944,0.094,28716,31929,149428.573,16.375,8.384,26.208,64.901,5.235,6.772,23.311,3.308,11.296,11.915
90047,50925,166.848,31.587,36.53,30.692,6.354,12.438,9.754,2.715,3.473,0.219,17198,18042,90342.708,38.698,20.838,17.919,2.684,52.271,0.729,54.431,9.833,15.876,11.411
90048,20796,154.789,41.155,17.29,27.883,50.106,9.789,5.18,6.121,2.342,0.112,11838,13733,173411.7,7.554,3.121,27.308,73.057,4.53,7.732,27.978,1.301,11.565,12.063
90049,36735,102.46,4.884,6.125,24.13,5.25,7.117,3.554,2.819,1.54,0.06,16605,18684,282206.185,8.256,2.834,20.438,75.217,1.462,9.057,52.701,2.011,5.596,12.55
90056,8908,16.839,0.641,1.219,4.603,0.064,1.54,0.962,0.369,0.77,0.072,3531,3704,178268.139,15.357,9.317,11.024,10.597,59.138,4.423,56.216,2.69,10.063,12.091
90057,45548,80.891,153.292,25.176,13.004,41.354,4.046,1.763,2.079,3.616,0.311,16688,17912,58906.628,68.308,28.493,54.593,5.252,6.573,17.955,4.213,32.676,27.234,10.984
90059,38015,85.789,44.482,23.017,15.599,3.938,5.821,6.982,2.657,2.544,0.268,10245,10650,72969.244,70.464,52.058,27.742,1.236,25.022,1.029,44.344,18.292,24.416,11.198
90061,28478,96.159,46.949,36.274,14.201,5.839,5.157,6.963,2.047,2.082,0.377,7729,8300,82913.443,69.829,50.987,31.698,1.542,25.866,0.741,36.939,19.77,23.981,11.326
