nbhd,storefronts,reg_rate,biz_per_storefront,all_spaces,vacancy_rate,filing_rate,mean_hh_inc,hisp_pct,mex_pct,nhasian_pct,fb_pct,pov_pct
Visitacion Valley,64,40.625,0.625,64,0.0,0.0,122513.035,21.444,8.718,57.001,54.16,12.78
Bayview Hunters Point,101,46.535,0.97,108,6.481,50.926,132265.128,24.445,10.953,38.733,38.035,15.973
Presidio Heights,196,60.204,1.684,202,1.98,31.683,281592.523,10.239,6.689,22.832,20.901,4.078
Lone Mountain/USF,59,67.797,4.034,59,0.0,62.712,212180.359,12.296,5.944,21.908,22.329,12.977
Outer Mission,246,69.512,1.488,251,1.992,52.988,182702.111,23.442,8.519,58.631,52.876,9.359
Noe Valley,151,69.536,1.57,151,0.0,41.06,306953.915,11.258,6.433,18.347,22.902,4.231
Inner Richmond,382,70.681,2.469,395,3.291,58.987,237420.055,9.585,5.36,35.235,26.716,5.341
Bernal Heights,229,72.489,1.642,233,1.717,42.06,249590.759,33.048,14.544,13.828,26.969,8.275
Western Addition,126,73.016,2.865,129,2.326,48.062,154756.334,10.99,7.038,27.168,36.713,20.319
Inner Sunset,218,74.312,2.317,225,2.667,61.333,205420.622,12.653,5.364,33.475,26.164,7.835
Glen Park,40,75.0,1.775,40,0.0,30.0,262779.189,11.267,2.956,14.897,21.104,4.698
Excelsior,290,75.172,1.541,298,2.685,57.383,153568.557,30.613,14.43,48.741,44.067,9.768
Outer Richmond,387,77.519,2.127,406,4.433,68.966,181342.062,8.504,4.395,41.747,34.534,8.145
Portola,145,77.931,1.655,149,2.685,58.389,170670.687,20.954,15.568,62.161,49.094,7.542
Haight Ashbury,193,82.383,2.451,199,3.015,59.799,272856.312,7.238,3.301,12.677,15.461,6.518
South of Market,250,82.4,2.38,262,4.58,80.534,161995.397,16.394,8.41,40.513,42.182,20.335
Oceanview/Merced/Ingleside,65,83.077,1.538,70,7.143,54.286,165872.958,17.63,6.015,58.89,49.625,9.172
Russian Hill,179,83.799,2.201,189,5.291,60.847,236454.118,11.174,5.101,21.838,22.407,8.435
Hayes Valley,370,84.054,1.873,372,0.538,39.785,205885.928,12.571,8.24,19.035,22.675,11.0
Mission,937,84.312,2.387,964,2.697,65.456,201025.964,33.042,16.54,16.29,30.299,12.522
Marina,290,84.828,7.021,297,2.02,70.37,306838.206,9.426,3.257,10.875,16.665,4.569
Castro/Upper Market,299,85.284,21.562,324,6.481,71.605,255428.549,9.889,5.739,13.29,18.734,7.132
North Beach,278,86.331,5.014,287,2.439,64.808,173591.215,12.96,5.514,35.009,31.521,9.977
Sunset/Parkside,333,86.486,2.201,338,1.479,63.314,187191.886,8.324,2.977,53.131,39.341,7.786
Pacific Heights,177,88.136,4.079,178,0.562,60.674,263618.042,8.4,3.369,17.958,21.522,5.115
Chinatown,125,88.8,2.976,130,3.846,72.308,80482.899,4.223,2.143,81.319,71.006,28.833
West of Twin Peaks,296,91.216,4.223,303,2.31,81.848,274549.244,10.211,4.788,36.197,29.291,4.74
Japantown,102,93.137,4.5,104,1.923,73.077,141554.489,17.785,6.86,32.927,37.576,20.575
Nob Hill,215,93.953,6.949,230,6.087,76.957,148133.095,12.442,6.376,33.274,32.742,10.998
Tenderloin,36,100.0,7.028,39,7.692,94.872,75909.902,25.165,17.454,29.301,43.669,26.686
