benchmark,end,rule,receipts_method,window_start,net_cost_tn,fiscal_gap_tn
main,low,programme,own_series,2005,3.313632,3.309464
main,low,programme,own_series,2010,2.818359,2.815078
main,low,programme,own_series,2015,2.018178,2.015929
main,low,programme,grouped,2005,3.328477,3.324309
main,low,programme,grouped,2010,2.833409,2.830128
main,low,programme,grouped,2015,2.028325,2.026076
main,low,programme_income,own_series,2005,4.038028,4.03386
main,low,programme_income,own_series,2010,3.338631,3.335351
main,low,programme_income,own_series,2015,2.287321,2.285072
main,low,programme_income,grouped,2005,4.051255,4.047087
main,low,programme_income,grouped,2010,3.351993,3.348712
main,low,programme_income,grouped,2015,2.29656,2.294311
main,low,programme_ex_pandemic,own_series,2005,2.928941,2.924773
main,low,programme_ex_pandemic,own_series,2010,2.433667,2.430387
main,low,programme_ex_pandemic,own_series,2015,1.633487,1.631237
main,low,programme_ex_pandemic,grouped,2005,2.947699,2.94353
main,low,programme_ex_pandemic,grouped,2010,2.45263,2.44935
main,low,programme_ex_pandemic,grouped,2015,1.647546,1.645297
main,low,programme_income_ex_pandemic,own_series,2005,3.657115,3.652947
main,low,programme_income_ex_pandemic,own_series,2010,2.957718,2.954438
main,low,programme_income_ex_pandemic,own_series,2015,1.906408,1.904159
main,low,programme_income_ex_pandemic,grouped,2005,3.67404,3.669872
main,low,programme_income_ex_pandemic,grouped,2010,2.974777,2.971497
main,low,programme_income_ex_pandemic,grouped,2015,1.919344,1.917095
main,low,programme_pandemic_per_head,own_series,2005,3.162846,3.158677
main,low,programme_pandemic_per_head,own_series,2010,2.667572,2.664291
main,low,programme_pandemic_per_head,own_series,2015,1.867392,1.865142
main,low,programme_pandemic_per_head,grouped,2005,3.177691,3.173522
main,low,programme_pandemic_per_head,grouped,2010,2.682623,2.679342
main,low,programme_pandemic_per_head,grouped,2015,1.877538,1.875289
main,low,programme_income_pandemic_per_head,own_series,2005,3.887242,3.883073
main,low,programme_income_pandemic_per_head,own_series,2010,3.187845,3.184564
main,low,programme_income_pandemic_per_head,own_series,2015,2.136534,2.134285
main,low,programme_income_pandemic_per_head,grouped,2005,3.900469,3.896301
main,low,programme_income_pandemic_per_head,grouped,2010,3.201206,3.197926
main,low,programme_income_pandemic_per_head,grouped,2015,2.145773,2.143524
main,low,whole_flat,whole_budget,2005,3.590313,3.586145
main,low,whole_flat,whole_budget,2010,2.825662,2.822382
main,low,whole_flat,whole_budget,2015,1.937406,1.935157
main,low,whole_ratio,whole_budget,2005,2.999372,2.995204
main,low,whole_ratio,whole_budget,2010,2.516142,2.512862
main,low,whole_ratio,whole_budget,2015,1.7462,1.74395
main,low,whole_income,whole_budget,2005,3.902307,3.898139
main,low,whole_income,whole_budget,2010,3.163147,3.159867
main,low,whole_income,whole_budget,2015,2.075632,2.073383
main,high,programme,own_series,2005,4.041456,4.038706
main,high,programme,own_series,2010,3.392915,3.39075
main,high,programme,own_series,2015,2.420456,2.418972
main,high,programme,grouped,2005,4.057046,4.054295
main,high,programme,grouped,2010,3.408601,3.406436
main,high,programme,grouped,2015,2.430913,2.429429
main,high,programme_income,own_series,2005,4.733686,4.730935
main,high,programme_income,own_series,2010,3.890026,3.887861
main,high,programme_income,own_series,2015,2.677454,2.67597
main,high,programme_income,grouped,2005,4.74756,4.744809
main,high,programme_income,grouped,2010,3.903943,3.901778
main,high,programme_income,grouped,2015,2.686977,2.685493
main,high,programme_ex_pandemic,own_series,2005,3.67359,3.67084
main,high,programme_ex_pandemic,own_series,2010,3.025048,3.022884
main,high,programme_ex_pandemic,own_series,2015,2.052589,2.051105
main,high,programme_ex_pandemic,grouped,2005,3.69305,3.6903
main,high,programme_ex_pandemic,grouped,2010,3.044606,3.042441
main,high,programme_ex_pandemic,grouped,2015,2.066918,2.065434
main,high,programme_income_ex_pandemic,own_series,2005,4.369434,4.366683
main,high,programme_income_ex_pandemic,own_series,2010,3.525774,3.523609
main,high,programme_income_ex_pandemic,own_series,2015,2.313203,2.311718
main,high,programme_income_ex_pandemic,grouped,2005,4.386965,4.384214
main,high,programme_income_ex_pandemic,grouped,2010,3.543348,3.541184
main,high,programme_income_ex_pandemic,grouped,2015,2.326383,2.324898
main,high,programme_pandemic_per_head,own_series,2005,3.908308,3.905557
main,high,programme_pandemic_per_head,own_series,2010,3.259766,3.257601
main,high,programme_pandemic_per_head,own_series,2015,2.287307,2.285823
main,high,programme_pandemic_per_head,grouped,2005,3.923897,3.921146
main,high,programme_pandemic_per_head,grouped,2010,3.275452,3.273288
main,high,programme_pandemic_per_head,grouped,2015,2.297764,2.29628
main,high,programme_income_pandemic_per_head,own_series,2005,4.600537,4.597787
main,high,programme_income_pandemic_per_head,own_series,2010,3.756877,3.754713
main,high,programme_income_pandemic_per_head,own_series,2015,2.544306,2.542822
