benefit_set,federal_2024_bn,window_start,stock_reduction_bn,interest_reduction_2024_bn,interest_reduction_per_member_usd
care_and_mobility,3.329535,2005,51.761993,1.673516,40.920695
care_and_mobility,3.329535,2010,39.524561,1.277868,31.246333
care_and_mobility,3.329535,2015,26.128138,0.844748,20.655726
care_mobility_and_scale,8.598234,2005,133.670854,4.32171,105.674142
care_mobility_and_scale,8.598234,2010,102.068746,3.299983,80.690943
care_mobility_and_scale,8.598234,2015,67.473648,2.18149,53.34162
