benchmark,rule,end,convention,rate_path,window_start,financing,stock_entering_2024_bn,legacy_interest_2024_bn,stock_end_2024_brief_bn,flow_2024_bn,flow_2024_part_year_interest_bn,sum_flows_nominal_bn,rate_2024,stock_share_of_debt_end_fy2023,interest_per_member_usd,interest_per_other_resident_usd,interest_share_of_fy2024_net_interest,interest_share_of_account_interest_allocation,interest_share_of_per_head_net_interest
main,programme,high,high,effective,2015,half_borrowed,365.330654,11.8115,377.142154,36.198399,0.585165,345.303358,0.032331,0.013925,288.813921,39.475037,0.013424,0.087793,0.111639
main,programme,high,high,constant_3_22,2005,all_borrowed,1094.672021,35.257093,1129.929115,72.396799,1.165875,927.584445,0.032208,0.041725,862.103835,117.832203,0.04007,0.26206,0.33324
main,programme,high,high,constant_3_22,2005,half_borrowed,547.336011,17.628547,564.964557,36.198399,0.582937,463.792222,0.032208,0.020862,431.051918,58.916101,0.020035,0.13103,0.16662
main,programme,high,high,constant_3_22,2010,all_borrowed,1046.790829,33.71494,1080.505769,72.396799,1.165875,894.871295,0.032208,0.0399,824.395226,112.678196,0.038318,0.250597,0.318664
main,programme,high,high,constant_3_22,2010,half_borrowed,523.395414,16.85747,540.252885,36.198399,0.582937,447.435647,0.032208,0.01995,412.197613,56.339098,0.019159,0.125299,0.159332
main,programme,high,high,constant_3_22,2015,all_borrowed,751.299269,24.197776,775.497045,72.396799,1.165875,690.606715,0.032208,0.028637,591.682229,80.871024,0.027501,0.179858,0.228711
main,programme,high,high,constant_3_22,2015,half_borrowed,375.649634,12.098888,387.748523,36.198399,0.582937,345.303358,0.032208,0.014318,295.841114,40.435512,0.013751,0.089929,0.114355
main,programme,high,high,treasury_10y,2005,all_borrowed,1045.697559,44.416004,1090.113562,72.396799,1.537527,927.584445,0.042475,0.039858,1086.056833,148.442059,0.05048,0.330137,0.419808
main,programme,high,high,treasury_10y,2005,half_borrowed,522.848779,22.208002,545.056781,36.198399,0.768764,463.792222,0.042475,0.019929,543.028416,74.22103,0.02524,0.165068,0.209904
main,programme,high,high,treasury_10y,2010,all_borrowed,1003.872229,42.639473,1046.511702,72.396799,1.537527,894.871295,0.042475,0.038264,1042.617231,142.504742,0.048461,0.316932,0.403016
main,programme,high,high,treasury_10y,2010,half_borrowed,501.936114,21.319736,523.255851,36.198399,0.768764,447.435647,0.042475,0.019132,521.308616,71.252371,0.02423,0.158466,0.201508
main,programme,high,high,treasury_10y,2015,all_borrowed,739.088997,31.392805,770.481802,72.396799,1.537527,690.606715,0.042475,0.028171,767.614545,104.917423,0.035679,0.233337,0.296716
main,programme,high,high,treasury_10y,2015,half_borrowed,369.544499,15.696403,385.240901,36.198399,0.768764,345.303358,0.042475,0.014086,383.807273,52.458711,0.017839,0.116669,0.148358
main,programme,high,high,gross_public_securities,2005,all_borrowed,1041.556922,36.326874,1077.883796,72.396799,1.262509,927.584445,0.034877,0.0397,888.262039,121.407501,0.041286,0.270011,0.343351
main,programme,high,high,gross_public_securities,2005,half_borrowed,520.778461,18.163437,538.941898,36.198399,0.631254,463.792222,0.034877,0.01985,444.131019,60.703751,0.020643,0.135006,0.171676
main,programme,high,high,gross_public_securities,2010,all_borrowed,1000.382507,34.890815,1035.273321,72.396799,1.262509,894.871295,0.034877,0.038131,853.147616,116.608068,0.039654,0.259337,0.329778
main,programme,high,high,gross_public_securities,2010,half_borrowed,500.191253,17.445407,517.636661,36.198399,0.631254,447.435647,0.034877,0.019065,426.573808,58.304034,0.019827,0.129669,0.164889
main,programme,high,high,gross_public_securities,2015,all_borrowed,735.356068,25.647362,761.00343,72.396799,1.262509,690.606715,0.034877,0.028029,627.127396,85.715664,0.029149,0.190632,0.242412
main,programme,high,high,gross_public_securities,2015,half_borrowed,367.678034,12.823681,380.501715,36.198399,0.631254,345.303358,0.034877,0.014014,313.563698,42.857832,0.014574,0.095316,0.121206
main,programme,high,low,effective,2005,all_borrowed,552.450364,17.861265,570.311629,35.646701,0.576246,524.772127,0.032331,0.021057,436.742317,59.693864,0.0203,0.13276,0.16882
main,programme,high,low,effective,2005,half_borrowed,276.225182,8.930632,285.155814,17.823351,0.288123,262.386064,0.032331,0.010529,218.371158,29.846932,0.01015,0.06638,0.08441
main,programme,high,low,effective,2010,all_borrowed,620.412018,20.058532,640.47055,35.646701,0.576246,567.755578,0.032331,0.023648,490.469732,67.037318,0.022797,0.149092,0.189588
main,programme,high,low,effective,2010,half_borrowed,310.206009,10.029266,320.235275,17.823351,0.288123,283.877789,0.032331,0.011824,245.234866,33.518659,0.011398,0.074546,0.094794
