convention,line,year,federal_share
central,customs_duties,2024,1.0
central,other_domestic_social_contributions,2005,0.693064
central,other_domestic_social_contributions,2006,0.722151
central,other_domestic_social_contributions,2007,0.739668
central,other_domestic_social_contributions,2008,0.736147
central,other_domestic_social_contributions,2009,0.743925
central,other_domestic_social_contributions,2010,0.783398
central,other_domestic_social_contributions,2011,0.801963
central,other_domestic_social_contributions,2012,0.816008
central,other_domestic_social_contributions,2013,0.809133
central,other_domestic_social_contributions,2014,0.796716
central,other_domestic_social_contributions,2015,0.790721
central,other_domestic_social_contributions,2016,0.776027
central,other_domestic_social_contributions,2017,0.773027
central,other_domestic_social_contributions,2018,0.755165
central,other_domestic_social_contributions,2019,0.749706
central,other_domestic_social_contributions,2020,0.762004
central,other_domestic_social_contributions,2021,0.74328
central,other_domestic_social_contributions,2022,0.733441
central,other_domestic_social_contributions,2023,0.74973
central,other_domestic_social_contributions,2024,0.712169
central,excise_selective_sales,2005,0.363513
central,excise_selective_sales,2006,0.343471
central,excise_selective_sales,2007,0.309789
central,excise_selective_sales,2008,0.306394
central,excise_selective_sales,2009,0.318664
central,excise_selective_sales,2010,0.30264
central,excise_selective_sales,2011,0.320168
central,excise_selective_sales,2012,0.327368
central,excise_selective_sales,2013,0.342867
central,excise_selective_sales,2014,0.361061
central,excise_selective_sales,2015,0.363178
central,excise_selective_sales,2016,0.347392
central,excise_selective_sales,2017,0.320391
central,excise_selective_sales,2018,0.346257
central,excise_selective_sales,2019,0.310304
central,excise_selective_sales,2020,0.294418
central,excise_selective_sales,2021,0.28505
central,excise_selective_sales,2022,0.290594
central,excise_selective_sales,2023,0.266638
central,excise_selective_sales,2024,0.269255
central,personal_current_transfers,2005,0.211058
central,personal_current_transfers,2006,0.230561
central,personal_current_transfers,2007,0.246394
central,personal_current_transfers,2008,0.240765
central,personal_current_transfers,2009,0.243864
central,personal_current_transfers,2010,0.25971
central,personal_current_transfers,2011,0.243568
central,personal_current_transfers,2012,0.243615
central,personal_current_transfers,2013,0.225716
central,personal_current_transfers,2014,0.220255
central,personal_current_transfers,2015,0.227067
central,personal_current_transfers,2016,0.239626
central,personal_current_transfers,2017,0.23693
central,personal_current_transfers,2018,0.23471
central,personal_current_transfers,2019,0.225718
central,personal_current_transfers,2020,0.152473
central,personal_current_transfers,2021,0.168819
central,personal_current_transfers,2022,0.173721
central,personal_current_transfers,2023,0.174757
central,personal_current_transfers,2024,0.179782
central,state_local_income_tax,2005,0.0
central,state_local_income_tax,2006,0.0
central,state_local_income_tax,2007,0.0
central,state_local_income_tax,2008,0.0
central,state_local_income_tax,2009,0.0
central,state_local_income_tax,2010,0.0
central,state_local_income_tax,2011,0.0
central,state_local_income_tax,2012,0.0
central,state_local_income_tax,2013,0.0
central,state_local_income_tax,2014,0.0
central,state_local_income_tax,2015,0.0
central,state_local_income_tax,2016,0.0
central,state_local_income_tax,2017,0.0
central,state_local_income_tax,2018,0.0
central,state_local_income_tax,2019,0.0
central,state_local_income_tax,2020,0.0
central,state_local_income_tax,2021,0.0
central,state_local_income_tax,2022,0.0
central,state_local_income_tax,2023,0.0
central,state_local_income_tax,2024,0.0
central,personal_motor_vehicle,2005,0.0
central,personal_motor_vehicle,2006,0.0
central,personal_motor_vehicle,2007,0.0
central,personal_motor_vehicle,2008,0.0
central,personal_motor_vehicle,2009,0.0
central,personal_motor_vehicle,2010,0.0
central,personal_motor_vehicle,2011,0.0
central,personal_motor_vehicle,2012,0.0
central,personal_motor_vehicle,2013,0.0
central,personal_motor_vehicle,2014,0.0
central,personal_motor_vehicle,2015,0.0
central,personal_motor_vehicle,2016,0.0
central,personal_motor_vehicle,2017,0.0
central,personal_motor_vehicle,2018,0.0
central,personal_motor_vehicle,2019,0.0
central,personal_motor_vehicle,2020,0.0
central,personal_motor_vehicle,2021,0.0
central,personal_motor_vehicle,2022,0.0
central,personal_motor_vehicle,2023,0.0
central,personal_motor_vehicle,2024,0.0
central,other_personal_tax,2005,0.0
central,other_personal_tax,2006,0.0
central,other_personal_tax,2007,0.0
central,other_personal_tax,2008,0.0
central,other_personal_tax,2009,0.0
central,other_personal_tax,2010,0.0
central,other_personal_tax,2011,0.0
central,other_personal_tax,2012,0.0
central,other_personal_tax,2013,0.0
central,other_personal_tax,2014,0.0
central,other_personal_tax,2015,0.0
central,other_personal_tax,2016,0.0
central,other_personal_tax,2017,0.0
central,other_personal_tax,2018,0.0
central,other_personal_tax,2019,0.0
central,other_personal_tax,2020,0.0
central,other_personal_tax,2021,0.0
central,other_personal_tax,2022,0.0
central,other_personal_tax,2023,0.0
central,other_personal_tax,2024,0.0
central,general_sales_tax,2005,0.0
central,general_sales_tax,2006,0.0
central,general_sales_tax,2007,0.0
central,general_sales_tax,2008,0.0
central,general_sales_tax,2009,0.0
central,general_sales_tax,2010,0.0
central,general_sales_tax,2011,0.0
central,general_sales_tax,2012,0.0
central,general_sales_tax,2013,0.0
central,general_sales_tax,2014,0.0
central,general_sales_tax,2015,0.0
central,general_sales_tax,2016,0.0
central,general_sales_tax,2017,0.0
central,general_sales_tax,2018,0.0
central,general_sales_tax,2019,0.0
central,general_sales_tax,2020,0.0
central,general_sales_tax,2021,0.0
central,general_sales_tax,2022,0.0
central,general_sales_tax,2023,0.0
central,general_sales_tax,2024,0.0
central,social_security,2005,1.0
central,social_security,2006,1.0
central,social_security,2007,1.0
central,social_security,2008,1.0
central,social_security,2009,1.0
central,social_security,2010,1.0
central,social_security,2011,1.0
central,social_security,2012,1.0
central,social_security,2013,1.0
central,social_security,2014,1.0
central,social_security,2015,1.0
central,social_security,2016,1.0
central,social_security,2017,1.0
central,social_security,2018,1.0
central,social_security,2019,1.0
central,social_security,2020,1.0
central,social_security,2021,1.0
central,social_security,2022,1.0
central,social_security,2023,1.0
central,social_security,2024,1.0
central,medicare,2005,1.0
central,medicare,2006,1.0
central,medicare,2007,1.0
central,medicare,2008,1.0
central,medicare,2009,1.0
central,medicare,2010,1.0
central,medicare,2011,1.0
central,medicare,2012,1.0
central,medicare,2013,1.0
central,medicare,2014,1.0
central,medicare,2015,1.0
central,medicare,2016,1.0
central,medicare,2017,1.0
central,medicare,2018,1.0
central,medicare,2019,1.0
central,medicare,2020,1.0
central,medicare,2021,1.0
central,medicare,2022,1.0
central,medicare,2023,1.0
central,medicare,2024,1.0
central,unemployment,2005,1.0
central,unemployment,2006,1.0
central,unemployment,2007,1.0
central,unemployment,2008,1.0
central,unemployment,2009,1.0
central,unemployment,2010,1.0
central,unemployment,2011,1.0
central,unemployment,2012,1.0
central,unemployment,2013,1.0
central,unemployment,2014,1.0
central,unemployment,2015,1.0
central,unemployment,2016,1.0
central,unemployment,2017,1.0
central,unemployment,2018,1.0
central,unemployment,2019,1.0
central,unemployment,2020,1.0
central,unemployment,2021,1.0
central,unemployment,2022,1.0
central,unemployment,2023,1.0
central,unemployment,2024,1.0
central,railroad_retirement,2005,1.0
central,railroad_retirement,2006,1.0
central,railroad_retirement,2007,1.0
central,railroad_retirement,2008,1.0
central,railroad_retirement,2009,1.0
central,railroad_retirement,2010,1.0
central,railroad_retirement,2011,1.0
central,railroad_retirement,2012,1.0
central,railroad_retirement,2013,1.0
central,railroad_retirement,2014,1.0
central,railroad_retirement,2015,1.0
central,railroad_retirement,2016,1.0
central,railroad_retirement,2017,1.0
central,railroad_retirement,2018,1.0
central,railroad_retirement,2019,1.0
central,railroad_retirement,2020,1.0
central,railroad_retirement,2021,1.0
central,railroad_retirement,2022,1.0
central,railroad_retirement,2023,1.0
central,railroad_retirement,2024,1.0
central,pension_guaranty,2005,1.0
central,pension_guaranty,2006,1.0
central,pension_guaranty,2007,1.0
central,pension_guaranty,2008,1.0
central,pension_guaranty,2009,1.0
central,pension_guaranty,2010,1.0
central,pension_guaranty,2011,1.0
central,pension_guaranty,2012,1.0
central,pension_guaranty,2013,1.0
central,pension_guaranty,2014,1.0
central,pension_guaranty,2015,1.0
central,pension_guaranty,2016,1.0
central,pension_guaranty,2017,1.0
central,pension_guaranty,2018,1.0
central,pension_guaranty,2019,1.0
central,pension_guaranty,2020,1.0
central,pension_guaranty,2021,1.0
central,pension_guaranty,2022,1.0
central,pension_guaranty,2023,1.0
central,pension_guaranty,2024,1.0
central,veterans_life_insurance,2005,1.0
central,veterans_life_insurance,2006,1.0
central,veterans_life_insurance,2007,1.0
central,veterans_life_insurance,2008,1.0
central,veterans_life_insurance,2009,1.0
central,veterans_life_insurance,2010,1.0
central,veterans_life_insurance,2011,1.0
central,veterans_life_insurance,2012,1.0
central,veterans_life_insurance,2013,1.0
central,veterans_life_insurance,2014,1.0
central,veterans_life_insurance,2015,1.0
central,veterans_life_insurance,2016,1.0
central,veterans_life_insurance,2017,1.0
central,veterans_life_insurance,2018,1.0
central,veterans_life_insurance,2019,1.0
central,veterans_life_insurance,2020,1.0
central,veterans_life_insurance,2021,1.0
central,veterans_life_insurance,2022,1.0
central,veterans_life_insurance,2023,1.0
central,veterans_life_insurance,2024,1.0
central,military_medical,2005,1.0
central,military_medical,2006,1.0
central,military_medical,2007,1.0
central,military_medical,2008,1.0
central,military_medical,2009,1.0
central,military_medical,2010,1.0
central,military_medical,2011,1.0
central,military_medical,2012,1.0
central,military_medical,2013,1.0
central,military_medical,2014,1.0
central,military_medical,2015,1.0
central,military_medical,2016,1.0
central,military_medical,2017,1.0
central,military_medical,2018,1.0
central,military_medical,2019,1.0
central,military_medical,2020,1.0
central,military_medical,2021,1.0
central,military_medical,2022,1.0
central,military_medical,2023,1.0
central,military_medical,2024,1.0
central,veterans_pension_disability,2005,1.0
central,veterans_pension_disability,2006,1.0
central,veterans_pension_disability,2007,1.0
central,veterans_pension_disability,2008,1.0
central,veterans_pension_disability,2009,1.0
central,veterans_pension_disability,2010,1.0
central,veterans_pension_disability,2011,1.0
central,veterans_pension_disability,2012,1.0
central,veterans_pension_disability,2013,1.0
central,veterans_pension_disability,2014,1.0
central,veterans_pension_disability,2015,1.0
central,veterans_pension_disability,2016,1.0
central,veterans_pension_disability,2017,1.0
central,veterans_pension_disability,2018,1.0
central,veterans_pension_disability,2019,1.0
central,veterans_pension_disability,2020,1.0
central,veterans_pension_disability,2021,1.0
central,veterans_pension_disability,2022,1.0
central,veterans_pension_disability,2023,1.0
central,veterans_pension_disability,2024,1.0
central,veterans_readjustment,2005,1.0
central,veterans_readjustment,2006,1.0
central,veterans_readjustment,2007,1.0
central,veterans_readjustment,2008,1.0
central,veterans_readjustment,2009,1.0
central,veterans_readjustment,2010,1.0
central,veterans_readjustment,2011,1.0
central,veterans_readjustment,2012,1.0
central,veterans_readjustment,2013,1.0
central,veterans_readjustment,2014,1.0
central,veterans_readjustment,2015,1.0
central,veterans_readjustment,2016,1.0
central,veterans_readjustment,2017,1.0
central,veterans_readjustment,2018,1.0
central,veterans_readjustment,2019,1.0
central,veterans_readjustment,2020,1.0
central,veterans_readjustment,2021,1.0
central,veterans_readjustment,2022,1.0
central,veterans_readjustment,2023,1.0
central,veterans_readjustment,2024,1.0
central,veterans_other,2005,1.0
central,veterans_other,2006,1.0
central,veterans_other,2007,1.0
central,veterans_other,2008,1.0
central,veterans_other,2009,1.0
central,veterans_other,2010,1.0
central,veterans_other,2011,1.0
central,veterans_other,2012,1.0
central,veterans_other,2013,1.0
central,veterans_other,2014,1.0
central,veterans_other,2015,1.0
central,veterans_other,2016,1.0
central,veterans_other,2017,1.0
central,veterans_other,2018,1.0
central,veterans_other,2019,1.0
central,veterans_other,2020,1.0
central,veterans_other,2021,1.0
central,veterans_other,2022,1.0
central,veterans_other,2023,1.0
central,veterans_other,2024,1.0
central,snap,2005,1.0
central,snap,2006,1.0
central,snap,2007,1.0
central,snap,2008,1.0
central,snap,2009,1.0
central,snap,2010,1.0
central,snap,2011,1.0
central,snap,2012,1.0
central,snap,2013,1.0
central,snap,2014,1.0
central,snap,2015,1.0
central,snap,2016,1.0
central,snap,2017,1.0
central,snap,2018,1.0
central,snap,2019,1.0
central,snap,2020,1.0
central,snap,2021,1.0
central,snap,2022,1.0
central,snap,2023,1.0
central,snap,2024,1.0
central,black_lung,2005,1.0
central,black_lung,2006,1.0
central,black_lung,2007,1.0
central,black_lung,2008,1.0
central,black_lung,2009,1.0
central,black_lung,2010,1.0
central,black_lung,2011,1.0
central,black_lung,2012,1.0
central,black_lung,2013,1.0
central,black_lung,2014,1.0
central,black_lung,2015,1.0
central,black_lung,2016,1.0
central,black_lung,2017,1.0
central,black_lung,2018,1.0
central,black_lung,2019,1.0
central,black_lung,2020,1.0
central,black_lung,2021,1.0
central,black_lung,2022,1.0
central,black_lung,2023,1.0
central,black_lung,2024,1.0
central,refundable_tax_credits,2005,1.0
central,refundable_tax_credits,2006,1.0
central,refundable_tax_credits,2007,1.0
central,refundable_tax_credits,2008,1.0
central,refundable_tax_credits,2009,1.0
central,refundable_tax_credits,2010,1.0
central,refundable_tax_credits,2011,1.0
central,refundable_tax_credits,2012,1.0
central,refundable_tax_credits,2013,1.0
central,refundable_tax_credits,2014,1.0
central,refundable_tax_credits,2015,1.0
central,refundable_tax_credits,2016,1.0
central,refundable_tax_credits,2017,1.0
central,refundable_tax_credits,2018,1.0
central,refundable_tax_credits,2019,1.0
central,refundable_tax_credits,2020,1.0
central,refundable_tax_credits,2021,1.0
central,refundable_tax_credits,2022,1.0
central,refundable_tax_credits,2023,1.0
central,refundable_tax_credits,2024,1.0
central,other_federal_benefits,2005,1.0
central,other_federal_benefits,2006,1.0
central,other_federal_benefits,2007,1.0
central,other_federal_benefits,2008,1.0
central,other_federal_benefits,2009,1.0
central,other_federal_benefits,2010,1.0
central,other_federal_benefits,2011,1.0
central,other_federal_benefits,2012,1.0
central,other_federal_benefits,2013,1.0
central,other_federal_benefits,2014,1.0
central,other_federal_benefits,2015,1.0
