year,category,taf_total_bn,hispanic_share,union_share_taf_only,states
2019,NF,59.336750577,0.09296742899396737,0.046026416930115395,51
2019,ICF,9.676407788,0.06422914201391447,0.036871207914241616,51
2019,MHF,2.986081915,0.14261499052011103,0.07528917969634352,51
2019,HCBS,97.096282821,0.15079969109624047,0.061821599911105744,51
2020,NF,56.615114211,0.09199681785660048,0.04706906153622493,51
2020,ICF,9.591618702,0.06077966035893823,0.03364732161543426,51
2020,MHF,2.776839641,0.13980143083098545,0.0711786539330382,51
2020,HCBS,107.408929164,0.144965212410094,0.05837270937963001,51
2021,NF,55.097247247,0.09383825518218634,0.04645001326164544,50
2021,ICF,9.312376787,0.06263848524839548,0.03522318541743528,50
2021,MHF,2.445588683,0.16327294151123614,0.08534493677125919,50
2021,HCBS,114.954761817,0.1499315340449965,0.06288680998771906,50
2022,NF,59.088758142,0.09136379637606093,0.04559857472108375,51
2022,ICF,9.185841941,0.06389442739922711,0.03568142196142815,51
2022,MHF,2.636428657,0.13201472608632778,0.05679053161749564,51
2022,HCBS,129.375269423,0.14936106680342645,0.06209648100784686,51
2023,NF,68.82610371,0.09709322865575881,0.050226977714139594,51
2023,ICF,10.642068105,0.06078364530443869,0.0344606492813485,51
2023,MHF,3.210643513,0.11808729541752772,0.05060705135442345,51
2023,HCBS,145.910064684,0.15434257795562117,0.06299267154889548,51
