fiscal_year,state,line,group,total_computable
2023,Alabama,Mental Health Facility Services - Reg. Payments,mhf,80439356.0
2023,Alabama,Mental Health Facility - DSH,mhf_dsh,3215000.0
2023,Alabama,Nursing Facility Services - Reg. Payments,nf,1217223305.0
2023,Alabama,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Alabama,Intermediate Care Facility - Public,icf,0.0
2023,Alabama,Intermediate Care - Private,icf,2632487.0
2023,Alabama,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Alabama,Home Health Services,hcbs_other,105811415.0
2023,Alabama,Medicaid - MCO,mco_capitation,0.0
2023,Alabama,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Alabama,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,519245534.0
2023,Alabama,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Alabama,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,103829294.0
2023,Alabama,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Alabama,All-Inclusive Care Elderly,hcbs_other,7789764.0
2023,Alabama,Personal Care Services - Reg. Payments,hcbs_pc_cfc,0.0
2023,Alabama,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Alabama,Targeted Case Management Services - Com. Case-Man.,hcbs_other,49419510.0
2023,Alabama,Case Management - State Wide,hcbs_other,0.0
2023,Alabama,Rehabilitative Services (non-school-based),hcbs_other,149922944.0
2023,Alabama,Private Duty Nursing,hcbs_other,9525415.0
2023,Alabama,Balance,map_total,7877361436.0
2023,Alabama,Collections,collections,-47705358.0
2023,Alaska,Mental Health Facility Services - Reg. Payments,mhf,12094608.0
2023,Alaska,Mental Health Facility - DSH,mhf_dsh,17611765.0
2023,Alaska,Nursing Facility Services - Reg. Payments,nf,202073562.0
2023,Alaska,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Alaska,Intermediate Care Facility - Public,icf,0.0
2023,Alaska,Intermediate Care - Private,icf,1519025.0
2023,Alaska,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Alaska,Home Health Services,hcbs_other,1950499.0
2023,Alaska,Medicaid - MCO,mco_capitation,0.0
2023,Alaska,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Alaska,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,349540074.0
2023,Alaska,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Alaska,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Alaska,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,19588861.0
2023,Alaska,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Alaska,Personal Care Services - Reg. Payments,hcbs_pc_cfc,20336928.0
2023,Alaska,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Alaska,Targeted Case Management Services - Com. Case-Man.,hcbs_other,2723573.0
2023,Alaska,Case Management - State Wide,hcbs_other,0.0
2023,Alaska,Rehabilitative Services (non-school-based),hcbs_other,0.0
2023,Alaska,Private Duty Nursing,hcbs_other,0.0
2023,Alaska,Balance,map_total,2560061626.0
2023,Alaska,Collections,collections,-29801347.0
2023,Amer. Samoa,Mental Health Facility Services - Reg. Payments,mhf,0.0
2023,Amer. Samoa,Mental Health Facility - DSH,mhf_dsh,0.0
2023,Amer. Samoa,Nursing Facility Services - Reg. Payments,nf,0.0
2023,Amer. Samoa,Nursing Facility Services - Sup. Payments,nf,0.0
2023,Amer. Samoa,Intermediate Care Facility - Public,icf,0.0
2023,Amer. Samoa,Intermediate Care - Private,icf,0.0
2023,Amer. Samoa,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,icf,0.0
2023,Amer. Samoa,Home Health Services,hcbs_other,0.0
2023,Amer. Samoa,Medicaid - MCO,mco_capitation,0.0
2023,Amer. Samoa,Medicaid MCO - Community First Choice,hcbs_pc_cfc,0.0
2023,Amer. Samoa,Home & Community-Based Services - Regular Payment (1915(c) Waiver),hcbs_1915c,0.0
2023,Amer. Samoa,Home & Community-Based Services - St. Plan 1915(i) Only Pay.,hcbs_other,0.0
2023,Amer. Samoa,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,hcbs_pc_cfc,0.0
2023,Amer. Samoa,Home & Community Based Services State Plan 1915(k) Community First Choice,hcbs_pc_cfc,0.0
2023,Amer. Samoa,All-Inclusive Care Elderly,hcbs_other,0.0
2023,Amer. Samoa,Personal Care Services - Reg. Payments,hcbs_pc_cfc,57969.0
2023,Amer. Samoa,Personal Care Services - SDS 1915(j),hcbs_pc_cfc,0.0
2023,Amer. Samoa,Targeted Case Management Services - Com. Case-Man.,hcbs_other,0.0
2023,Amer. Samoa,Case Management - State Wide,hcbs_other,0.0
