year,sheet,category,measure,state,total,group,value,pct,suppressed,not_calculated
2023,C.1.8 INSTByAge,INST,users,Rhode Island,7878.0,age_45_64,1503.0,19.1,False,False
2023,C.1.8 INSTByAge,INST,users,Rhode Island,7878.0,age_65plus,5988.0,76.0,False,False
2023,C.1.8 INSTByAge,INST,users,Rhode Island,7878.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,South Carolina,15595.0,age_0_20,239.0,1.5,False,False
2023,C.1.8 INSTByAge,INST,users,South Carolina,15595.0,age_21_44,726.0,4.7,False,False
2023,C.1.8 INSTByAge,INST,users,South Carolina,15595.0,age_45_64,3369.0,21.6,False,False
2023,C.1.8 INSTByAge,INST,users,South Carolina,15595.0,age_65plus,11261.0,72.2,False,False
2023,C.1.8 INSTByAge,INST,users,South Carolina,15595.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,South Dakota,3959.0,age_0_20,178.0,4.5,False,False
2023,C.1.8 INSTByAge,INST,users,South Dakota,3959.0,age_21_44,165.0,4.2,False,False
2023,C.1.8 INSTByAge,INST,users,South Dakota,3959.0,age_45_64,541.0,13.7,False,False
2023,C.1.8 INSTByAge,INST,users,South Dakota,3959.0,age_65plus,3075.0,77.7,False,False
2023,C.1.8 INSTByAge,INST,users,South Dakota,3959.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Tennessee,36841.0,age_0_20,5220.0,14.2,False,False
2023,C.1.8 INSTByAge,INST,users,Tennessee,36841.0,age_21_44,6557.0,17.8,False,False
2023,C.1.8 INSTByAge,INST,users,Tennessee,36841.0,age_45_64,7930.0,21.5,False,False
2023,C.1.8 INSTByAge,INST,users,Tennessee,36841.0,age_65plus,17134.0,46.5,False,False
2023,C.1.8 INSTByAge,INST,users,Tennessee,36841.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Texas,109259.0,age_0_20,21585.0,19.8,False,False
2023,C.1.8 INSTByAge,INST,users,Texas,109259.0,age_21_44,,,True,False
2023,C.1.8 INSTByAge,INST,users,Texas,109259.0,age_45_64,19420.0,17.8,False,False
2023,C.1.8 INSTByAge,INST,users,Texas,109259.0,age_65plus,62867.0,57.5,False,False
2023,C.1.8 INSTByAge,INST,users,Texas,109259.0,age_unknown,,,True,False
2023,C.1.8 INSTByAge,INST,users,Utah,6471.0,age_0_20,147.0,2.3,False,False
2023,C.1.8 INSTByAge,INST,users,Utah,6471.0,age_21_44,757.0,11.7,False,False
2023,C.1.8 INSTByAge,INST,users,Utah,6471.0,age_45_64,2178.0,33.7,False,False
2023,C.1.8 INSTByAge,INST,users,Utah,6471.0,age_65plus,3389.0,52.4,False,False
2023,C.1.8 INSTByAge,INST,users,Utah,6471.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Vermont,2673.0,age_0_20,,,True,False
2023,C.1.8 INSTByAge,INST,users,Vermont,2673.0,age_21_44,,,True,False
2023,C.1.8 INSTByAge,INST,users,Vermont,2673.0,age_45_64,313.0,11.7,False,False
2023,C.1.8 INSTByAge,INST,users,Vermont,2673.0,age_65plus,2312.0,86.5,False,False
2023,C.1.8 INSTByAge,INST,users,Vermont,2673.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Virginia,31400.0,age_0_20,1352.0,4.3,False,False
2023,C.1.8 INSTByAge,INST,users,Virginia,31400.0,age_21_44,1041.0,3.3,False,False
2023,C.1.8 INSTByAge,INST,users,Virginia,31400.0,age_45_64,7203.0,22.9,False,False
2023,C.1.8 INSTByAge,INST,users,Virginia,31400.0,age_65plus,21804.0,69.4,False,False
2023,C.1.8 INSTByAge,INST,users,Virginia,31400.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Washington,27879.0,age_0_20,1674.0,6.0,False,False
2023,C.1.8 INSTByAge,INST,users,Washington,27879.0,age_21_44,7432.0,26.7,False,False
2023,C.1.8 INSTByAge,INST,users,Washington,27879.0,age_45_64,6226.0,22.3,False,False
2023,C.1.8 INSTByAge,INST,users,Washington,27879.0,age_65plus,12547.0,45.0,False,False
2023,C.1.8 INSTByAge,INST,users,Washington,27879.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,West Virginia,13387.0,age_0_20,1162.0,8.7,False,False
2023,C.1.8 INSTByAge,INST,users,West Virginia,13387.0,age_21_44,463.0,3.5,False,False
2023,C.1.8 INSTByAge,INST,users,West Virginia,13387.0,age_45_64,2707.0,20.2,False,False
2023,C.1.8 INSTByAge,INST,users,West Virginia,13387.0,age_65plus,9055.0,67.6,False,False
2023,C.1.8 INSTByAge,INST,users,West Virginia,13387.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Wisconsin,2302.0,age_0_20,20.0,0.9,False,False
2023,C.1.8 INSTByAge,INST,users,Wisconsin,2302.0,age_21_44,155.0,6.7,False,False
2023,C.1.8 INSTByAge,INST,users,Wisconsin,2302.0,age_45_64,886.0,38.5,False,False
2023,C.1.8 INSTByAge,INST,users,Wisconsin,2302.0,age_65plus,1241.0,53.9,False,False
2023,C.1.8 INSTByAge,INST,users,Wisconsin,2302.0,age_unknown,0.0,0.0,False,False
2023,C.1.8 INSTByAge,INST,users,Wyoming,2007.0,age_0_20,173.0,8.6,False,False
2023,C.1.8 INSTByAge,INST,users,Wyoming,2007.0,age_21_44,35.0,1.7,False,False
2023,C.1.8 INSTByAge,INST,users,Wyoming,2007.0,age_45_64,280.0,14.0,False,False
2023,C.1.8 INSTByAge,INST,users,Wyoming,2007.0,age_65plus,1519.0,75.7,False,False
2023,C.1.8 INSTByAge,INST,users,Wyoming,2007.0,age_unknown,0.0,0.0,False,False
2023,C.1.15 HCBSByAge,HCBS,users,National,8435224.0,age_0_20,2766271.0,32.8,False,False
