spec,med_ratio,med_five_line_bn,med_five_line_se,ltss_change_bn,remainder_ratio_adjustment_bn,combined_bn
plain,1.1718433775749986,3.184111801457354,17.650156795308238,-11.092192365981312,-5.268258954294014,-13.176339518817972
winsor_p995,1.1166565958117105,-3.002576620499528,8.03914408930503,-11.092192365981312,-3.576379632053485,-17.671148618534325
winsor_p999,1.1039908887575218,-3.1100299737881993,8.664013908332596,-11.092192365981312,-3.1880828845016467,-17.39030522427116
two_part_lognormal,1.150219545265455,-5.3900217874408085,8.782810587581896,-11.092192365981312,-4.605330014008334,-21.087544167430455
pooled_excl_2020_2021,1.1818941900305249,8.020798046661863,20.369897607839775,-11.092192365981312,-5.576390017963586,-8.647784337283035
pooled_cpi_all_items,1.1641420088246912,2.1893653259917025,16.972939484784263,-11.092192365981312,-5.032155559146189,-13.9349825991358
pooled_year_normalized,1.1547276450730446,0.9840753297057084,15.728052024632072,-11.092192365981312,-4.743536312751621,-14.851653349027224
