variant,total,R,kr,L,NF,ICF,MHF,HCBS,remainder_key
central,-11.092192365981312,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-6.296464849008547,1.7798542609908639
nf=inst65_only,-11.219729555034071,689.4612778764656,0.12636376158562482,264.7387221235344,-5.452994454736718,-1.0030051985336008,-0.2471193137460672,-6.296464849008547,1.7798542609908639
nf=generic_spread,-10.632664995949341,689.4612778764656,0.12636376158562482,264.7387221235344,-4.865929895651989,-1.0030051985336008,-0.2471193137460672,-6.296464849008547,1.7798542609908639
nf=all65,-11.008389540963886,689.4612778764656,0.12636376158562482,264.7387221235344,-5.241654440666535,-1.0030051985336008,-0.2471193137460672,-6.296464849008547,1.7798542609908639
nf=acs_medicaid_users,-12.146998204216867,689.4612778764656,0.12636376158562482,264.7387221235344,-6.380263103919516,-1.0030051985336008,-0.2471193137460672,-6.296464849008547,1.7798542609908639
hcbs=age_weighted,-11.085654837376616,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-6.289927320403851,1.7798542609908639
hcbs=all_ages,-10.327431012821751,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-5.531703495848986,1.7798542609908639
icf=all_ages,-11.095359497985783,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0061723305380736,-0.2471193137460672,-6.296464849008547,1.7798542609908639
mhf=cog_u65,-11.099394575310015,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.25432152307477085,-6.296464849008547,1.7798542609908639
ihss_latino=31%,-11.474555345211588,689.4612778764656,0.12636376158562482,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-6.6788278282388225,1.7798542609908639
union=cps_scaled,-10.160342078850842,689.4612778764656,0.12636376158562482,264.7387221235344,-5.1492478240970385,-0.9843117927367391,-0.2388371833295826,-5.567799539678346,1.7798542609908639
diagnostic: national factors,-10.388470065039208,689.4612778764656,0.12636376158562482,264.7387221235344,-5.497043406924281,-1.011275398525039,-0.1857219858856952,-5.474283534695055,1.7798542609908639
diagnostic: no IHSS,-14.04026787840948,709.5581318396854,0.12636376158562482,244.6418681603146,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-9.296420680617393,1.8317345801715401
no growth (2023 dollars),-10.20270498366752,706.8329877992501,0.12636376158562482,247.36701220074997,-4.9760097119465145,-0.937189683446843,-0.23090375978297503,-5.883301409906711,1.824699581415523
"brief: carve out only HCBS MEPS misses, key unchanged",-10.949972165239572,743.2649087468621,0.123756310026951,264.7387221235344,-5.325457265683959,-1.0030051985336008,-0.2471193137460672,-4.374390387275944,0.0
