STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
25,1919,50762,456,204760,comm_adl,0.037803869035892994,0.2479097479976558,0.009371947646024614
26,8542,14376,139,268315,comm_adl,0.5941847523650529,0.05357881594394648,0.031835715483666586
27,2501,4836,42,117670,comm_adl,0.5171629445822994,0.04109798589275091,0.021254355400696864
28,728,1754,18,86064,comm_adl,0.4150513112884835,0.020380182189998142,0.008458821342256924
29,3039,5306,43,136480,comm_adl,0.5727478326422918,0.03887749120750293,0.022266998827667056
30,223,1247,13,25210,comm_adl,0.17882919005613473,0.04946449821499405,0.008845696152320507
31,1817,4140,32,37907,comm_adl,0.4388888888888889,0.10921465692352336,0.047933099427546366
32,10331,16741,138,67734,comm_adl,0.6171076996595185,0.24715800041338176,0.15252310508754835
33,483,542,4,24210,comm_adl,0.8911439114391144,0.022387443205287072,0.019950433705080546
34,1804,46465,358,169012,comm_adl,0.03882492198428925,0.2749213073627908,0.010673798310179158
35,23750,36115,303,71497,comm_adl,0.6576214869167936,0.5051260892065401,0.33218176986446984
36,8284,187823,1349,701388,comm_adl,0.04410535450929865,0.26778758689912,0.011810866453375308
37,6406,17227,129,229037,comm_adl,0.37185812968015325,0.07521492160655266,0.027969280072652015
38,498,947,8,16033,comm_adl,0.5258711721224921,0.05906567704110272,0.03106093681781326
39,4748,14174,108,290528,comm_adl,0.3349795400028221,0.04878703601718251,0.01634265888313691
40,5863,8814,61,86160,comm_adl,0.6651917404129793,0.10229805013927577,0.06804781801299907
41,10242,14789,126,134816,comm_adl,0.6925417540063561,0.10969766199857583,0.0759702112508901
42,2990,39482,235,361807,comm_adl,0.07573071272985157,0.10912447796753517,0.008264074492754424
44,453,7754,42,32073,comm_adl,0.05842145989166882,0.2417609827580831,0.014124029557571789
45,802,4569,39,107915,comm_adl,0.17553075071131538,0.04233887782050688,0.0074317750081082335
46,53,798,7,14888,comm_adl,0.06641604010025062,0.053600214938205264,0.0035599140247178935
47,2648,4793,41,156059,comm_adl,0.5524723555184644,0.030712743257357795,0.016967941611826295
48,199528,228009,2181,522560,comm_adl,0.875088264059752,0.4363307562767912,0.38182792406613597
49,3398,6271,75,45016,comm_adl,0.5418593525753468,0.13930602452461346,0.07548427225875244
50,13,155,2,17259,comm_adl,0.08387096774193549,0.008980821600324469,0.0007532301987368909
51,2870,8983,77,156874,comm_adl,0.3194923744851386,0.05726251641444726,0.01829493733824598
53,15050,22430,210,195219,comm_adl,0.6709763709317877,0.1148966033019327,0.07709290591592007
54,246,560,11,68812,comm_adl,0.4392857142857143,0.008138115444980526,0.003574957856187874
55,4732,10226,59,134070,comm_adl,0.46274203011930376,0.07627358842395764,0.03529499515178638
56,903,1347,16,10267,comm_adl,0.6703786191536748,0.13119703905717348,0.08795168988019869
1,2658,4375,21,81680,comm_adl_u65,0.6075428571428572,0.05356268364348678,0.03254162585700294
2,429,1330,7,12731,comm_adl_u65,0.3225563909774436,0.10446940538842196,0.03369727436964889
4,30308,35740,358,109873,comm_adl_u65,0.8480134303301623,0.3252846468195098,0.2758457491831478
5,2650,4217,35,76214,comm_adl_u65,0.6284088214370406,0.05533104154092424,0.03477051460361613
6,226771,273112,2580,653215,comm_adl_u65,0.8303223585928118,0.41810429950322636,0.34716134810131427
8,11656,17326,167,76060,comm_adl_u65,0.6727461618377005,0.227793846962924,0.15324743623455167
9,675,11366,90,51084,comm_adl_u65,0.05938764736934717,0.22249628063581553,0.013213530655391121
10,858,2033,17,17091,comm_adl_u65,0.4220363994097393,0.1189514949388567,0.050201860628400916
11,0,471,4,11388,comm_adl_u65,0.0,0.04135932560590095,0.0
12,6996,63743,524,267602,comm_adl_u65,0.10975322780540608,0.23820076083138392,0.02614330236694793
13,4846,9100,76,123997,comm_adl_u65,0.5325274725274726,0.07338887231142689,0.03908159068364557
15,15,1153,14,18044,comm_adl_u65,0.013009540329575022,0.06389935712702283,0.0008313012635779207
16,4645,5730,48,34818,comm_adl_u65,0.8106457242582897,0.1645700499741513,0.13340800735251881
17,17764,24943,181,162196,comm_adl_u65,0.7121837790161568,0.15378307726454413,0.10952181311499667
18,5198,9210,74,133892,comm_adl_u65,0.5643865363735071,0.06878678337764765,0.03882233441878529
19,2075,2732,27,48622,comm_adl_u65,0.7595168374816984,0.05618855662045987,0.04267615482703303
20,1465,2331,22,37548,comm_adl_u65,0.6284856284856285,0.06208053691275168,0.039016725258335994
21,2797,4036,31,119766,comm_adl_u65,0.6930128840436075,0.03369904647395755,0.023353873386436887
22,936,3311,45,105193,comm_adl_u65,0.2826940501359106,0.03147547840635784,0.008897930470658694
23,287,972,21,31643,comm_adl_u65,0.2952674897119342,0.030717694276775273,0.009069936478842081
24,1135,4618,47,78765,comm_adl_u65,0.24577739281074057,0.05863010220275503,0.01440995365962039
25,1495,35300,306,138028,comm_adl_u65,0.04235127478753541,0.25574521111658505,0.010831135711594749
26,7834,12755,120,203702,comm_adl_u65,0.6141905135241081,0.06261597824272712,0.038458139831714956
27,2403,4637,34,95962,comm_adl_u65,0.5182229890015096,0.048321210479147995,0.02504116212667514
28,486,1143,13,59047,comm_adl_u65,0.4251968503937008,0.019357461005639575,0.008230731451216828
29,2294,4035,34,107400,comm_adl_u65,0.5685254027261463,0.03756983240223464,0.021359404096834265
30,127,1041,9,19248,comm_adl_u65,0.12199807877041306,0.054083541147132166,0.006598088113050706
31,1398,3218,22,28454,comm_adl_u65,0.4344313238036047,0.11309481970900401,0.04913193224151262
32,8405,12824,111,45800,comm_adl_u65,0.6554117280099813,0.28,0.18351528384279475
33,483,542,4,20510,comm_adl_u65,0.8911439114391144,0.026426133593369087,0.02354948805460751
34,1686,29195,227,106170,comm_adl_u65,0.05774961466004453,0.27498351700103607,0.015880192144673635
35,16398,25273,187,48328,comm_adl_u65,0.648834724805128,0.5229473597086575,0.3393064062241351
