variant,category,L2023,union2023,share,hisp_share
central,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
central,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
central,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
central,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
nf=inst65_only,NF,68.82610371,3.337758764097463,0.04849553562062976,0.09709322865575881
nf=inst65_only,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
nf=inst65_only,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
nf=inst65_only,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
nf=generic_spread,NF,68.82610371,3.886301133664299,0.056465511254847396,0.09709322865575881
nf=generic_spread,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
nf=generic_spread,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
nf=generic_spread,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
nf=all65,NF,68.82610371,3.535231001704665,0.05136468303654705,0.09709322865575881
nf=all65,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
nf=all65,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
nf=all65,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
nf=acs_medicaid_users,NF,68.82610371,2.471335924945354,0.0359069566883863,0.09709322865575881
nf=acs_medicaid_users,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
nf=acs_medicaid_users,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
nf=acs_medicaid_users,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
hcbs=age_weighted,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
hcbs=age_weighted,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
hcbs=age_weighted,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
hcbs=age_weighted,HCBS,164.68819687274998,14.30127280273111,0.0868384806822635,0.1543425779556212
hcbs=all_ages,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
hcbs=all_ages,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
hcbs=all_ages,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
hcbs=all_ages,HCBS,164.68819687274998,15.009743254484828,0.0911403703453165,0.1543425779556212
icf=all_ages,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
icf=all_ages,ICF,10.642068105,0.36377326646837566,0.03418257268034799,0.060783645304438694
icf=all_ages,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
icf=all_ages,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
mhf=cog_u65,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
mhf=cog_u65,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
mhf=cog_u65,MHF,3.210643513,0.15575158868374653,0.04851101906926237,0.11808729541752772
mhf=cog_u65,HCBS,164.68819687274998,14.295164255763936,0.0868013890929258,0.1543425779556212
ihss_latino=31%,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
ihss_latino=31%,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
ihss_latino=31%,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
ihss_latino=31%,HCBS,164.68819687274998,13.937891292482671,0.0846319988751355,0.1543425779556212
union=cps_scaled,NF,68.82610371,3.621574051429406,0.05261919324518168,0.09709322865575881
union=cps_scaled,ICF,10.642068105,0.384199352526517,0.03610194454083669,0.060783645304438694
union=cps_scaled,MHF,3.210643513,0.17021987208386516,0.05301736907091658,0.11808729541752772
union=cps_scaled,HCBS,164.68819687274998,14.976015772374485,0.09093557435658876,0.1543425779556212
diagnostic: national factors,NF,68.82610371,3.29660023010663,0.047897528007642465,0.09709322865575881
diagnostic: national factors,ICF,10.642068105,0.35900505322451237,0.033734519426335915,0.060783645304438694
diagnostic: national factors,MHF,3.210643513,0.21984973955756376,0.0684752881057598,0.11808729541752772
diagnostic: national factors,HCBS,164.68819687274998,15.063395414310177,0.09146615058241998,0.1543425779556212
diagnostic: no IHSS,NF,68.82610371,3.4569271771932306,0.0502269777141396,0.09709322865575881
diagnostic: no IHSS,ICF,10.642068105,0.36673257659463004,0.0344606492813485,0.060783645304438694
diagnostic: no IHSS,MHF,3.210643513,0.16248120114313752,0.050607051354423456,0.11808729541752772
diagnostic: no IHSS,HCBS,145.910064684,9.191264780317306,0.06299267154889548,0.1543425779556212
