population,quantity,value,se,records
inst65,persons,1433206.0,2866.0005146545245,34620.0
inst65,union,0.03038711811142292,0.0009892860405045982,34620.0
inst65,hisp,0.06474365862269625,0.001344445997167873,34620.0
inst65,mex,0.02879139495648218,0.0009398035480572855,34620.0
inst65,mexborn,0.011845470923230855,0.0006078944196313315,34620.0
inst65,generic,0.013973566954087548,0.0005084196440462155,34620.0
inst65,f_union_per_hisp,0.46934508734683317,0.0110149631979092,34620.0
inst65_mcd,persons,834880.0,4426.226152152643,20026.0
inst65_mcd,union,0.03590695668838635,0.001214935252787633,20026.0
inst65_mcd,hisp,0.0797958988118053,0.0019477382678199267,20026.0
inst65_mcd,mex,0.03440973553085473,0.0011594923553335842,20026.0
inst65_mcd,mexborn,0.015565111153698736,0.000920444726547741,20026.0
inst65_mcd,generic,0.017448016481410502,0.000853356254963729,20026.0
inst65_mcd,f_union_per_hisp,0.44998498949264476,0.012328689102263642,20026.0
comm_adl,persons,7917803.0,44597.0848582057,88165.0
comm_adl,union,0.10039363192036983,0.0016553245378964595,88165.0
comm_adl,hisp,0.19180800532673015,0.0020114040808295055,88165.0
comm_adl,mex,0.09926554121136887,0.001623696861099665,88165.0
comm_adl,mexborn,0.03322361013528627,0.0008548398472943684,88165.0
comm_adl,generic,0.009469419736762836,0.00041775260108264765,88165.0
comm_adl,f_union_per_hisp,0.5234068919561361,0.005801095062047429,88165.0
comm_adl_u65,persons,5383498.0,37195.82807654644,57281.0
comm_adl_u65,union,0.10204016050530715,0.0021061118317911346,57281.0
comm_adl_u65,hisp,0.18362020381543748,0.002546581234275181,57281.0
comm_adl_u65,mex,0.10112532780731041,0.002074043711147219,57281.0
comm_adl_u65,mexborn,0.019401883310813897,0.0007770053694536614,57281.0
comm_adl_u65,generic,0.009914928917963748,0.0005615322660880717,57281.0
comm_adl_u65,f_union_per_hisp,0.5557131425900766,0.0074602567281264985,57281.0
comm_adl_65,persons,2534305.0,20930.79998590594,30884.0
comm_adl_65,union,0.0968959931815626,0.0022303504660753297,30884.0
comm_adl_65,hisp,0.20920094463768174,0.003244233169561161,30884.0
comm_adl_65,mex,0.09531488909188121,0.002129505810482639,30884.0
comm_adl_65,mexborn,0.06258441663493541,0.0018153524321411066,30884.0
comm_adl_65,generic,0.008523046752462706,0.0006180085403885592,30884.0
comm_adl_65,f_union_per_hisp,0.4631718721412957,0.008388446702253246,30884.0
comm_cog_u65,persons,6862556.0,,69263.0
comm_cog_u65,union,0.10964646408714188,,69263.0
comm_cog_u65,hisp,0.19756356086565996,,69263.0
comm_cog_u65,mex,0.10892836430041518,,69263.0
comm_cog_u65,mexborn,0.01273563377843474,,69263.0
comm_cog_u65,generic,0.011026503827436892,,69263.0
comm_cog_u65,f_union_per_hisp,0.5549933581208313,,69263.0
all65,persons,61245637.0,23602.451584528248,813169.0
all65,union,0.04988059802529281,0.0002081205795359808,813169.0
all65,hisp,0.09749185888947486,0.00015109698376331097,813169.0
all65,mex,0.048816799799143246,0.00021593228075227958,813169.0
all65,mexborn,0.025858919550465286,0.00021296482877633413,813169.0
all65,generic,0.006573480491353204,0.0001263846978971641,813169.0
all65,f_union_per_hisp,0.5116385982735414,0.002124216712449408,813169.0
all,persons,340110990.0,,3422888.0
all,union,0.11593132877005827,,3422888.0
all,hisp,0.1999263887356301,,3422888.0
all,mex,0.11446861214334768,,3422888.0
all,mexborn,0.034083056239964486,,3422888.0
all,generic,0.009463081448794113,,3422888.0
all,f_union_per_hisp,0.5798700686949259,,3422888.0
inst65,med_lane_union_persons,42734.0,,
inst65,med_lane_denominator_persons,1355492.0,,
inst65,med_lane_share_ceiling,0.03152656009773573,,
inst65,med_lane_union_over_full_denominator,0.029817067469714752,,
inst65,generic_hisp_excess_persons,13430.590557719263,,
inst65,union_share_generic_spread,0.0357977806734402,,
inst65,f_union_per_hisp_generic_spread,0.5529156281089603,,
