country,origin,offence,unit,numerator,denominator,rate,ratio_to_native,standardized,period,source_table,chart_value
Finland,TOTAL,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",3703,5610606,6.6,1.18,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Finland,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2911,5198214,5.6,1.0,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",8.12
Finland,"FOREIGN COUNTRIES, TOTAL","Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",792,373585,21.2,3.79,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,EUROPE,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",233,199145,11.7,2.09,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Netherlands,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,1887,5.3,0.95,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Albania,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",1,1724,5.8,1.04,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Bulgaria,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",41,3046,134.6,24.04,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Former Serbia and Montenegro,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",11,7914,13.9,2.48,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Spain,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2,3571,5.6,1.0,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Italy,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",2,3636,5.5,0.98,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
Finland,Austria,"Sexual offences (Criminal Code ch.20, code 231T241)","suspects (by number of events) per 10,000 resident citizens of that nationality",4,634,63.1,11.27,no,2023,"StatFin rpk 13jg, contentscode ep_lkm / ep_lkm_vaesto",
