KOEN,ALDER,HERKOMST,TID,INDHOLD
Men,"Age, total",Immigrants from western countries,2021,6833
Men,"Age, total",Immigrants from western countries,2022,7030
Men,"Age, total",Immigrants from western countries,2023,7483
Men,"Age, total",Immigrants from western countries,2024,7257
Men,"Age, total",Immigrants from non-western countries,2008,9972
Men,"Age, total",Immigrants from non-western countries,2009,10912
Men,"Age, total",Immigrants from non-western countries,2010,11277
Men,"Age, total",Immigrants from non-western countries,2011,11615
Men,"Age, total",Immigrants from non-western countries,2012,12528
Men,"Age, total",Immigrants from non-western countries,2013,12043
Men,"Age, total",Immigrants from non-western countries,2014,12297
Men,"Age, total",Immigrants from non-western countries,2015,12164
Men,"Age, total",Immigrants from non-western countries,2016,11718
Men,"Age, total",Immigrants from non-western countries,2017,12021
Men,"Age, total",Immigrants from non-western countries,2018,12900
Men,"Age, total",Immigrants from non-western countries,2019,13956
Men,"Age, total",Immigrants from non-western countries,2020,15714
Men,"Age, total",Immigrants from non-western countries,2021,15272
Men,"Age, total",Immigrants from non-western countries,2022,14048
Men,"Age, total",Immigrants from non-western countries,2023,14565
Men,"Age, total",Immigrants from non-western countries,2024,14534
Men,"Age, total","Descendants, total",2008,3072
Men,"Age, total","Descendants, total",2009,3573
Men,"Age, total","Descendants, total",2010,4243
Men,"Age, total","Descendants, total",2011,4547
Men,"Age, total","Descendants, total",2012,5522
Men,"Age, total","Descendants, total",2013,5700
Men,"Age, total","Descendants, total",2014,6244
Men,"Age, total","Descendants, total",2015,6233
Men,"Age, total","Descendants, total",2016,6573
Men,"Age, total","Descendants, total",2017,6898
Men,"Age, total","Descendants, total",2018,7564
Men,"Age, total","Descendants, total",2019,8591
Men,"Age, total","Descendants, total",2020,9814
Men,"Age, total","Descendants, total",2021,9816
Men,"Age, total","Descendants, total",2022,9357
Men,"Age, total","Descendants, total",2023,9635
Men,"Age, total","Descendants, total",2024,9524
Men,"Age, total",Descendants from western countries,2008,290
Men,"Age, total",Descendants from western countries,2009,287
Men,"Age, total",Descendants from western countries,2010,299
Men,"Age, total",Descendants from western countries,2011,340
Men,"Age, total",Descendants from western countries,2012,358
Men,"Age, total",Descendants from western countries,2013,391
Men,"Age, total",Descendants from western countries,2014,367
Men,"Age, total",Descendants from western countries,2015,369
Men,"Age, total",Descendants from western countries,2016,366
Men,"Age, total",Descendants from western countries,2017,356
Men,"Age, total",Descendants from western countries,2018,378
Men,"Age, total",Descendants from western countries,2019,409
Men,"Age, total",Descendants from western countries,2020,489
Men,"Age, total",Descendants from western countries,2021,462
Men,"Age, total",Descendants from western countries,2022,452
Men,"Age, total",Descendants from western countries,2023,486
Men,"Age, total",Descendants from western countries,2024,496
Men,"Age, total",Descendants from non-western countries,2008,2782
Men,"Age, total",Descendants from non-western countries,2009,3286
Men,"Age, total",Descendants from non-western countries,2010,3944
Men,"Age, total",Descendants from non-western countries,2011,4207
Men,"Age, total",Descendants from non-western countries,2012,5164
Men,"Age, total",Descendants from non-western countries,2013,5309
Men,"Age, total",Descendants from non-western countries,2014,5877
Men,"Age, total",Descendants from non-western countries,2015,5864
Men,"Age, total",Descendants from non-western countries,2016,6207
Men,"Age, total",Descendants from non-western countries,2017,6542
Men,"Age, total",Descendants from non-western countries,2018,7186
Men,"Age, total",Descendants from non-western countries,2019,8182
Men,"Age, total",Descendants from non-western countries,2020,9325
Men,"Age, total",Descendants from non-western countries,2021,9354
Men,"Age, total",Descendants from non-western countries,2022,8905
Men,"Age, total",Descendants from non-western countries,2023,9149
Men,"Age, total",Descendants from non-western countries,2024,9028
Men,15-29 years,Total,2008,37989
