KOEN,ALDER,IELAND,TID,INDHOLD
Men,15-29 years,"Yugoslavia, Federal Republic",2011,43
Men,15-29 years,"Yugoslavia, Federal Republic",2012,48
Men,15-29 years,"Yugoslavia, Federal Republic",2013,36
Men,15-29 years,"Yugoslavia, Federal Republic",2014,41
Men,15-29 years,"Yugoslavia, Federal Republic",2015,41
Men,15-29 years,"Yugoslavia, Federal Republic",2016,49
Men,15-29 years,"Yugoslavia, Federal Republic",2017,45
Men,15-29 years,"Yugoslavia, Federal Republic",2018,44
Men,15-29 years,"Yugoslavia, Federal Republic",2019,34
Men,15-29 years,"Yugoslavia, Federal Republic",2020,38
Men,15-29 years,"Yugoslavia, Federal Republic",2021,42
Men,15-29 years,"Yugoslavia, Federal Republic",2022,28
Men,15-29 years,"Yugoslavia, Federal Republic",2023,32
Men,15-29 years,"Yugoslavia, Federal Republic",2024,30
Men,15-29 years,Croatia,2008,8
Men,15-29 years,Croatia,2009,13
Men,15-29 years,Croatia,2010,8
Men,15-29 years,Croatia,2011,15
Men,15-29 years,Croatia,2012,8
Men,15-29 years,Croatia,2013,9
Men,15-29 years,Croatia,2014,9
Men,15-29 years,Croatia,2015,12
Men,15-29 years,Croatia,2016,14
Men,15-29 years,Croatia,2017,17
Men,15-29 years,Croatia,2018,19
Men,15-29 years,Croatia,2019,20
Men,15-29 years,Croatia,2020,23
Men,15-29 years,Croatia,2021,35
Men,15-29 years,Croatia,2022,49
Men,15-29 years,Croatia,2023,50
Men,15-29 years,Croatia,2024,39
Men,15-29 years,Latvia,2008,18
Men,15-29 years,Latvia,2009,26
Men,15-29 years,Latvia,2010,43
Men,15-29 years,Latvia,2011,52
Men,15-29 years,Latvia,2012,59
Men,15-29 years,Latvia,2013,59
Men,15-29 years,Latvia,2014,63
Men,15-29 years,Latvia,2015,43
Men,15-29 years,Latvia,2016,60
Men,15-29 years,Latvia,2017,37
Men,15-29 years,Latvia,2018,47
Men,15-29 years,Latvia,2019,61
Men,15-29 years,Latvia,2020,63
Men,15-29 years,Latvia,2021,66
Men,15-29 years,Latvia,2022,77
Men,15-29 years,Latvia,2023,82
Men,15-29 years,Latvia,2024,75
Men,15-29 years,Lithuania,2008,54
Men,15-29 years,Lithuania,2009,61
Men,15-29 years,Lithuania,2010,89
Men,15-29 years,Lithuania,2011,130
Men,15-29 years,Lithuania,2012,174
Men,15-29 years,Lithuania,2013,144
Men,15-29 years,Lithuania,2014,147
Men,15-29 years,Lithuania,2015,139
Men,15-29 years,Lithuania,2016,142
Men,15-29 years,Lithuania,2017,144
Men,15-29 years,Lithuania,2018,201
Men,15-29 years,Lithuania,2019,208
Men,15-29 years,Lithuania,2020,225
Men,15-29 years,Lithuania,2021,210
Men,15-29 years,Lithuania,2022,181
Men,15-29 years,Lithuania,2023,172
Men,15-29 years,Lithuania,2024,163
Men,15-29 years,Netherlands,2008,26
Men,15-29 years,Netherlands,2009,28
Men,15-29 years,Netherlands,2010,38
Men,15-29 years,Netherlands,2011,29
Men,15-29 years,Netherlands,2012,45
Men,15-29 years,Netherlands,2013,45
Men,15-29 years,Netherlands,2014,31
Men,15-29 years,Netherlands,2015,34
Men,15-29 years,Netherlands,2016,42
Men,15-29 years,Netherlands,2017,40
Men,15-29 years,Netherlands,2018,45
Men,15-29 years,Netherlands,2019,40
Men,15-29 years,Netherlands,2020,51
Men,15-29 years,Netherlands,2021,63
Men,15-29 years,Netherlands,2022,51
Men,15-29 years,Netherlands,2023,52
Men,15-29 years,Netherlands,2024,45
Men,15-29 years,Republic of North Macedonia,2008,57
Men,15-29 years,Republic of North Macedonia,2009,60
Men,15-29 years,Republic of North Macedonia,2010,55
Men,15-29 years,Republic of North Macedonia,2011,54
Men,15-29 years,Republic of North Macedonia,2012,60
Men,15-29 years,Republic of North Macedonia,2013,55
Men,15-29 years,Republic of North Macedonia,2014,68
Men,15-29 years,Republic of North Macedonia,2015,64
Men,15-29 years,Republic of North Macedonia,2016,68
Men,15-29 years,Republic of North Macedonia,2017,67
Men,15-29 years,Republic of North Macedonia,2018,82
Men,15-29 years,Republic of North Macedonia,2019,109
Men,15-29 years,Republic of North Macedonia,2020,122
Men,15-29 years,Republic of North Macedonia,2021,117
Men,15-29 years,Republic of North Macedonia,2022,112
Men,15-29 years,Republic of North Macedonia,2023,123
Men,15-29 years,Republic of North Macedonia,2024,107
Men,15-29 years,Norway,2008,52
Men,15-29 years,Norway,2009,47
Men,15-29 years,Norway,2010,39
Men,15-29 years,Norway,2011,46
Men,15-29 years,Norway,2012,51
Men,15-29 years,Norway,2013,52
Men,15-29 years,Norway,2014,42
Men,15-29 years,Norway,2015,49
Men,15-29 years,Norway,2016,34
Men,15-29 years,Norway,2017,44
Men,15-29 years,Norway,2018,36
Men,15-29 years,Norway,2019,42
Men,15-29 years,Norway,2020,41
Men,15-29 years,Norway,2021,41
Men,15-29 years,Norway,2022,38
Men,15-29 years,Norway,2023,45
Men,15-29 years,Norway,2024,38
Men,15-29 years,Poland,2008,233
Men,15-29 years,Poland,2009,234
Men,15-29 years,Poland,2010,279
Men,15-29 years,Poland,2011,319
Men,15-29 years,Poland,2012,341
Men,15-29 years,Poland,2013,307
Men,15-29 years,Poland,2014,317
Men,15-29 years,Poland,2015,326
Men,15-29 years,Poland,2016,291
Men,15-29 years,Poland,2017,270
Men,15-29 years,Poland,2018,316
Men,15-29 years,Poland,2019,318
Men,15-29 years,Poland,2020,356
Men,15-29 years,Poland,2021,342
Men,15-29 years,Poland,2022,364
Men,15-29 years,Poland,2023,362
Men,15-29 years,Poland,2024,364
Men,15-29 years,Portugal,2008,6
Men,15-29 years,Portugal,2009,7
Men,15-29 years,Portugal,2010,2
Men,15-29 years,Portugal,2011,3
Men,15-29 years,Portugal,2012,7
Men,15-29 years,Portugal,2013,5
Men,15-29 years,Portugal,2014,8
Men,15-29 years,Portugal,2015,7
Men,15-29 years,Portugal,2016,10
Men,15-29 years,Portugal,2017,13
Men,15-29 years,Portugal,2018,12
Men,15-29 years,Portugal,2019,21
Men,15-29 years,Portugal,2020,14
Men,15-29 years,Portugal,2021,19
Men,15-29 years,Portugal,2022,20
Men,15-29 years,Portugal,2023,26
Men,15-29 years,Portugal,2024,25
Men,15-29 years,Romania,2008,40
Men,15-29 years,Romania,2009,75
Men,15-29 years,Romania,2010,116
Men,15-29 years,Romania,2011,164
Men,15-29 years,Romania,2012,236
Men,15-29 years,Romania,2013,244
Men,15-29 years,Romania,2014,312
Men,15-29 years,Romania,2015,360
Men,15-29 years,Romania,2016,375
Men,15-29 years,Romania,2017,381
Men,15-29 years,Romania,2018,425
Men,15-29 years,Romania,2019,450
Men,15-29 years,Romania,2020,517
Men,15-29 years,Romania,2021,509
Men,15-29 years,Romania,2022,610
Men,15-29 years,Romania,2023,720
Men,15-29 years,Romania,2024,731
Men,15-29 years,Russia,2008,38
Men,15-29 years,Russia,2009,37
Men,15-29 years,Russia,2010,62
Men,15-29 years,Russia,2011,50
Men,15-29 years,Russia,2012,58
Men,15-29 years,Russia,2013,69
Men,15-29 years,Russia,2014,53
Men,15-29 years,Russia,2015,60
Men,15-29 years,Russia,2016,52
Men,15-29 years,Russia,2017,43
Men,15-29 years,Russia,2018,56
Men,15-29 years,Russia,2019,54
Men,15-29 years,Russia,2020,71
Men,15-29 years,Russia,2021,71
Men,15-29 years,Russia,2022,53
Men,15-29 years,Russia,2023,55
Men,15-29 years,Russia,2024,58
Men,15-29 years,Switzerland,2008,2
Men,15-29 years,Switzerland,2009,5
Men,15-29 years,Switzerland,2010,4
Men,15-29 years,Switzerland,2011,5
Men,15-29 years,Switzerland,2012,3
Men,15-29 years,Switzerland,2013,4
Men,15-29 years,Switzerland,2014,3
Men,15-29 years,Switzerland,2015,3
Men,15-29 years,Switzerland,2016,2
Men,15-29 years,Switzerland,2017,3
Men,15-29 years,Switzerland,2018,3
Men,15-29 years,Switzerland,2019,2
Men,15-29 years,Switzerland,2020,3
Men,15-29 years,Switzerland,2021,8
Men,15-29 years,Switzerland,2022,7
Men,15-29 years,Switzerland,2023,3
Men,15-29 years,Switzerland,2024,3
Men,15-29 years,Serbia and Montenegro,2008,26
Men,15-29 years,Serbia and Montenegro,2009,21
Men,15-29 years,Serbia and Montenegro,2010,27
Men,15-29 years,Serbia and Montenegro,2011,25
Men,15-29 years,Serbia and Montenegro,2012,33
Men,15-29 years,Serbia and Montenegro,2013,31
Men,15-29 years,Serbia and Montenegro,2014,34
Men,15-29 years,Serbia and Montenegro,2015,22
Men,15-29 years,Serbia and Montenegro,2016,21
Men,15-29 years,Serbia and Montenegro,2017,22
Men,15-29 years,Serbia and Montenegro,2018,26
Men,15-29 years,Serbia and Montenegro,2019,22
Men,15-29 years,Serbia and Montenegro,2020,30
Men,15-29 years,Serbia and Montenegro,2021,21
Men,15-29 years,Serbia and Montenegro,2022,17
Men,15-29 years,Serbia and Montenegro,2023,13
Men,15-29 years,Serbia and Montenegro,2024,15
Men,15-29 years,Soviet Union,2008,11
Men,15-29 years,Soviet Union,2009,10
Men,15-29 years,Soviet Union,2010,11
Men,15-29 years,Soviet Union,2011,11
Men,15-29 years,Soviet Union,2012,9
Men,15-29 years,Soviet Union,2013,13
Men,15-29 years,Soviet Union,2014,9
Men,15-29 years,Soviet Union,2015,9
Men,15-29 years,Soviet Union,2016,10
Men,15-29 years,Soviet Union,2017,11
Men,15-29 years,Soviet Union,2018,7
Men,15-29 years,Soviet Union,2019,9
Men,15-29 years,Soviet Union,2020,2
Men,15-29 years,Soviet Union,2021,6
Men,15-29 years,Soviet Union,2022,4
Men,15-29 years,Soviet Union,2023,3
Men,15-29 years,Soviet Union,2024,3
Men,15-29 years,Spain,2008,13
Men,15-29 years,Spain,2009,17
Men,15-29 years,Spain,2010,7
Men,15-29 years,Spain,2011,14
Men,15-29 years,Spain,2012,24
Men,15-29 years,Spain,2013,20
Men,15-29 years,Spain,2014,16
Men,15-29 years,Spain,2015,15
Men,15-29 years,Spain,2016,23
Men,15-29 years,Spain,2017,23
Men,15-29 years,Spain,2018,27
Men,15-29 years,Spain,2019,33
Men,15-29 years,Spain,2020,45
Men,15-29 years,Spain,2021,46
Men,15-29 years,Spain,2022,41
Men,15-29 years,Spain,2023,54
Men,15-29 years,Spain,2024,50
Men,15-29 years,United Kingdom,2008,35
Men,15-29 years,United Kingdom,2009,38
Men,15-29 years,United Kingdom,2010,41
Men,15-29 years,United Kingdom,2011,43
Men,15-29 years,United Kingdom,2012,50
Men,15-29 years,United Kingdom,2013,49
Men,15-29 years,United Kingdom,2014,50
Men,15-29 years,United Kingdom,2015,39
Men,15-29 years,United Kingdom,2016,45
Men,15-29 years,United Kingdom,2017,39
Men,15-29 years,United Kingdom,2018,47
Men,15-29 years,United Kingdom,2019,65
Men,15-29 years,United Kingdom,2020,62
Men,15-29 years,United Kingdom,2021,87
Men,15-29 years,United Kingdom,2022,48
Men,15-29 years,United Kingdom,2023,55
Men,15-29 years,United Kingdom,2024,59
Men,15-29 years,Sweden,2008,29
Men,15-29 years,Sweden,2009,47
Men,15-29 years,Sweden,2010,37
Men,15-29 years,Sweden,2011,50
Men,15-29 years,Sweden,2012,40
Men,15-29 years,Sweden,2013,54
Men,15-29 years,Sweden,2014,48
Men,15-29 years,Sweden,2015,34
Men,15-29 years,Sweden,2016,41
Men,15-29 years,Sweden,2017,40
Men,15-29 years,Sweden,2018,37
Men,15-29 years,Sweden,2019,43
Men,15-29 years,Sweden,2020,48
Men,15-29 years,Sweden,2021,39
Men,15-29 years,Sweden,2022,39
Men,15-29 years,Sweden,2023,55
Men,15-29 years,Sweden,2024,54
Men,15-29 years,Czechoslovakia,2008,7
Men,15-29 years,Czechoslovakia,2009,8
Men,15-29 years,Czechoslovakia,2010,3
Men,15-29 years,Czechoslovakia,2011,8
Men,15-29 years,Czechoslovakia,2012,4
Men,15-29 years,Czechoslovakia,2013,9
Men,15-29 years,Czechoslovakia,2014,4
Men,15-29 years,Czechoslovakia,2015,8
Men,15-29 years,Czechoslovakia,2016,4
Men,15-29 years,Czechoslovakia,2017,4
Men,15-29 years,Czechoslovakia,2018,4
Men,15-29 years,Czechoslovakia,2019,4
Men,15-29 years,Czechoslovakia,2020,6
Men,15-29 years,Czechoslovakia,2021,2
Men,15-29 years,Czechoslovakia,2022,1
Men,15-29 years,Czechoslovakia,2023,4
Men,15-29 years,Czechoslovakia,2024,2
Men,15-29 years,Turkey,2008,1380
Men,15-29 years,Turkey,2009,1499
Men,15-29 years,Turkey,2010,1701
Men,15-29 years,Turkey,2011,1577
Men,15-29 years,Turkey,2012,1804
Men,15-29 years,Turkey,2013,1716
Men,15-29 years,Turkey,2014,1743
Men,15-29 years,Turkey,2015,1626
Men,15-29 years,Turkey,2016,1518
Men,15-29 years,Turkey,2017,1491
Men,15-29 years,Turkey,2018,1594
Men,15-29 years,Turkey,2019,1673
Men,15-29 years,Turkey,2020,1801
Men,15-29 years,Turkey,2021,1647
Men,15-29 years,Turkey,2022,1380
Men,15-29 years,Turkey,2023,1264
Men,15-29 years,Turkey,2024,1141
Men,15-29 years,Germany,2008,70
Men,15-29 years,Germany,2009,68
Men,15-29 years,Germany,2010,75
Men,15-29 years,Germany,2011,70
Men,15-29 years,Germany,2012,84
Men,15-29 years,Germany,2013,69
Men,15-29 years,Germany,2014,78
Men,15-29 years,Germany,2015,77
Men,15-29 years,Germany,2016,68
Men,15-29 years,Germany,2017,89
Men,15-29 years,Germany,2018,89
Men,15-29 years,Germany,2019,103
Men,15-29 years,Germany,2020,111
Men,15-29 years,Germany,2021,108
Men,15-29 years,Germany,2022,95
Men,15-29 years,Germany,2023,121
Men,15-29 years,Germany,2024,105
Men,15-29 years,Ukraine,2008,137
Men,15-29 years,Ukraine,2009,183
Men,15-29 years,Ukraine,2010,147
Men,15-29 years,Ukraine,2011,128
Men,15-29 years,Ukraine,2012,123
Men,15-29 years,Ukraine,2013,110
Men,15-29 years,Ukraine,2014,109
Men,15-29 years,Ukraine,2015,112
Men,15-29 years,Ukraine,2016,95
Men,15-29 years,Ukraine,2017,103
Men,15-29 years,Ukraine,2018,90
Men,15-29 years,Ukraine,2019,109
Men,15-29 years,Ukraine,2020,140
Men,15-29 years,Ukraine,2021,128
Men,15-29 years,Ukraine,2022,110
Men,15-29 years,Ukraine,2023,169
Men,15-29 years,Ukraine,2024,214
Men,15-29 years,Hungary,2008,11
Men,15-29 years,Hungary,2009,17
Men,15-29 years,Hungary,2010,12
Men,15-29 years,Hungary,2011,17
Men,15-29 years,Hungary,2012,19
Men,15-29 years,Hungary,2013,25
Men,15-29 years,Hungary,2014,30
Men,15-29 years,Hungary,2015,27
Men,15-29 years,Hungary,2016,26
Men,15-29 years,Hungary,2017,35
Men,15-29 years,Hungary,2018,30
Men,15-29 years,Hungary,2019,28
Men,15-29 years,Hungary,2020,31
Men,15-29 years,Hungary,2021,27
Men,15-29 years,Hungary,2022,25
Men,15-29 years,Hungary,2023,24
Men,15-29 years,Hungary,2024,21
Men,15-29 years,Austria,2008,3
Men,15-29 years,Austria,2009,2
Men,15-29 years,Austria,2010,4
Men,15-29 years,Austria,2011,3
Men,15-29 years,Austria,2012,5
Men,15-29 years,Austria,2013,6
Men,15-29 years,Austria,2014,10
Men,15-29 years,Austria,2015,7
Men,15-29 years,Austria,2016,8
Men,15-29 years,Austria,2017,6
Men,15-29 years,Austria,2018,4
Men,15-29 years,Austria,2019,7
Men,15-29 years,Austria,2020,3
Men,15-29 years,Austria,2021,8
Men,15-29 years,Austria,2022,5
Men,15-29 years,Austria,2023,4
Men,15-29 years,Austria,2024,7
Men,15-29 years,Algeria,2008,14
Men,15-29 years,Algeria,2009,21
Men,15-29 years,Algeria,2010,16
Men,15-29 years,Algeria,2011,24
Men,15-29 years,Algeria,2012,26
Men,15-29 years,Algeria,2013,28
Men,15-29 years,Algeria,2014,31
Men,15-29 years,Algeria,2015,29
Men,15-29 years,Algeria,2016,26
Men,15-29 years,Algeria,2017,27
Men,15-29 years,Algeria,2018,26
Men,15-29 years,Algeria,2019,25
Men,15-29 years,Algeria,2020,31
Men,15-29 years,Algeria,2021,38
Men,15-29 years,Algeria,2022,30
Men,15-29 years,Algeria,2023,34
Men,15-29 years,Algeria,2024,33
Men,15-29 years,Egypt,2008,24
Men,15-29 years,Egypt,2009,37
Men,15-29 years,Egypt,2010,39
Men,15-29 years,Egypt,2011,37
Men,15-29 years,Egypt,2012,41
Men,15-29 years,Egypt,2013,40
Men,15-29 years,Egypt,2014,38
Men,15-29 years,Egypt,2015,37
Men,15-29 years,Egypt,2016,36
Men,15-29 years,Egypt,2017,41
Men,15-29 years,Egypt,2018,41
Men,15-29 years,Egypt,2019,55
Men,15-29 years,Egypt,2020,44
Men,15-29 years,Egypt,2021,45
Men,15-29 years,Egypt,2022,41
Men,15-29 years,Egypt,2023,33
Men,15-29 years,Egypt,2024,31
Men,15-29 years,Ethiopia,2008,25
Men,15-29 years,Ethiopia,2009,28
Men,15-29 years,Ethiopia,2010,32
Men,15-29 years,Ethiopia,2011,26
Men,15-29 years,Ethiopia,2012,34
Men,15-29 years,Ethiopia,2013,32
Men,15-29 years,Ethiopia,2014,37
Men,15-29 years,Ethiopia,2015,34
Men,15-29 years,Ethiopia,2016,39
Men,15-29 years,Ethiopia,2017,47
Men,15-29 years,Ethiopia,2018,49
Men,15-29 years,Ethiopia,2019,46
Men,15-29 years,Ethiopia,2020,56
Men,15-29 years,Ethiopia,2021,52
Men,15-29 years,Ethiopia,2022,45
Men,15-29 years,Ethiopia,2023,35
Men,15-29 years,Ethiopia,2024,40
Men,15-29 years,Ghana,2008,20
Men,15-29 years,Ghana,2009,19
Men,15-29 years,Ghana,2010,15
Men,15-29 years,Ghana,2011,17
Men,15-29 years,Ghana,2012,16
Men,15-29 years,Ghana,2013,26
Men,15-29 years,Ghana,2014,22
Men,15-29 years,Ghana,2015,17
Men,15-29 years,Ghana,2016,26
Men,15-29 years,Ghana,2017,25
Men,15-29 years,Ghana,2018,25
Men,15-29 years,Ghana,2019,29
Men,15-29 years,Ghana,2020,29
Men,15-29 years,Ghana,2021,37
Men,15-29 years,Ghana,2022,26
Men,15-29 years,Ghana,2023,32
Men,15-29 years,Ghana,2024,28
Men,15-29 years,Kenya,2008,14
Men,15-29 years,Kenya,2009,15
Men,15-29 years,Kenya,2010,18
Men,15-29 years,Kenya,2011,17
Men,15-29 years,Kenya,2012,20
Men,15-29 years,Kenya,2013,17
Men,15-29 years,Kenya,2014,19
Men,15-29 years,Kenya,2015,19
Men,15-29 years,Kenya,2016,11
Men,15-29 years,Kenya,2017,13
Men,15-29 years,Kenya,2018,12
Men,15-29 years,Kenya,2019,7
Men,15-29 years,Kenya,2020,12
Men,15-29 years,Kenya,2021,11
Men,15-29 years,Kenya,2022,13
Men,15-29 years,Kenya,2023,15
Men,15-29 years,Kenya,2024,9
Men,15-29 years,Morocco,2008,238
Men,15-29 years,Morocco,2009,261
Men,15-29 years,Morocco,2010,277
Men,15-29 years,Morocco,2011,301
Men,15-29 years,Morocco,2012,285
Men,15-29 years,Morocco,2013,268
Men,15-29 years,Morocco,2014,286
Men,15-29 years,Morocco,2015,301
Men,15-29 years,Morocco,2016,285
Men,15-29 years,Morocco,2017,294
Men,15-29 years,Morocco,2018,327
Men,15-29 years,Morocco,2019,302
Men,15-29 years,Morocco,2020,350
Men,15-29 years,Morocco,2021,321
Men,15-29 years,Morocco,2022,304
Men,15-29 years,Morocco,2023,302
Men,15-29 years,Morocco,2024,288
Men,15-29 years,Nigeria,2008,9
Men,15-29 years,Nigeria,2009,9
Men,15-29 years,Nigeria,2010,11
Men,15-29 years,Nigeria,2011,9
Men,15-29 years,Nigeria,2012,9
Men,15-29 years,Nigeria,2013,12
Men,15-29 years,Nigeria,2014,12
Men,15-29 years,Nigeria,2015,11
Men,15-29 years,Nigeria,2016,7
Men,15-29 years,Nigeria,2017,9
Men,15-29 years,Nigeria,2018,8
Men,15-29 years,Nigeria,2019,13
Men,15-29 years,Nigeria,2020,5
Men,15-29 years,Nigeria,2021,9
Men,15-29 years,Nigeria,2022,9
Men,15-29 years,Nigeria,2023,18
Men,15-29 years,Nigeria,2024,8
Men,15-29 years,Somalia,2008,403
Men,15-29 years,Somalia,2009,439
Men,15-29 years,Somalia,2010,451
Men,15-29 years,Somalia,2011,460
Men,15-29 years,Somalia,2012,572
Men,15-29 years,Somalia,2013,631
Men,15-29 years,Somalia,2014,667
Men,15-29 years,Somalia,2015,673
Men,15-29 years,Somalia,2016,674
Men,15-29 years,Somalia,2017,751
Men,15-29 years,Somalia,2018,820
Men,15-29 years,Somalia,2019,903
Men,15-29 years,Somalia,2020,884
Men,15-29 years,Somalia,2021,885
Men,15-29 years,Somalia,2022,853
Men,15-29 years,Somalia,2023,902
Men,15-29 years,Somalia,2024,835
Men,15-29 years,South Africa,2008,2
Men,15-29 years,South Africa,2009,3
Men,15-29 years,South Africa,2010,3
Men,15-29 years,South Africa,2011,5
Men,15-29 years,South Africa,2012,4
Men,15-29 years,South Africa,2013,5
Men,15-29 years,South Africa,2014,5
Men,15-29 years,South Africa,2015,2
Men,15-29 years,South Africa,2016,5
Men,15-29 years,South Africa,2017,3
Men,15-29 years,South Africa,2018,5
Men,15-29 years,South Africa,2019,4
Men,15-29 years,South Africa,2020,8
Men,15-29 years,South Africa,2021,5
Men,15-29 years,South Africa,2022,8
Men,15-29 years,South Africa,2023,4
Men,15-29 years,South Africa,2024,4
Men,15-29 years,Tanzania,2008,10
Men,15-29 years,Tanzania,2009,9
Men,15-29 years,Tanzania,2010,7
Men,15-29 years,Tanzania,2011,10
Men,15-29 years,Tanzania,2012,11
Men,15-29 years,Tanzania,2013,6
Men,15-29 years,Tanzania,2014,10
Men,15-29 years,Tanzania,2015,8
Men,15-29 years,Tanzania,2016,11
Men,15-29 years,Tanzania,2017,6
Men,15-29 years,Tanzania,2018,8
Men,15-29 years,Tanzania,2019,10
Men,15-29 years,Tanzania,2020,8
Men,15-29 years,Tanzania,2021,11
Men,15-29 years,Tanzania,2022,7
Men,15-29 years,Tanzania,2023,14
Men,15-29 years,Tanzania,2024,16
Men,15-29 years,Tunisia,2008,10
Men,15-29 years,Tunisia,2009,21
Men,15-29 years,Tunisia,2010,27
Men,15-29 years,Tunisia,2011,25
Men,15-29 years,Tunisia,2012,36
Men,15-29 years,Tunisia,2013,32
Men,15-29 years,Tunisia,2014,41
Men,15-29 years,Tunisia,2015,48
Men,15-29 years,Tunisia,2016,40
Men,15-29 years,Tunisia,2017,56
Men,15-29 years,Tunisia,2018,57
Men,15-29 years,Tunisia,2019,56
Men,15-29 years,Tunisia,2020,55
Men,15-29 years,Tunisia,2021,53
Men,15-29 years,Tunisia,2022,59
Men,15-29 years,Tunisia,2023,58
Men,15-29 years,Tunisia,2024,54
Men,15-29 years,Uganda,2008,36
Men,15-29 years,Uganda,2009,32
Men,15-29 years,Uganda,2010,25
Men,15-29 years,Uganda,2011,38
Men,15-29 years,Uganda,2012,44
Men,15-29 years,Uganda,2013,39
Men,15-29 years,Uganda,2014,32
Men,15-29 years,Uganda,2015,27
Men,15-29 years,Uganda,2016,24
Men,15-29 years,Uganda,2017,28
Men,15-29 years,Uganda,2018,22
Men,15-29 years,Uganda,2019,25
Men,15-29 years,Uganda,2020,30
Men,15-29 years,Uganda,2021,22
Men,15-29 years,Uganda,2022,20
Men,15-29 years,Uganda,2023,24
Men,15-29 years,Uganda,2024,27
Men,15-29 years,Canada,2008,6
Men,15-29 years,Canada,2009,5
Men,15-29 years,Canada,2010,4
Men,15-29 years,Canada,2011,6
Men,15-29 years,Canada,2012,7
Men,15-29 years,Canada,2013,5
Men,15-29 years,Canada,2014,6
Men,15-29 years,Canada,2015,5
Men,15-29 years,Canada,2016,6
Men,15-29 years,Canada,2017,8
Men,15-29 years,Canada,2018,5
Men,15-29 years,Canada,2019,4
Men,15-29 years,Canada,2020,4
Men,15-29 years,Canada,2021,9
Men,15-29 years,Canada,2022,9
Men,15-29 years,Canada,2023,10
Men,15-29 years,Canada,2024,8
Men,15-29 years,USA,2008,10
Men,15-29 years,USA,2009,17
Men,15-29 years,USA,2010,18
Men,15-29 years,USA,2011,14
Men,15-29 years,USA,2012,15
Men,15-29 years,USA,2013,7
Men,15-29 years,USA,2014,13
Men,15-29 years,USA,2015,15
Men,15-29 years,USA,2016,14
Men,15-29 years,USA,2017,24
Men,15-29 years,USA,2018,33
Men,15-29 years,USA,2019,28
Men,15-29 years,USA,2020,17
Men,15-29 years,USA,2021,18
Men,15-29 years,USA,2022,20
Men,15-29 years,USA,2023,24
Men,15-29 years,USA,2024,17
Men,15-29 years,Argentina,2008,4
Men,15-29 years,Argentina,2009,3
Men,15-29 years,Argentina,2010,2
Men,15-29 years,Argentina,2011,1
Men,15-29 years,Argentina,2012,1
Men,15-29 years,Argentina,2013,3
Men,15-29 years,Argentina,2014,4
Men,15-29 years,Argentina,2015,3
Men,15-29 years,Argentina,2016,8
Men,15-29 years,Argentina,2017,7
Men,15-29 years,Argentina,2018,10
Men,15-29 years,Argentina,2019,14
Men,15-29 years,Argentina,2020,39
Men,15-29 years,Argentina,2021,51
Men,15-29 years,Argentina,2022,27
Men,15-29 years,Argentina,2023,34
Men,15-29 years,Argentina,2024,28
Men,15-29 years,Brazil,2008,14
Men,15-29 years,Brazil,2009,24
Men,15-29 years,Brazil,2010,22
Men,15-29 years,Brazil,2011,21
Men,15-29 years,Brazil,2012,27
Men,15-29 years,Brazil,2013,23
Men,15-29 years,Brazil,2014,24
Men,15-29 years,Brazil,2015,17
Men,15-29 years,Brazil,2016,17
Men,15-29 years,Brazil,2017,25
Men,15-29 years,Brazil,2018,22
Men,15-29 years,Brazil,2019,22
Men,15-29 years,Brazil,2020,23
Men,15-29 years,Brazil,2021,15
Men,15-29 years,Brazil,2022,13
Men,15-29 years,Brazil,2023,23
Men,15-29 years,Brazil,2024,21
Men,15-29 years,Chile,2008,8
Men,15-29 years,Chile,2009,9
Men,15-29 years,Chile,2010,11
Men,15-29 years,Chile,2011,8
Men,15-29 years,Chile,2012,11
Men,15-29 years,Chile,2013,13
Men,15-29 years,Chile,2014,7
Men,15-29 years,Chile,2015,10
Men,15-29 years,Chile,2016,7
Men,15-29 years,Chile,2017,8
Men,15-29 years,Chile,2018,8
Men,15-29 years,Chile,2019,13
Men,15-29 years,Chile,2020,14
Men,15-29 years,Chile,2021,9
Men,15-29 years,Chile,2022,9
Men,15-29 years,Chile,2023,13
Men,15-29 years,Chile,2024,7
Men,15-29 years,Afghanistan,2008,244
Men,15-29 years,Afghanistan,2009,326
Men,15-29 years,Afghanistan,2010,306
Men,15-29 years,Afghanistan,2011,394
Men,15-29 years,Afghanistan,2012,428
Men,15-29 years,Afghanistan,2013,438
Men,15-29 years,Afghanistan,2014,442
Men,15-29 years,Afghanistan,2015,430
Men,15-29 years,Afghanistan,2016,467
Men,15-29 years,Afghanistan,2017,490
Men,15-29 years,Afghanistan,2018,502
Men,15-29 years,Afghanistan,2019,500
Men,15-29 years,Afghanistan,2020,509
Men,15-29 years,Afghanistan,2021,454
Men,15-29 years,Afghanistan,2022,414
Men,15-29 years,Afghanistan,2023,409
Men,15-29 years,Afghanistan,2024,360
Men,15-29 years,Philippines,2008,30
Men,15-29 years,Philippines,2009,26
Men,15-29 years,Philippines,2010,20
Men,15-29 years,Philippines,2011,30
Men,15-29 years,Philippines,2012,22
Men,15-29 years,Philippines,2013,27
Men,15-29 years,Philippines,2014,26
Men,15-29 years,Philippines,2015,28
Men,15-29 years,Philippines,2016,25
Men,15-29 years,Philippines,2017,21
Men,15-29 years,Philippines,2018,19
Men,15-29 years,Philippines,2019,32
Men,15-29 years,Philippines,2020,28
Men,15-29 years,Philippines,2021,29
