OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Men,15 years,Persons of Danish origin,2010Q1,33413
All Denmark,Men,15 years,Persons of Danish origin,2011Q1,33484
All Denmark,Men,15 years,Persons of Danish origin,2012Q1,32195
All Denmark,Men,15 years,Persons of Danish origin,2013Q1,31880
All Denmark,Men,15 years,Persons of Danish origin,2014Q1,31296
All Denmark,Men,15 years,Persons of Danish origin,2015Q1,30842
All Denmark,Men,15 years,Persons of Danish origin,2016Q1,31172
All Denmark,Men,15 years,Persons of Danish origin,2017Q1,30241
All Denmark,Men,15 years,Persons of Danish origin,2018Q1,29974
All Denmark,Men,15 years,Persons of Danish origin,2019Q1,30254
All Denmark,Men,15 years,Persons of Danish origin,2020Q1,30399
All Denmark,Men,15 years,Persons of Danish origin,2021Q1,30446
All Denmark,Men,15 years,Immigrants from western countries,2010Q1,306
All Denmark,Men,15 years,Immigrants from western countries,2011Q1,307
All Denmark,Men,15 years,Immigrants from western countries,2012Q1,314
All Denmark,Men,15 years,Immigrants from western countries,2013Q1,350
All Denmark,Men,15 years,Immigrants from western countries,2014Q1,358
All Denmark,Men,15 years,Immigrants from western countries,2015Q1,355
All Denmark,Men,15 years,Immigrants from western countries,2016Q1,378
All Denmark,Men,15 years,Immigrants from western countries,2017Q1,445
All Denmark,Men,15 years,Immigrants from western countries,2018Q1,467
All Denmark,Men,15 years,Immigrants from western countries,2019Q1,479
All Denmark,Men,15 years,Immigrants from western countries,2020Q1,528
All Denmark,Men,15 years,Immigrants from western countries,2021Q1,545
All Denmark,Men,15 years,Immigrants from non-western countries,2010Q1,1066
All Denmark,Men,15 years,Immigrants from non-western countries,2011Q1,1018
All Denmark,Men,15 years,Immigrants from non-western countries,2012Q1,964
All Denmark,Men,15 years,Immigrants from non-western countries,2013Q1,942
All Denmark,Men,15 years,Immigrants from non-western countries,2014Q1,802
All Denmark,Men,15 years,Immigrants from non-western countries,2015Q1,753
All Denmark,Men,15 years,Immigrants from non-western countries,2016Q1,835
All Denmark,Men,15 years,Immigrants from non-western countries,2017Q1,856
All Denmark,Men,15 years,Immigrants from non-western countries,2018Q1,929
All Denmark,Men,15 years,Immigrants from non-western countries,2019Q1,964
All Denmark,Men,15 years,Immigrants from non-western countries,2020Q1,1049
All Denmark,Men,15 years,Immigrants from non-western countries,2021Q1,1108
All Denmark,Men,15 years,Descendants from western countries,2010Q1,167
All Denmark,Men,15 years,Descendants from western countries,2011Q1,163
All Denmark,Men,15 years,Descendants from western countries,2012Q1,157
All Denmark,Men,15 years,Descendants from western countries,2013Q1,180
All Denmark,Men,15 years,Descendants from western countries,2014Q1,176
All Denmark,Men,15 years,Descendants from western countries,2015Q1,205
All Denmark,Men,15 years,Descendants from western countries,2016Q1,177
All Denmark,Men,15 years,Descendants from western countries,2017Q1,197
All Denmark,Men,15 years,Descendants from western countries,2018Q1,186
All Denmark,Men,15 years,Descendants from western countries,2019Q1,203
All Denmark,Men,15 years,Descendants from western countries,2020Q1,219
All Denmark,Men,15 years,Descendants from western countries,2021Q1,205
All Denmark,Men,15 years,Descendants from non-western countries,2010Q1,2112
All Denmark,Men,15 years,Descendants from non-western countries,2011Q1,2201
All Denmark,Men,15 years,Descendants from non-western countries,2012Q1,2246
All Denmark,Men,15 years,Descendants from non-western countries,2013Q1,2358
All Denmark,Men,15 years,Descendants from non-western countries,2014Q1,2356
All Denmark,Men,15 years,Descendants from non-western countries,2015Q1,2588
All Denmark,Men,15 years,Descendants from non-western countries,2016Q1,2771
All Denmark,Men,15 years,Descendants from non-western countries,2017Q1,2750
All Denmark,Men,15 years,Descendants from non-western countries,2018Q1,2709
All Denmark,Men,15 years,Descendants from non-western countries,2019Q1,2662
All Denmark,Men,15 years,Descendants from non-western countries,2020Q1,2448
All Denmark,Men,15 years,Descendants from non-western countries,2021Q1,2271
All Denmark,Men,16 years,Persons of Danish origin,2010Q1,32560
All Denmark,Men,16 years,Persons of Danish origin,2011Q1,33536
All Denmark,Men,16 years,Persons of Danish origin,2012Q1,33575
All Denmark,Men,16 years,Persons of Danish origin,2013Q1,32286
All Denmark,Men,16 years,Persons of Danish origin,2014Q1,31997
All Denmark,Men,16 years,Persons of Danish origin,2015Q1,31419
All Denmark,Men,16 years,Persons of Danish origin,2016Q1,30899
All Denmark,Men,16 years,Persons of Danish origin,2017Q1,31303
All Denmark,Men,16 years,Persons of Danish origin,2018Q1,30372
All Denmark,Men,16 years,Persons of Danish origin,2019Q1,30066
All Denmark,Men,16 years,Persons of Danish origin,2020Q1,30330
All Denmark,Men,16 years,Persons of Danish origin,2021Q1,30512
All Denmark,Men,16 years,Immigrants from western countries,2010Q1,314
All Denmark,Men,16 years,Immigrants from western countries,2011Q1,346
All Denmark,Men,16 years,Immigrants from western countries,2012Q1,346
All Denmark,Men,16 years,Immigrants from western countries,2013Q1,365
All Denmark,Men,16 years,Immigrants from western countries,2014Q1,393
All Denmark,Men,16 years,Immigrants from western countries,2015Q1,398
All Denmark,Men,16 years,Immigrants from western countries,2016Q1,405
All Denmark,Men,16 years,Immigrants from western countries,2017Q1,409
All Denmark,Men,16 years,Immigrants from western countries,2018Q1,513
All Denmark,Men,16 years,Immigrants from western countries,2019Q1,527
All Denmark,Men,16 years,Immigrants from western countries,2020Q1,563
All Denmark,Men,16 years,Immigrants from western countries,2021Q1,580
All Denmark,Men,16 years,Immigrants from non-western countries,2010Q1,1136
All Denmark,Men,16 years,Immigrants from non-western countries,2011Q1,1152
All Denmark,Men,16 years,Immigrants from non-western countries,2012Q1,1085
All Denmark,Men,16 years,Immigrants from non-western countries,2013Q1,1038
All Denmark,Men,16 years,Immigrants from non-western countries,2014Q1,1024
All Denmark,Men,16 years,Immigrants from non-western countries,2015Q1,939
All Denmark,Men,16 years,Immigrants from non-western countries,2016Q1,1006
All Denmark,Men,16 years,Immigrants from non-western countries,2017Q1,1039
All Denmark,Men,16 years,Immigrants from non-western countries,2018Q1,992
All Denmark,Men,16 years,Immigrants from non-western countries,2019Q1,1000
All Denmark,Men,16 years,Immigrants from non-western countries,2020Q1,1009
All Denmark,Men,16 years,Immigrants from non-western countries,2021Q1,1094
All Denmark,Men,16 years,Descendants from western countries,2010Q1,149
All Denmark,Men,16 years,Descendants from western countries,2011Q1,167
All Denmark,Men,16 years,Descendants from western countries,2012Q1,164
All Denmark,Men,16 years,Descendants from western countries,2013Q1,156
All Denmark,Men,16 years,Descendants from western countries,2014Q1,184
All Denmark,Men,16 years,Descendants from western countries,2015Q1,177
All Denmark,Men,16 years,Descendants from western countries,2016Q1,203
All Denmark,Men,16 years,Descendants from western countries,2017Q1,181
All Denmark,Men,16 years,Descendants from western countries,2018Q1,201
All Denmark,Men,16 years,Descendants from western countries,2019Q1,188
All Denmark,Men,16 years,Descendants from western countries,2020Q1,202
All Denmark,Men,16 years,Descendants from western countries,2021Q1,221
All Denmark,Men,16 years,Descendants from non-western countries,2010Q1,2010
All Denmark,Men,16 years,Descendants from non-western countries,2011Q1,2114
All Denmark,Men,16 years,Descendants from non-western countries,2012Q1,2213
All Denmark,Men,16 years,Descendants from non-western countries,2013Q1,2254
All Denmark,Men,16 years,Descendants from non-western countries,2014Q1,2368
All Denmark,Men,16 years,Descendants from non-western countries,2015Q1,2372
