proxy,split,normalization,labor_share,sigma,capital_adjustment,labor_supply_elasticity,capital_tax_retention,scenario_id,excluded_capital_owner_share,nest_option,sigma_NI,sigma_NI_sourced,native_production_gain_bn,other_immigrant_production_gain_bn,capital_private_residual_bn,other_residents_private_bn,induced_current_receipts_bn,private_plus_receipts_bn,private_plus_receipts_se_sampling_bn,sampling_status,target_branch_gain_bn,capital_gain_bn,capital_tax_gain_bn,wage_pct_native_cell0,wage_pct_native_cell1,wage_pct_other_fb_cell0,wage_pct_other_fb_cell1,interpretation,delta_vs_perfect_substitution_bn,reproduces_published_term_bn
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,5.0,False,31.721308656172656,-27.03952570137508,0.0,4.681782954797572,16.84841534075777,21.530198295555344,1.6204872287182193,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,3.972192172580691,-1.503930254942698,12.141052242556771,-1.2104645620912624,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,8.207600376297526,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,7.0,False,22.35664804190198,-19.094227990670547,0.0,3.2624200512314374,15.898875878819704,19.161295930051143,1.4473098163509424,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,4.435652164433135,-1.4819795608084996,10.232899317013366,-1.272403621184226,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,5.838698010793324,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,8.7,True,17.81877211633234,-15.245557492538778,0.0,2.573214623793547,15.437804714689747,18.011019338483294,1.3702569673645943,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,4.659983942148238,-1.471278552074673,9.30964775711114,-1.3026709376045553,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,4.688421419225476,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,9.0,False,17.197811109374342,-14.718980156756027,0.0,2.4788309526183063,15.374663048936696,17.853494001555003,1.3601235380823857,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,4.69066855239928,-1.4698109147803895,9.183382149841911,-1.306825772219533,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,4.530896082297184,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,17.9,True,8.29471059813669,-7.171079204861893,0.0,1.123631393274803,14.4680494287977,15.591680822072504,1.2276071046292123,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,5.130267090232765,-1.44867934162628,7.374962814065222,-1.3667476083033314,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,2.269082902814686,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,A_by_nativity,20.0,True,7.354928212684648,-6.37456368706569,0.0,0.9803645256189666,14.372205507579913,15.352570033198882,1.2151833904045082,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,5.176631538249299,-1.4464389215354756,7.18428474258197,-1.3731115528259563,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,2.0299721139410636,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,inf,True,-0.612428276712073,0.3765039519555027,0.0,-0.23592432475657343,13.55852224401439,13.322597919257818,1.1242825518810047,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,5.569404939032774,-1.4273679147351115,5.569404939032774,-1.4273679147351004,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,0.0,13.32259791925651
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,1.3,True,2065.778502830318,454.30563304226416,0.0,2520.0841358725816,1786.6448996620773,4306.729035534659,60.623508672771564,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,-33.92729697702439,-22.46232847570584,-33.92729697702439,-22.462328475705874,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,4293.406437615401,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,3.0,True,356.5119634640968,78.79099876931079,0.0,435.30296223340764,319.0033792244805,754.3063414578883,11.855949530943432,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,-1.6469372529880344,-4.962056892362943,-1.6469372529880122,-4.962056892362964,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,740.9837435386304,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,4.6,True,200.10874773040487,44.44754010105778,0.0,244.55628783146264,185.18640885519955,429.74269668666216,6.8354297978940615,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,1.494967625979604,-3.4092609264670837,1.4949676259795819,-3.4092609264670837,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,416.42009876740434,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,5.0,False,180.30017845621794,40.0981092420402,0.0,220.39828769825817,168.2436545818378,388.641942280096,6.1973400786620605,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,1.8949645373775414,-3.2131329319467716,1.894964537377497,-3.2131329319467716,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,375.31934436083816,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,7.0,False,120.52549230640398,26.973447607097786,0.0,147.49893991350177,117.12399118963891,264.6229311031407,4.280331653125388,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,3.104799679691417,-2.622015252762655,3.1047996796913946,-2.622015252762666,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,251.30033318388286,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,8.7,True,93.96385268125373,21.141461279360033,0.0,115.10531396061376,94.41172335521965,209.5170373158334,3.441241273595874,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,3.6437480032589953,-2.359690975865947,3.6437480032589953,-2.359690975865947,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,196.19443939657558,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,9.0,False,90.44060684992488,20.36788815740964,0.0,110.80849500733453,91.39923083595183,202.20772584328637,3.3312215478202334,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,3.7152981765997906,-2.3249111486073004,3.7152981765997684,-2.3249111486073115,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,188.88512792402855,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,17.9,True,42.63953603021202,9.87269050722196,0.0,52.51222653743397,50.53133894937395,103.04356548680792,1.912762508272925,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,4.687470378663017,-1.8534094653268385,4.6874703786629945,-1.8534094653268496,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,89.7209675675501,
PEARNVAL,hs_or_less,gdp,0.65,2.0,1.0,0.0,1.0,ces_0086_owner000,0.0,B_target_branch,20.0,True,37.872345092394276,8.826019979664023,0.0,46.698365072058294,46.45596099881309,93.15432607087138,1.7864698265106111,nest_joint_161_weight_SE,1590.6929801148449,0.0,0.0,4.784570318570158,-1.8064242071357373,4.784570318570136,-1.8064242071357373,CONDITIONAL_MODEL_NOT_IDENTIFIED_POLICY_EFFECT,79.83172815161356,
