cell,grain,left,right,overlap,cosine,earnings_missing_occupation_share,output_type
low,detailed,all_native,all_foreign,0.643714057608889,0.7998189639057043,0.023122813597953984,measurement
low,detailed,native_non_union,union_mexico_born,0.5580503905593006,0.6526989347596014,0.023122813597953984,measurement
low,detailed,native_non_union,other_foreign_born,0.6224182067159563,0.8063164185010615,0.023122813597953984,measurement
low,detailed,other_foreign_born,union_mexico_born,0.6286764295218832,0.7505207679324407,0.023122813597953984,measurement
low,detailed,union_us_born,native_non_union,0.7263596175959335,0.8833602715205517,0.023122813597953984,measurement
low,major,all_native,all_foreign,0.7681496662887409,0.8978654650533368,0.023122813597953984,measurement
low,major,native_non_union,union_mexico_born,0.662338548287887,0.7866983004530494,0.023122813597953984,measurement
low,major,native_non_union,other_foreign_born,0.7994471214729906,0.9300675501612626,0.023122813597953984,measurement
low,major,other_foreign_born,union_mexico_born,0.7849945493040793,0.8819752438877065,0.023122813597953984,measurement
low,major,union_us_born,native_non_union,0.9070143487834443,0.9750422215712043,0.023122813597953984,measurement
high,detailed,all_native,all_foreign,0.7304507692903806,0.8021402182815638,0.023122813597953984,measurement
high,detailed,native_non_union,union_mexico_born,0.559705899315222,0.6845777291506,0.023122813597953984,measurement
high,detailed,native_non_union,other_foreign_born,0.7223036727634979,0.7964084616400325,0.023122813597953984,measurement
high,detailed,other_foreign_born,union_mexico_born,0.5155107653754444,0.6669727706836074,0.023122813597953984,measurement
high,detailed,union_us_born,native_non_union,0.736364717625361,0.8833952525610307,0.023122813597953984,measurement
high,major,all_native,all_foreign,0.8362625044396244,0.9292011197290602,0.023122813597953984,measurement
high,major,native_non_union,union_mexico_born,0.7288543132992863,0.866467019734575,0.023122813597953984,measurement
high,major,native_non_union,other_foreign_born,0.8300415843398589,0.9258129447099436,0.023122813597953984,measurement
high,major,other_foreign_born,union_mexico_born,0.6742229711017689,0.8257116651207823,0.023122813597953984,measurement
high,major,union_us_born,native_non_union,0.868035288255505,0.9721576841858891,0.023122813597953984,measurement
