proxy,split,skill,branch,population,positive_earners,earnings_estimate,se_sampling,share_of_cell
PEARNVAL,hs_or_less,0,native_non_union,77886920.77887431,38730690.210390285,1828607436917.1924,34507630999.76732,0.6757125038874788
PEARNVAL,hs_or_less,1,native_non_union,129673906.21096693,89661777.23388414,7607740318954.642,84805453708.72827,0.7716245003932829
PEARNVAL,hs_or_less,0,union_us_born,10442306.46914032,5682514.53210017,228801250237.09717,8436452667.663162,0.0845473241380543
PEARNVAL,hs_or_less,1,union_us_born,8895753.347148702,6859330.60094764,442387698305.2797,14631942983.7332,0.044869721148927275
PEARNVAL,hs_or_less,0,other_foreign_born,14825675.54356816,8375767.59864249,395059146410.5268,17486798425.481823,0.14598344052168247
PEARNVAL,hs_or_less,1,other_foreign_born,23802732.650624022,17308511.9106041,1684581782916.07,33850224780.91056,0.17086079730871373
PEARNVAL,hs_or_less,0,union_mexico_born,9159239.00734421,6024321.889075089,253723670065.7112,7621176171.406225,0.09375673145279134
PEARNVAL,hs_or_less,1,union_mexico_born,2658215.3570999503,1965528.7442470798,124671693124.32455,7111511803.502735,0.012644981149075307
PEARNVAL,below_ba,0,native_non_union,133870493.49924493,74538422.88334005,3821381622568.373,46971399829.684685,0.7351725033838571
PEARNVAL,below_ba,1,native_non_union,73690333.49059632,53854044.56093438,5614966133303.432,80440499450.18806,0.7621124941399834
PEARNVAL,below_ba,0,union_us_born,15828396.992861971,9628648.360868368,430129725450.9153,10996626242.166338,0.0827500569877728
PEARNVAL,below_ba,1,union_us_born,3509662.8234270504,2913196.7721794397,241059223091.4618,10683532234.532818,0.03271867387695119
PEARNVAL,below_ba,0,other_foreign_born,21266306.099733163,12752170.43414053,643299510124.1958,22932914196.152824,0.12376050287428525
PEARNVAL,below_ba,1,other_foreign_born,17362102.09445902,12932109.07510606,1436341419202.3994,31318549474.533062,0.19495286622163305
PEARNVAL,below_ba,0,union_mexico_born,10561239.87102285,7007835.20676207,303127863692.94806,8459995290.96667,0.05831693675408571
PEARNVAL,below_ba,1,union_mexico_born,1256214.49342131,982015.4265601,75267499497.08755,5997326962.059204,0.010215965761427949
WSAL_VAL,hs_or_less,0,native_non_union,77886920.77887431,36667284.24345336,1729193512450.0674,34008963420.730556,0.6791416628762083
WSAL_VAL,hs_or_less,1,native_non_union,129673906.21096693,85519704.1845024,7279177900391.24,79344243985.4085,0.7700527535844445
WSAL_VAL,hs_or_less,0,union_us_born,10442306.46914032,5418386.3080604,217096925561.85184,8224408721.166251,0.08526493187132285
WSAL_VAL,hs_or_less,1,union_us_born,8895753.347148702,6677968.4713198105,430769957380.5611,14213978317.325518,0.045570474630730745
WSAL_VAL,hs_or_less,0,other_foreign_born,14825675.54356816,7646838.26845257,367294440534.57874,17254795078.76421,0.1442550849941634
WSAL_VAL,hs_or_less,1,other_foreign_born,23802732.650624022,16564841.408957642,1624582209711.4714,32766372047.378788,0.17186199061646518
WSAL_VAL,hs_or_less,0,union_mexico_born,9159239.00734421,5539888.140518749,232560656284.67102,6946428656.37652,0.0913383202583086
WSAL_VAL,hs_or_less,1,union_mexico_born,2658215.3570999503,1813969.5963852298,118300100979.95062,7139245350.420358,0.012514781168355912
WSAL_VAL,below_ba,0,native_non_union,133870493.49924493,70676960.17595929,3621008484257.8965,45671274159.51784,0.7370469425218117
WSAL_VAL,below_ba,1,native_non_union,73690333.49059632,51510028.25199645,5387362928583.385,76187241899.09088,0.7602702520972455
WSAL_VAL,below_ba,0,union_us_born,15828396.992861971,9238565.04286011,411688490778.7031,10878491498.20858,0.08379813102317242
WSAL_VAL,below_ba,1,union_us_born,3509662.8234270504,2857789.7365200995,236178392163.70966,10358738940.111145,0.033329740010191046
WSAL_VAL,below_ba,0,other_foreign_born,21266306.099733163,11778653.65870514,602203968030.0465,21979410398.825443,0.12257706529566817
WSAL_VAL,below_ba,1,other_foreign_born,17362102.09445902,12433026.01870507,1389672682216.0054,30705622272.8295,0.19611205230586407
WSAL_VAL,below_ba,0,union_mexico_born,10561239.87102285,6428201.184562771,277959114216.25684,7822947422.930446,0.056577861159347646
WSAL_VAL,below_ba,1,union_mexico_born,1256214.49342131,925656.55234121,72901643048.36472,5950584869.486828,0.010287955586696982
